sw_slcid,sw_slid,sw_bcid,sw_seg_pos,sw_seg_angle,sw_seg_quality,sw_local_pos,sw_local_slope,sw_chamber_id,sw_chamber_ieta,offline_pos,offline_angle
0,0,0,5640,5863,1,2926,574,0,0,705.368408,1.4315
0,0,0,8169,5832,1,2798,606,1,0,1021.557861,1.4230
0,0,0,11069,5798,1,3279,641,2,0,1383.746338,1.4155
0,0,0,5641,5863,1,2927,574,0,0,705.368408,1.4315
0,0,0,8171,5828,1,2797,610,1,0,1021.557861,1.4230
0,0,0,11069,5798,1,2798,641,2,0,1383.746338,1.4155
0,0,0,7345,5675,1,2345,767,0,0,918.387878,1.3855
0,0,0,10723,5633,1,2427,811,1,0,1340.726929,1.3751
0,0,0,14555,5598,1,2849,847,2,0,1819.572266,1.3668
0,0,0,7344,5675,1,2824,767,0,0,918.387878,1.3855
0,0,0,10723,5633,1,2907,811,1,0,1340.726929,1.3751
0,0,0,14484,5775,1,3360,664,2,0,1819.572266,1.3668
0,0,0,14019,5138,1,2943,1341,0,0,1752.750854,1.2540
0,0,0,19572,5196,1,1617,1277,1,0,2447.774658,1.2738
0,0,0,14019,5138,1,2944,1341,0,0,1752.750854,1.2540
0,0,0,19572,5196,1,2579,1277,1,0,2447.774658,1.2738
0,0,0,25169,5286,1,2820,1179,2,0,3146.273682,1.2902
0,0,0,25710,4083,1,3415,2647,0,0,3212.979980,0.9973
0,0,0,36536,4231,1,2445,2443,1,0,4567.376953,1.0325
0,0,0,47428,4422,1,2378,2190,2,0,5935.013184,1.0557
0,0,0,36206,3391,1,2603,3761,0,0,4526.309570,0.8267
0,0,0,52196,3425,1,2502,3698,1,0,6525.352051,0.8354
0,0,0,69168,3450,1,2385,3654,2,0,8646.811523,0.8415
0,0,0,36206,3391,1,2603,3761,0,0,4526.309570,0.8267
0,0,0,52196,3425,1,2501,3698,1,0,6525.352051,0.8354
0,0,0,69169,3450,1,1906,3654,2,0,8646.811523,0.8415
0,0,0,17828,4693,1,2486,1853,0,0,2228.751953,1.1455
0,0,0,25659,4738,1,2247,1800,1,0,3207.753906,1.1561
0,0,0,33866,4771,1,1888,1760,2,0,4233.610840,1.1644
0,0,0,17828,4693,1,2486,1853,0,0,2228.751953,1.1455
0,0,0,25658,4738,1,2247,1799,1,0,3207.753906,1.1561
0,0,0,33867,4770,1,2850,1761,2,0,4233.610840,1.1644
0,0,0,30173,3795,1,2586,3077,0,0,3772.069092,0.9260
0,0,0,43137,3864,1,2175,2970,1,0,5392.505371,0.9430
0,0,0,56641,3916,1,2557,2891,2,0,7080.583496,0.9557
0,0,0,30173,3795,1,2586,3077,0,0,3772.069092,0.9260
0,0,0,43135,3865,1,1693,2968,1,0,5392.505371,0.9430
0,0,0,41417,3165,1,2783,4201,0,0,5177.268555,0.7718
0,0,0,59284,3200,1,2518,4130,1,0,7411.413086,0.7795
