sw_slcid,sw_slid,sw_bcid,sw_seg_pos,sw_seg_angle,sw_seg_quality,sw_local_pos,sw_local_slope,sw_chamber_id,sw_chamber_ieta,offline_pos,offline_angle
0,0,0,5640,570,1,2926,574,0,0,705.368408,1.4315
0,0,0,8171,605,1,2797,610,1,0,1021.557861,1.4230
0,0,0,11069,635,1,3278,641,2,0,1383.746338,1.4155
0,0,0,5641,570,1,2927,574,0,0,705.368408,1.4315
0,0,0,8171,605,1,2797,610,1,0,1021.557861,1.4230
0,0,0,11069,635,1,2798,641,2,0,1383.746338,1.4155
0,0,0,7345,758,1,2345,767,0,0,918.387878,1.3855
0,0,0,10727,808,1,2427,819,1,0,1340.726929,1.3751
0,0,0,14557,840,1,2846,853,2,0,1819.572266,1.3668
0,0,0,7344,758,1,2824,767,0,0,918.387878,1.3855
0,0,0,10723,800,1,2907,811,1,0,1340.726929,1.3751
0,0,0,14557,841,1,3326,854,2,0,1819.572266,1.3668
0,0,0,14020,1296,1,2945,1342,0,0,1752.750854,1.2540
0,0,0,19581,1215,1,1658,1252,1,0,2447.774658,1.2738
0,0,0,14019,1295,1,2944,1341,0,0,1752.750854,1.2540
0,0,0,19579,1215,1,2617,1252,1,0,2447.774658,1.2738
0,0,0,25169,1147,1,2820,1179,2,0,3146.273682,1.2902
0,0,0,25678,2298,1,3406,2575,0,0,3212.979980,0.9973
0,0,0,36537,2203,1,2446,2444,1,0,4567.376953,1.0325
0,0,0,47479,2108,1,2360,2317,2,0,5935.013184,1.0557
0,0,0,36207,3046,1,2600,3769,0,0,4526.309570,0.8267
0,0,0,52196,3008,1,2502,3698,1,0,6525.352051,0.8354
0,0,0,69168,2983,1,2385,3654,2,0,8646.811523,0.8415
0,0,0,36207,3046,1,2600,3769,0,0,4526.309570,0.8267
0,0,0,52196,3008,1,2501,3698,1,0,6525.352051,0.8354
0,0,0,69169,2983,1,1906,3654,2,0,8646.811523,0.8415
0,0,0,17829,1740,1,2487,1854,0,0,2228.751953,1.1455
0,0,0,25659,1696,1,2247,1801,1,0,3207.753906,1.1561
0,0,0,33866,1662,1,1888,1760,2,0,4233.610840,1.1644
0,0,0,17828,1740,1,2486,1853,0,0,2228.751953,1.1455
0,0,0,25658,1695,1,2246,1799,1,0,3207.753906,1.1561
