slcid,slid,bcid,seg_pos,seg_angle,seg_quality,local_pos,local_slope,chamber_id,chamber_ieta,offline_pos,offline_angle
0,0,0,5640,5863,1,2926,574,0,0,705.368408,1.4292
0,0,0,8171,5828,1,2797,610,1,0,1021.557861,1.4287
0,0,0,11069,5798,1,3278,641,2,0,1383.746338,1.4262
0,0,0,5641,5863,1,2927,574,0,0,705.368408,1.4292
0,0,0,8171,5828,1,2797,610,1,0,1021.557861,1.4287
0,0,0,11069,5798,1,2798,641,2,0,1383.746338,1.4262
0,0,0,7345,5675,1,2345,767,0,0,918.387878,1.3873
0,0,0,10727,5625,1,2427,819,1,0,1340.726929,1.3852
0,0,0,14557,5593,1,2846,853,2,0,1819.572266,1.3816
0,0,0,7344,5675,1,2824,767,0,0,918.387878,1.3873
0,0,0,10723,5633,1,2907,811,1,0,1340.726929,1.3852
0,0,0,14557,5592,1,3326,854,2,0,1819.572266,1.3816
0,0,0,14020,5137,1,2945,1342,0,0,1752.750854,1.2304
0,0,0,19581,5218,1,1658,1252,1,0,2447.774658,1.2405
0,0,0,14019,5138,1,2944,1341,0,0,1752.750854,1.2304
0,0,0,19579,5218,1,2617,1252,1,0,2447.774658,1.2405
0,0,0,25169,5286,1,2820,1179,2,0,3146.273682,1.2510
0,0,0,25678,4135,1,3406,2575,0,0,3212.979980,0.9950
0,0,0,36537,4230,1,2446,2444,1,0,4567.376953,1.0016
0,0,0,47479,4325,1,2360,2317,2,0,5935.013184,1.0124
0,0,0,36207,3387,1,2600,3769,0,0,4526.309570,0.8300
0,0,0,52196,3425,1,2502,3698,1,0,6525.352051,0.8303
0,0,0,69168,3450,1,2385,3654,2,0,8646.811523,0.8324
0,0,0,36207,3387,1,2600,3769,0,0,4526.309570,0.8300
0,0,0,52196,3425,1,2501,3698,1,0,6525.352051,0.8303
0,0,0,69169,3450,1,1906,3654,2,0,8646.811523,0.8324
0,0,0,17829,4692,1,2487,1854,0,0,2228.751953,1.1477
0,0,0,25659,4737,1,2247,1801,1,0,3207.753906,1.1485
0,0,0,33866,4771,1,1888,1760,2,0,4233.610840,1.1516
0,0,0,17828,4693,1,2486,1853,0,0,2228.751953,1.1477
0,0,0,25658,4738,1,2246,1799,1,0,3207.753906,1.1485
0,0,0,33867,4770,1,2850,1761,2,0,4233.610840,1.1516
0,0,0,30173,3795,1,2586,3077,0,0,3772.069092,0.9195
0,0,0,43137,3864,1,2175,2970,1,0,5392.505371,0.9239
0,0,0,56641,3916,1,2557,2891,2,0,7080.583496,0.9303
0,0,0,30173,3795,1,2586,3077,0,0,3772.069092,0.9195
0,0,0,43139,3862,1,1696,2973,1,0,5392.505371,0.9239
0,0,0,56421,3767,0,2430,3119,2,0,6910.617676,0.9296
0,0,0,41417,3165,1,2783,4201,0,0,5177.268555,0.7629
0,0,0,59288,3195,1,2516,4140,1,0,7411.413086,0.7667
0,0,0,78269,3219,1,2115,4091,2,0,9784.047852,0.7707
0,0,0,41418,3161,1,2297,4209,0,0,5177.268555,0.7629
0,0,0,59288,3195,1,1556,4139,1,0,7411.413086,0.7667
0,0,0,78299,3189,1,197,4151,2,0,9784.047852,0.7707
0,0,0,42644,3054,1,2656,4435,0,0,5330.793945,0.7483
0,0,0,61827,3009,1,2899,4534,1,0,7728.440918,0.7458
0,0,0,82555,3217,0,4437,4095,2,0,10364.966797,0.7419
0,0,0,42644,3054,1,2176,4435,0,0,5330.793945,0.7483
0,0,0,61825,3010,1,2417,4532,1,0,7728.440918,0.7458
0,0,0,82915,2980,1,2281,4599,2,0,10364.966797,0.7419
0,0,0,12679,5129,1,2659,1350,0,0,1585.612427,1.2607
0,0,0,17268,5653,1,1312,790,1,0,2158.415771,1.2772
0,0,0,6634,5721,1,2400,720,0,0,829.358887,1.4048
0,0,0,9810,5676,1,3045,766,1,0,1226.472900,1.4007
0,0,0,13439,5649,1,2589,794,2,0,1679.680908,1.3958
0,0,0,5358,5895,1,2865,542,0,0,669.953552,1.4362
0,0,0,7746,5862,1,2941,575,1,0,968.486938,1.4360
0,0,0,10453,5840,1,3048,598,2,0,1306.869507,1.4341
0,0,0,11507,5222,1,2039,1248,0,0,1438.587891,1.2879
0,0,0,17069,5128,1,2789,1352,1,0,2134.041504,1.2803
0,0,0,23524,5055,1,2655,1433,2,0,2940.781250,1.2706
0,0,0,11508,5222,1,2619,1248,0,0,1438.587891,1.2879
0,0,0,17070,5128,1,3270,1352,1,0,2134.041504,1.2803
0,0,0,4949,6004,1,2613,431,0,0,618.826233,1.4464
0,0,0,6570,6119,1,1796,315,1,0,-9999.000000,2.3562
0,0,0,19963,4550,1,2780,2028,0,0,2495.766113,1.1037
0,0,0,28624,4461,1,2571,2141,1,0,-9999.000000,2.3562
0,0,0,37633,4611,1,2033,1953,2,0,4704.415039,1.1110
0,0,0,9601,5569,1,2929,878,0,0,1200.350098,1.3328
0,0,0,13296,5595,1,2731,850,1,0,1662.238770,1.3420
0,0,0,17148,5621,1,2291,823,2,0,2143.776855,1.3489
0,0,0,2510,6256,1,2455,178,1,0,314.081635,1.5268
0,0,0,3266,6282,1,2548,152,2,0,408.410797,1.5278
0,0,0,19881,4527,1,2593,2057,0,0,2485.612549,1.1054
0,0,0,28473,4611,1,2445,1953,1,0,3559.572021,1.1083
0,0,0,37277,4678,1,2359,1871,2,0,4659.801758,1.1148
0,0,0,19881,4527,1,2593,2057,0,0,2485.612549,1.1054
0,0,0,28475,4609,1,2447,1955,1,0,3559.572021,1.1083
0,0,0,37277,4679,1,698,1870,2,0,4659.801758,1.1148
0,0,0,24902,4107,1,2304,2614,0,0,3113.092041,1.0093
0,0,0,36382,4005,1,2318,2760,1,0,4547.953125,1.0036
0,0,0,49486,3913,1,2468,2895,2,0,6185.488770,0.9936
0,0,0,22667,4363,1,2421,2267,0,0,2833.618408,1.0508
0,0,0,32046,4482,1,2423,2114,1,0,4005.941895,1.0594
0,0,0,41474,4589,1,2681,1980,2,0,5184.622559,1.0712
0,0,0,22667,4361,1,2420,2270,0,0,2833.618408,1.0508
0,0,0,32046,4481,1,1462,2115,1,0,4005.941895,1.0594
0,0,0,46098,2912,1,2596,4755,0,0,5763.302246,0.7095
0,0,0,66256,2959,1,2703,4647,1,0,8283.040039,0.7114
0,0,0,87516,2991,1,2377,4573,2,0,10939.844727,0.7151
0,0,0,46102,2910,1,2119,4760,0,0,5763.302246,0.7095
0,0,0,66257,2949,1,1724,4670,1,0,8283.040039,0.7114
0,0,0,87537,2971,1,175,4618,2,0,10939.844727,0.7151
0,0,0,2628,6191,0,2450,243,0,0,-9999.000000,2.3562
0,0,0,3661,6240,1,2819,194,1,0,457.903931,1.5067
0,0,0,4377,6313,1,2877,121,2,0,547.222900,1.5133
0,0,0,17740,4646,0,2747,1909,0,0,3186.623535,0.9805
0,0,0,17740,4646,0,2747,1909,0,0,3186.623535,0.9805
0,0,0,30977,3715,1,2657,3203,0,0,3872.681396,0.9068
0,0,0,44555,3759,1,2168,3133,1,0,5570.410156,0.9082
0,0,0,58933,3784,1,1664,3094,2,0,7218.446289,0.9210
