dv,slcid,slid,bcid,segpos,segangle,segquality,chamber_id,chamber_ieta
1,0,0,48,5640,5863,1,1,1
1,1,0,48,5641,5863,1,1,1
1,0,0,2198,7345,5675,1,1,1
1,1,0,2198,7344,5675,1,1,1
1,0,0,1598,14020,5137,1,1,2
1,1,0,1598,14019,5138,1,1,2
1,0,0,1248,25678,4135,1,1,3
1,0,0,2348,36207,3387,1,1,4
1,1,0,2348,36207,3387,1,1,4
1,0,0,598,17829,4692,1,1,2
1,1,0,598,17828,4693,1,1,2
1,0,0,3398,30173,3795,1,1,4
1,1,0,3398,30173,3795,1,1,4
1,0,0,3198,41417,3165,1,1,5
1,1,0,3198,41418,3161,1,1,5
1,0,0,3198,42644,3054,1,1,5
1,1,0,3198,42644,3054,1,1,5
1,0,0,1848,12679,5129,1,1,2
1,0,0,598,6634,5721,1,1,1
1,0,0,2598,5358,5895,1,1,1
1,0,0,2848,11507,5222,1,1,2
1,1,0,2848,11508,5222,1,1,2
1,0,0,998,4949,6004,1,1,1
1,0,0,1598,19963,4550,1,1,3
1,0,0,3148,9601,5569,1,1,1
0,0,0,0,0,0,0,0,0
1,0,0,3548,19881,4527,1,1,3
1,1,0,3548,19881,4527,1,1,3
1,0,0,2048,24902,4107,1,1,3
1,0,0,3548,22667,4363,1,1,3
1,1,0,3548,22667,4361,1,1,3
1,0,0,1898,46098,2912,1,1,6
1,1,0,1898,46102,2910,1,1,6
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0
1,0,0,2148,30977,3715,1,1,4
1,1,0,2148,30977,3715,1,1,4
1,0,0,3298,22240,4131,1,1,3
1,1,0,3298,22240,4131,1,1,3
1,0,0,1098,25172,4123,1,1,3
1,1,0,1098,25173,4123,1,1,3
1,0,0,1498,34275,3535,1,1,4
1,1,0,1498,34273,3538,1,1,4
1,0,0,1948,17322,4792,1,1,2
1,1,0,1948,17325,4795,1,1,2
1,0,0,3348,6194,5785,1,1,1
1,0,0,248,32689,3648,1,1,4
1,1,0,248,32687,3654,1,1,4
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0
1,0,0,3298,42527,3068,1,1,5
1,1,0,3298,42526,3074,1,1,5
1,0,0,3548,22977,4323,1,1,3
1,1,0,3548,22972,4306,1,1,3
1,0,0,2698,28994,3866,1,1,4
1,1,0,2698,28996,3863,1,1,4
1,0,0,48,45826,2915,1,1,6
1,1,0,48,45821,2920,1,1,6
1,0,0,148,45372,2924,1,1,6
1,1,0,148,45374,2921,1,1,6
1,0,0,2298,37601,3969,1,1,5
1,0,0,1398,19786,4556,1,1,3
1,1,0,1398,19786,4556,1,1,3
1,0,0,1598,11040,5332,1,1,2
1,1,0,1598,11042,5325,1,1,2
1,0,0,2198,45598,3032,1,1,6
1,0,0,598,33588,3547,1,1,4
1,1,0,598,33584,3555,1,1,4
1,0,0,1048,6693,5628,1,1,1
1,0,0,2198,8448,5572,1,1,1
1,1,0,2198,8447,5572,1,1,1
1,0,0,2548,20943,4433,1,1,3
1,0,0,98,29615,3745,1,1,4
1,1,0,98,29615,3745,1,1,4
1,0,0,848,46555,2891,1,1,6
1,1,0,848,46555,2891,1,1,6
1,0,0,298,12669,5174,1,1,2
1,1,0,298,12669,5174,1,1,2
1,0,0,1948,25470,4076,1,1,3
1,0,0,3248,9252,5577,1,1,1
1,1,0,3248,12043,5192,1,1,2
1,0,0,3398,23551,4209,1,1,3
1,1,0,3398,23551,4209,1,1,3
1,0,0,1198,31422,3660,1,1,4
1,0,0,2098,31082,3631,1,1,4
1,0,0,2398,4975,5934,1,1,1
1,1,0,2398,4975,5934,1,1,1
1,0,0,2698,21124,4428,1,1,3
1,1,0,2698,21124,4428,1,1,3
1,0,0,2998,21519,4622,1,1,3
1,0,0,248,5724,5824,1,1,1
1,1,0,248,5724,5824,1,1,1
1,0,0,2148,30113,3796,1,1,4
1,0,0,1948,35089,4791,1,1,4
1,0,0,3248,7508,5741,1,1,1
1,1,0,3248,7506,5747,1,1,1
1,0,0,3548,29774,3844,1,1,4
1,1,0,3548,29771,3841,1,1,4
1,0,0,398,22891,4252,1,1,3
1,0,0,1898,16206,4877,1,1,2
1,0,0,1298,14985,4950,1,1,2
1,1,0,1298,14985,4950,1,1,2
1,0,0,1848,4884,5912,1,1,1
1,0,0,2798,36131,3407,1,1,4
1,1,0,2798,36131,3411,1,1,4
1,0,0,3548,40591,3155,1,1,5
1,1,0,3548,40591,3155,1,1,5
1,0,0,598,43707,3007,1,1,5
1,1,0,598,43708,3007,1,1,5
1,0,0,598,36822,3335,1,1,5
1,1,0,598,36821,3336,1,1,5
1,0,0,2398,35195,3431,1,1,4
1,0,0,1448,4873,5876,1,1,1
1,0,0,2798,49620,2768,1,1,6
1,1,0,2798,49620,2768,1,1,6
1,0,0,2998,41366,3154,1,1,5
1,1,0,2998,41365,3154,1,1,5
1,0,0,2648,6425,5715,1,1,1
1,1,0,2648,6424,5715,1,1,1
0,0,0,0,0,0,0,0,0
1,0,0,2648,43846,3024,1,1,5
1,0,0,1148,10307,5415,1,1,2
1,1,0,1148,10306,5422,1,1,2
1,0,0,1048,44410,2950,1,1,6
1,0,0,1348,18145,4671,1,1,2
1,0,0,2548,18058,3482,1,1,2
1,0,0,348,20676,4476,1,1,3
1,1,0,348,20677,4475,1,1,3
1,0,0,1848,16916,4743,1,1,2
1,1,0,1848,16916,4743,1,1,2
1,0,0,2998,12341,5258,1,1,2
1,1,0,2998,10584,5444,1,1,2
1,0,0,3448,39502,3218,1,1,5
1,1,0,3448,39502,3218,1,1,5
1,0,0,2048,14772,4946,1,1,2
1,1,0,2048,14772,4946,1,1,2
1,0,0,498,36915,3309,1,1,5
1,1,0,498,36915,3309,1,1,5
0,0,0,0,0,0,0,0,0
1,0,0,3048,42741,3043,1,1,5
1,1,0,3048,42741,3043,1,1,5
1,0,0,3398,43171,3135,1,1,5
1,0,0,548,5626,5848,1,1,1
1,1,0,548,5626,5848,1,1,1
1,0,0,2898,33228,3587,1,1,4
1,0,0,248,8624,5503,1,1,1
1,0,0,798,23627,4231,1,1,3
1,1,0,798,23627,4231,1,1,3
1,0,0,1298,9790,4786,1,1,1
1,1,0,1298,12748,5186,1,1,2
1,0,0,3298,38118,3283,1,1,5
1,1,0,3298,38118,3283,1,1,5
1,0,0,1148,31397,3711,1,1,4
1,1,0,1148,31395,3714,1,1,4
1,0,0,2148,4826,5956,1,1,1
1,0,0,2598,17849,4701,1,1,2
1,0,0,3548,44964,2964,1,1,6
1,1,0,3548,44964,2964,1,1,6
0,0,0,0,0,0,0,0,0
1,0,0,1898,36097,3371,1,1,4
0,0,0,0,0,0,0,0,0
1,0,0,2098,27317,3913,1,1,3
1,1,0,2098,27317,3913,1,1,3
1,0,0,1348,16446,4791,1,1,2
1,1,0,1348,16446,4791,1,1,2
0,0,0,0,0,0,0,0,0
1,1,0,2648,33775,3038,1,1,4
1,0,0,898,11006,5363,1,1,2
1,1,0,898,11005,5364,1,1,2
1,0,0,2898,17661,4685,1,1,2
1,1,0,2898,17661,4685,1,1,2
1,0,0,3248,15635,4948,1,1,2
1,1,0,3248,15634,4948,1,1,2
1,0,0,1298,13271,5158,1,1,2
1,0,0,2248,29797,3850,1,1,4
1,1,0,2248,29801,3859,1,1,4
1,0,0,948,32975,3641,1,1,4
1,1,0,948,32976,3640,1,1,4
1,0,0,2248,3418,6071,1,1,1
1,1,0,2248,3418,6071,1,1,1
1,0,0,1048,48777,2815,1,1,6
1,1,0,1048,48777,2815,1,1,6
1,0,0,2948,14926,4880,1,1,2
1,1,0,2948,14924,4878,1,1,2
1,0,0,3548,9979,5385,1,1,1
1,1,0,3548,9976,5396,1,1,1
1,0,0,1098,42161,3087,1,1,5
1,1,0,1098,42165,3084,1,1,5
1,0,0,2448,16899,4783,1,1,2
1,1,0,2448,16899,4784,1,1,2
0,0,0,0,0,0,0,0,0
1,0,0,2098,45307,2898,1,1,6
1,1,0,2098,45306,2895,1,1,6
0,0,0,0,0,0,0,0,0
1,0,0,148,25752,4034,1,1,3
1,0,0,1498,46829,2877,1,1,6
1,1,0,1498,46834,2873,1,1,6
1,0,0,1848,20190,4589,1,1,3
1,0,0,2098,24359,4185,1,1,3
1,1,0,2098,24358,4186,1,1,3
1,0,0,1398,39144,3274,1,1,5
