sw_slcid,sw_slid,sw_bcid,sw_eta,sw_pt,sw_ptthresh,sw_charge,sw_nsegments,sw_quality,off_pt, off_eta, off_match
0,0,48,290,92,20,1,3,0,41.630573,0.135076,1
1,0,48,290,90,20,1,3,0,41.630573,0.135076,1
0,0,2198,377,92,20,1,3,0,38.129444,0.183444,1
1,0,2198,377,89,20,1,3,0,38.129444,0.183444,1
0,0,1598,710,38,20,-1,2,0,25.012276,0.338454,1
1,0,1598,710,33,15,1,3,0,25.012276,0.338454,1
0,0,1248,1249,28,15,1,3,0,15.400414,0.595571,1
0,0,2348,1678,76,20,1,3,0,48.369335,0.811653,1
1,0,2348,1678,76,20,1,3,0,48.369335,0.811653,1
0,0,598,893,52,20,1,3,0,31.249981,0.446544,1
1,0,598,893,52,20,1,3,0,31.249981,0.446544,1
0,0,3398,1439,40,20,1,3,0,24.411909,0.692297,1
1,0,3398,1439,42,20,-1,2,0,24.411909,0.692297,1
0,0,3198,1871,57,20,1,3,0,40.332405,0.905509,1
1,0,3198,1871,67,20,1,3,0,40.332405,0.905509,1
0,0,3198,1914,58,20,1,2,0,31.303690,0.934157,1
1,0,3198,1914,73,20,1,3,0,31.303690,0.934157,1
0,0,1848,645,11,5,-1,2,0,5.675545,0.335506,1
0,0,598,341,77,20,1,3,0,35.636200,0.160852,1
0,0,2598,276,103,20,1,3,0,48.560005,0.134475,1
0,0,2848,587,36,20,1,3,0,17.318171,0.299225,1
1,0,2848,587,32,15,1,2,0,17.318171,0.299225,1
0,0,998,255,29,15,-1,2,0,14.447665,0.096355,1
0,0,1598,993,58,20,1,3,0,49.214844,0.466711,1
0,0,3148,491,75,20,1,3,0,47.121407,0.215287,1
0,0,448,90,80,20,-1,2,0,43.055275,0.051728,1
0,0,3548,989,34,15,1,3,0,17.609259,0.496145,1
1,0,3548,989,34,15,1,3,0,17.609259,0.496145,1
0,0,2048,1215,30,15,1,3,0,12.922971,0.578670,1
0,0,3548,1116,25,10,1,3,0,12.369197,0.546605,1
1,0,3548,1116,24,10,-1,2,0,12.369197,0.546605,1
0,0,1898,2033,42,20,1,3,0,27.366140,1.002134,1
1,0,1898,2033,43,20,1,3,0,27.366140,1.002134,1
0,0,998,131,31,15,-1,2,0,18.240618,0.083008,1
0,0,0,0,0,0,1,0,0,11.510938,0.626261,1
1,0,0,0,0,0,1,0,0,11.510938,0.626261,1
0,0,2148,1472,64,20,1,3,0,40.356590,0.703227,1
1,0,2148,1472,64,20,1,3,0,40.356590,0.703227,1
0,0,3298,1097,167,20,1,3,0,36.783394,0.513195,1
1,0,3298,1097,163,20,1,3,0,36.783394,0.513195,1
0,0,1098,1227,32,15,1,3,0,19.027191,0.603588,1
