# --------------------------
# TS:0123456789
# Side:A Sector:3 Area:Barrel
# --------------------------
ToA,coarse_time,fine_time,Local_Tube_Number,Tube_Number,Tube_Layer,ChamberId,Chamber_iEta,Station_Type,tube_z,tube_rho,drift_time,event,muonFixedId,csm,mezz,channel,t0,TOF
1500,46,28,36,132,3,1,4,0,4516,4848,32.7718505859375,116,6307235,1,10,19,542.5,22.103174209594727
1525,47,21,12,220,5,3,5,1,6815,7364,40.9356689453125,116,40386315,2,3,7,542.5,33.470611572265625
1530,47,26,6,138,5,1,5,0,4730,5075,55.171142578125,116,6831749,0,1,11,542.5,23.141376495361328
1537,48,1,33,129,0,1,4,0,4441,4770,62.03924560546875,116,6306848,1,10,0,542.5,21.74199676513672
1538,48,2,39,207,0,3,4,1,6406,6913,53.12298583984375,116,39861286,3,8,18,542.5,31.439537048339844
1548,48,12,17,289,3,5,5,2,8885,9673,48.56109619140625,116,73940496,4,5,17,542.5,43.81388473510742
1558,48,22,7,139,6,1,5,0,4745,5101,76.948486328125,116,6831878,0,3,13,542.5,23.239009857177734
1573,49,5,11,219,4,3,5,1,6800,7338,78.5333251953125,116,40386186,2,3,13,542.5,33.37291717529297
1584,49,16,7,279,2,5,5,2,8585,9326,78.21636962890625,116,73940230,4,0,2,542.5,42.28364562988281
1615,50,15,35,131,2,1,4,0,4501,4822,122.71319580078125,116,6307106,1,10,13,542.5,22.005552291870117
1654,51,22,5,277,0,5,5,2,8525,9274,133.167236328125,116,73939972,4,0,22,542.5,42.02028274536133
1654,51,22,7,139,7,1,5,0,4760,5127,151.850830078125,116,6832006,0,3,19,542.5,23.336668014526367
1725,53,29,19,291,5,5,5,2,8945,9725,186.57904052734375,116,73940754,4,5,5,542.5,44.07723617553711
1767,55,7,24,54,0,1,2,0,1970,4770,-3.74969482421875,33,5258263,1,6,3,542.5,17.218463897705078
1789,55,29,58,130,4,5,2,2,4072,9699,-4.43341064453125,33,72367801,5,15,11,542.5,35.08963394165039
1795,56,3,39,207,1,3,4,1,6421,6939,253.8065185546875,116,39861414,3,8,10,542.5,31.537233352661133
1801,56,9,41,97,4,3,2,1,3081,7338,13.482177734375,33,38813352,3,11,9,542.5,26.549089431762695
1802,56,10,17,289,4,5,5,2,8900,9699,246.90081787109375,116,73940624,4,5,9,542.5,43.91167449951172
1817,56,25,6,138,4,1,5,0,4715,5048,279.48748779296875,116,6831621,0,1,5,542.5,23.043764114379883
1840,57,16,34,130,1,1,4,0,4456,4796,298.66033935546875,116,6306977,1,10,11,542.5,21.839645385742188
1844,57,20,41,97,3,3,2,1,3066,7312,47.17529296875,33,38813224,3,11,17,542.5,26.4497013092041
1860,58,4,25,55,1,1,2,0,1985,4796,68.80718994140625,33,5258392,1,8,10,542.5,17.317785263061523
1884,58,28,58,130,3,5,2,2,4056,9673,69.884765625,33,72367673,5,15,19,542.5,34.9902458190918
1894,59,6,11,219,3,3,5,1,6785,7312,329.41229248046875,116,40386058,2,3,21,542.5,33.27523422241211
1899,59,11,59,131,5,5,2,2,4087,9725,81.40472412109375,33,72367930,5,15,5,542.5,35.18902587890625
1904,59,16,36,92,2,3,2,1,2916,6965,95.3115234375,33,38812963,3,8,7,542.5,25.18845558166504
1905,59,17,6,278,1,5,5,2,8570,9300,329.0953369140625,116,73940101,4,0,12,542.5,42.185890197753906
1910,59,22,42,98,5,3,2,1,3096,7364,98.53900146484375,33,38813481,3,11,3,542.5,26.648483276367188
1914,59,26,29,59,7,1,2,0,2120,5127,109.804931640625,33,5259164,1,9,21,542.5,18.507570266723633
1974,61,22,25,55,2,1,2,0,2000,4822,157.7703857421875,33,5258520,1,8,16,542.5,17.417116165161133
2011,62,27,8,140,7,1,5,0,4790,5127,430.68878173828125,116,6832007,0,3,18,542.5,23.404949188232422
2050,64,2,10,218,3,3,5,1,6755,7312,451.3553466796875,116,40386057,2,3,19,542.5,33.20717239379883
2058,64,10,15,215,2,5,4,2,6645,9326,2.61309814453125,85,73415950,5,2,2,542.5,38.19939041137695
2059,64,11,35,131,1,1,4,0,4486,4796,469.685791015625,116,6306978,1,10,7,542.5,21.907955169677734
2070,64,22,35,91,1,3,2,1,2901,6939,225.098388671875,33,38812834,3,8,13,542.5,25.089082717895508
2070,64,22,5,277,1,5,5,2,8540,9300,458.0694580078125,116,73940100,4,0,14,542.5,42.118064880371094
2073,64,25,55,167,4,3,3,1,5201,7338,22.52642822265625,85,39337654,2,13,12,542.5,30.004796981811523
2075,64,27,49,49,2,5,1,2,1606,9326,22.52569580078125,85,71843120,4,12,1,542.5,31.568037033081055
2076,64,28,26,92,1,1,3,0,3115,4796,35.79486083984375,85,5782681,0,8,8,542.5,19.080127716064453
2080,65,0,29,59,6,1,2,0,2105,5101,239.59173583984375,33,5259036,1,9,15,542.5,18.40825080871582
2082,65,2,23,89,0,1,3,0,3040,4770,40.69085693359375,85,5782550,0,6,1,542.5,18.871633529663086
2090,65,10,42,42,0,5,1,2,1396,9274,34.52752685546875,85,71842857,4,10,19,542.5,31.28496742248535
2091,65,11,56,168,5,3,3,1,5216,7364,36.48919677734375,85,39337783,2,13,2,542.5,30.104551315307617
2095,65,15,52,52,0,5,1,2,1696,9274,38.26898193359375,85,71842867,4,12,23,542.5,31.44974136352539
2098,65,18,44,44,2,5,1,2,1456,9326,40.57562255859375,85,71843115,4,10,7,542.5,31.48686408996582
2103,65,23,43,187,4,5,3,2,5801,9699,38.2689208984375,85,72892074,4,11,13,542.5,37.6998405456543
2104,65,24,50,50,1,5,1,2,1651,9300,45.24151611328125,85,71842993,4,12,11,542.5,31.508466720581055
2107,65,27,5,137,4,1,5,0,4685,5048,506.11822509765625,116,6831620,0,1,3,542.5,22.975500106811523
2111,65,31,53,125,2,5,2,2,3906,9326,248.48974609375,33,72367412,5,12,6,542.5,33.72899627685547
2114,66,2,45,157,2,3,3,1,4886,6965,56.180908203125,85,39337260,2,10,6,542.5,28.381614685058594
2121,66,9,45,45,0,5,1,2,1486,9274,58.70013427734375,85,71842860,4,10,22,542.5,31.331127166748047
2125,66,13,44,188,2,5,3,2,5816,9326,56.49224853515625,85,72891691,4,10,7,542.5,36.66398239135742
2135,66,23,44,44,0,5,1,2,1456,9274,69.6533203125,85,71842859,4,10,23,542.5,31.315427780151367
2136,66,24,4,100,4,1,4,0,3555,5048,81.15228271484375,85,6307331,1,1,4,542.5,20.59772491455078
2142,66,30,44,188,0,5,3,2,5816,9274,69.920654296875,85,72891435,4,10,23,542.5,36.5168571472168
2152,67,8,14,214,1,5,4,2,6630,9300,76.15032958984375,85,73415821,5,2,12,542.5,38.09965896606445
2165,67,21,55,167,3,3,3,1,5186,7312,94.501220703125,85,39337526,2,13,20,542.5,29.905046463012695
2180,68,4,42,154,5,3,3,1,4796,7364,106.808837890625,85,39337769,2,11,3,542.5,29.316133499145508
2180,68,4,26,56,3,1,2,0,2015,4848,318.6085205078125,33,5258649,1,8,20,542.5,17.51645851135254
2185,68,9,42,42,1,5,1,2,1411,9300,108.65301513671875,85,71842985,4,10,11,542.5,31.37824249267578
2188,68,12,28,94,0,1,3,0,3190,4770,123.2294921875,85,5782555,0,8,5,542.5,19.145530700683594
2193,68,17,40,208,1,3,4,1,6451,6939,564.6759033203125,116,39861415,3,8,8,542.5,31.605361938476562
2200,68,24,45,157,0,3,3,1,4886,6913,123.51025390625,85,39337004,2,10,22,542.5,28.239734649658203
2232,69,24,18,290,4,5,5,2,8930,9699,582.7705078125,116,73940625,4,5,11,542.5,43.97947311401367
2233,69,25,4,100,5,1,4,0,3570,5075,156.833740234375,85,6307459,1,1,10,542.5,20.697507858276367
2267,70,27,14,214,0,5,4,2,6615,9274,166.09381103515625,85,73415693,5,2,20,542.5,37.999935150146484
2268,70,28,1,133,1,1,5,0,4565,4796,632.78662109375,116,6831232,0,0,10,542.5,22.08835220336914
2289,71,17,8,140,6,1,5,0,4775,5101,647.973876953125,116,6831879,0,3,12,542.5,23.307363510131836
2291,71,19,25,225,5,5,4,2,6945,9725,182.9788818359375,85,73416472,5,7,1,542.5,39.86486053466797
2302,71,30,53,125,0,5,2,2,3906,9274,397.86846923828125,33,72367156,5,12,22,542.5,33.56901168823242
2317,72,13,25,91,1,1,3,0,3085,4796,224.1304931640625,85,5782680,0,8,10,542.5,19.025739669799805
2319,72,15,29,95,0,1,3,0,3220,4770,225.517333984375,85,5782556,0,8,1,542.5,19.20140838623047
2348,73,12,28,58,5,1,2,0,2090,5075,449.0660400390625,33,5258907,1,9,10,542.5,18.308942794799805
2349,73,13,35,91,0,3,2,1,2886,6913,443.16656494140625,33,38812706,3,8,21,542.5,24.989713668823242
2358,73,22,45,157,1,3,3,1,4901,6939,246.8480224609375,85,39337132,2,10,14,542.5,28.339502334594727
2365,73,29,11,107,5,1,4,0,3780,5075,459.54742431640625,33,6307466,1,3,9,542.5,21.108806610107422
2366,73,30,42,154,4,3,3,1,4811,7338,252.1666259765625,85,39337641,2,11,11,542.5,29.270904541015625
2375,74,7,28,94,1,1,3,0,3175,4796,269.27874755859375,85,5782683,0,8,11,542.5,19.190011978149414
2377,74,9,27,93,0,1,3,0,3160,4770,270.94122314453125,85,5782554,0,8,0,542.5,19.09001350402832
2385,74,17,29,59,4,1,2,0,2105,5048,478.03326416015625,33,5258780,1,9,3,542.5,18.247976303100586
2396,74,28,5,101,6,1,4,0,3585,5101,284.07769775390625,85,6307588,1,1,15,542.5,20.79729461669922
2411,75,11,29,95,1,1,3,0,3205,4796,297.3482666015625,85,5782684,0,8,7,542.5,19.245500564575195
2432,76,0,48,48,2,5,1,2,1576,9326,301.44879150390625,85,71843119,4,10,0,542.5,31.551183700561523
2441,76,9,52,124,1,5,2,2,3891,9300,506.401611328125,33,72367283,5,12,15,542.5,33.62961959838867
2474,77,10,43,155,3,3,3,1,4826,7312,336.5865478515625,85,39337514,2,11,21,542.5,29.225948333740234
2484,77,20,44,156,1,3,3,1,4871,6939,345.34320068359375,85,39337131,2,10,15,542.5,28.28182029724121
2490,77,26,23,223,3,5,4,2,6885,9673,338.70526123046875,85,73416214,5,5,20,542.5,39.607242584228516
2505,78,9,46,46,0,5,1,2,1516,9274,358.68408203125,85,71842861,4,10,20,542.5,31.347137451171875
2515,78,19,24,224,4,5,4,2,6930,9699,358.07861328125,85,73416343,5,5,10,542.5,39.765140533447266
2577,80,17,43,187,5,5,3,2,5786,9725,408.53253173828125,85,72892202,4,11,5,542.5,37.74869155883789
2595,81,3,45,45,2,5,1,2,1486,9326,428.84124755859375,85,71843116,4,10,6,542.5,31.502477645874023
2607,81,15,46,158,2,3,3,1,4916,6965,441.27947998046875,85,39337261,2,10,4,542.5,28.439271926879883
2635,82,11,6,102,7,1,4,0,3630,5127,470.638916015625,85,6307717,1,1,23,542.5,20.95482063293457
2648,82,24,43,187,1,5,3,2,5801,9300,465.1861572265625,85,72891562,4,10,13,542.5,36.5638542175293
2653,82,29,5,101,7,1,4,0,3600,5127,484.7591552734375,85,6307716,1,1,21,542.5,20.897085189819336
2657,83,1,47,47,2,5,1,2,1546,9326,477.24658203125,85,71843118,4,10,2,542.5,31.534639358520508
2686,83,30,47,159,2,3,3,1,4946,6965,502.9403076171875,85,39337262,2,10,2,542.5,28.497161865234375
2742,85,22,50,50,2,5,1,2,1636,9326,543.602294921875,85,71843121,4,12,3,542.5,31.5851993560791
2743,85,23,24,90,1,1,3,0,3055,4796,556.9970092773438,85,5782679,0,6,9,542.5,18.971723556518555
2750,85,30,24,90,2,1,3,0,3070,4822,562.3656616210938,85,5782807,0,6,15,542.5,19.071815490722656
2757,86,5,53,53,0,5,1,2,1726,9274,555.4383544921875,85,71842868,4,12,22,542.5,31.467926025390625
2764,86,12,43,43,1,5,1,2,1441,9300,560.9815673828125,85,71842986,4,10,13,542.5,31.3934326171875
2779,86,27,43,43,0,5,1,2,1426,9274,572.793701171875,85,71842858,4,10,21,542.5,31.30004119873047
2807,87,23,23,223,4,5,4,2,6900,9699,586.2617797851562,85,73416342,5,5,12,542.5,39.70697784423828
2821,88,5,28,94,2,1,3,0,3190,4822,617.6162109375,85,5782811,0,8,17,542.5,19.290010452270508
2846,88,30,24,224,3,5,4,2,6915,9673,616.7720947265625,85,73416215,5,5,18,542.5,39.665428161621094
2868,89,20,51,51,1,5,1,2,1681,9300,642.098876953125,85,71842994,4,12,13,542.5,31.526140213012695
2888,90,8,26,92,0,1,3,0,3130,4770,670.2151489257812,85,5782553,0,8,2,542.5,19.034862518310547
4616,144,8,47,295,5,3,6,1,9086,7364,0.23541259765625,3,40910638,3,11,4,542.5,39.014583587646484
4618,144,10,26,188,4,1,6,0,6235,5048,14.048583984375,3,7355929,1,9,0,542.5,26.76392364501953
4619,144,11,14,176,0,1,6,0,5890,4770,16.30889892578125,3,7355405,1,4,2,542.5,25.284822463989258
4632,144,24,29,373,1,5,6,2,11440,9300,2.5682373046875,3,74464412,5,6,14,542.5,49.1817741394043
4641,145,1,28,190,6,1,6,0,6295,5101,31.75238037109375,3,7356187,1,9,16,542.5,27.028846740722656
4642,145,2,16,178,2,1,6,0,5950,4822,34.01275634765625,3,7355663,1,4,17,542.5,25.549747467041016
4645,145,5,45,389,4,5,6,2,11921,9699,10.6409912109375,3,74464940,5,11,14,542.5,51.26527404785156
4667,145,27,45,293,3,3,6,1,9026,7312,40.3441162109375,3,40910380,3,11,22,542.5,38.74966049194336
4697,146,25,29,277,1,3,6,1,8560,6939,65.771484375,3,40909980,3,6,14,542.5,36.75974655151367
4700,146,28,16,148,1,1,5,0,5015,4796,81.72503662109375,3,6831247,0,4,11,542.5,23.149951934814453
4736,148,0,31,279,2,3,6,1,8606,6965,96.06884765625,3,40910110,3,6,2,542.5,36.93113327026367
4781,149,13,18,180,3,1,6,0,5995,4848,142.43511962890625,3,7355793,1,4,19,542.5,25.721139907836914
4783,149,15,29,191,7,1,6,0,6340,5127,142.51849365234375,3,7356316,1,9,21,542.5,27.20024299621582
4830,150,30,29,277,0,3,6,1,8545,6913,169.77130126953125,3,40909852,3,6,22,542.5,36.66621398925781
4864,152,0,47,391,5,5,6,2,11966,9725,181.56341552734375,3,74465070,5,11,4,542.5,51.436607360839844
4901,153,5,28,372,0,5,6,2,11395,9274,212.89581298828125,3,74464283,5,6,23,542.5,49.01044464111328
4919,153,23,45,293,4,3,6,1,9041,7338,237.12554931640625,3,40910508,3,11,14,542.5,38.84321594238281
4922,153,26,19,267,4,3,6,1,8260,7338,241.4552001953125,3,40910482,3,5,13,542.5,36.85729217529297
4936,154,8,27,189,5,1,6,0,6280,5075,262.314697265625,3,7356058,1,9,8,542.5,26.93532943725586
4940,154,12,16,178,1,1,6,0,5935,4796,266.91876220703125,3,7355535,1,4,11,542.5,25.45622444152832
4957,154,29,31,375,2,5,6,2,11486,9326,256.3031005859375,3,74464542,5,6,2,542.5,49.35312271118164
4974,155,14,45,389,3,5,6,2,11906,9673,267.76580810546875,3,74464812,5,11,22,542.5,51.171669006347656
4983,155,23,15,177,1,1,6,0,5905,4796,300.59039306640625,3,7355534,1,4,6,542.5,25.378381729125977
4989,155,29,26,188,5,1,6,0,6250,5075,303.79876708984375,3,7356057,1,9,6,542.5,26.85747528076172
5030,157,6,44,388,3,5,6,2,11876,9673,311.59356689453125,3,74464811,5,11,23,542.5,51.09395217895508
5041,157,17,30,374,2,5,6,2,11456,9326,322.005859375,3,74464541,5,6,4,542.5,49.275386810302734
5072,158,16,46,294,4,3,6,1,9071,7338,356.57891845703125,3,40910509,3,11,8,542.5,38.92105484008789
5107,159,19,29,373,0,5,6,2,11425,9274,373.75555419921875,3,74464284,5,6,22,542.5,49.08818817138672
5183,161,31,28,276,0,3,6,1,8515,6913,445.63037109375,3,40909851,3,6,23,542.5,36.58837890625
5193,162,9,46,390,5,5,6,2,11936,9725,438.67236328125,3,74465069,5,11,0,542.5,51.3588981628418
5239,163,23,17,179,3,1,6,0,5965,4848,500.325439453125,3,7355792,1,4,21,542.5,25.64331817626953
5243,163,27,28,190,7,1,6,0,6310,5127,501.9713134765625,3,7356315,1,9,22,542.5,27.12240982055664
5423,169,15,30,278,2,3,6,1,8576,6965,632.8654174804688,3,40910109,3,6,4,542.5,36.85331344604492
7261,226,29,49,49,3,5,1,2,1606,9673,-2.05316162109375,141,71843376,4,13,17,542.5,32.70941925048828
7269,227,5,17,17,7,1,1,0,840,5127,19.57598876953125,141,4734864,0,5,21,542.5,17.330257415771484
7277,227,13,47,47,2,5,1,2,1546,9326,11.62158203125,141,71843118,4,10,2,542.5,31.534639358520508
7279,227,15,16,16,3,1,1,0,795,4848,28.328125,141,4734351,0,4,23,542.5,16.390621185302734
7282,227,18,17,17,4,1,1,0,825,5048,29.9971923828125,141,4734480,0,5,3,542.5,17.065292358398438
7296,228,0,15,15,0,1,1,0,780,4770,41.87432861328125,141,4733966,0,4,0,542.5,16.125656127929688
7327,228,31,35,35,4,3,1,1,1201,7338,57.414306640625,141,38289058,2,9,13,542.5,24.804454803466797
7361,230,1,27,99,3,5,2,2,3125,9673,74.87103271484375,141,72367642,5,7,21,542.5,33.910240173339844
7364,230,4,25,97,5,5,2,2,3065,9725,77.1103515625,141,72367896,5,7,1,542.5,34.01462173461914
7371,230,11,33,33,1,3,1,1,1141,6939,93.13531494140625,141,38288544,2,8,9,542.5,23.458454132080078
7400,231,8,26,98,4,5,2,2,3110,9699,105.27252197265625,141,72367769,5,7,11,542.5,33.97747802734375
7430,232,6,33,33,0,3,1,1,1126,6913,139.32275390625,141,38288416,2,8,17,542.5,23.3647403717041
7471,233,15,25,97,4,5,2,2,3080,9699,160.771728515625,141,72367768,5,7,9,542.5,33.94701385498047
7520,235,0,36,36,5,3,1,1,1216,7364,208.101806640625,141,38289187,2,9,7,542.5,24.898195266723633
7561,236,9,16,16,1,1,1,0,795,4796,248.81182861328125,141,4734095,0,4,11,542.5,16.21940803527832
7598,237,14,17,17,5,1,1,0,840,5075,276.7784423828125,141,4734608,0,5,9,542.5,17.159038543701172
7612,237,28,49,49,5,5,1,2,1606,9725,271.994384765625,141,71843632,4,13,1,542.5,32.880611419677734
7628,238,12,49,49,4,5,1,2,1621,9699,284.57177734375,141,71843504,4,13,9,542.5,32.8032341003418
7634,238,18,17,17,6,1,1,0,825,5101,304.825927734375,141,4734736,0,5,15,542.5,17.236568450927734
7642,238,26,47,47,0,5,1,2,1546,9274,296.94903564453125,141,71842862,4,10,18,542.5,31.363462448120117
7665,239,17,46,46,1,5,1,2,1531,9300,314.84039306640625,141,71842989,4,10,12,542.5,31.440868377685547
7683,240,3,15,15,2,1,1,0,780,4822,344.04681396484375,141,4734222,0,4,12,542.5,16.29693031311035
