# --------------------------
# SLC TS  : 0123456789
# PRJ CFG : BA3
# SIM TS  : 0 fs
# --------------------------
ToA,event,thread,station,slc_id,slid,bcid,mdtseg_Dest,chamber_id,chamber_ieta,vec_pos,vec_ang
3106,0,2,0,0,63,23,3,1,3,4448,842
3106,0,2,1,0,63,23,3,3,3,6424,842
3106,0,2,2,0,63,23,3,5,4,8552,842
3426,0,1,0,0,63,33,3,1,1,2088,1171
3426,0,1,1,0,63,33,3,3,1,3016,1171
3426,0,1,2,0,63,33,3,5,1,4016,1171
3682,0,0,0,0,63,41,3,1,3,3600,942
3682,0,0,1,0,63,41,3,3,2,5192,942
3682,0,0,2,0,63,41,3,5,3,6912,942
6242,0,2,0,0,63,121,3,1,5,6016,691
6242,0,2,1,0,63,121,3,3,5,8688,691
6242,0,2,2,0,63,121,3,5,5,11552,691
8898,0,1,0,0,63,204,3,1,0,840,1402
8898,0,1,1,0,63,204,3,3,0,1216,1402
8898,0,1,2,0,63,204,3,5,0,1624,1402
10690,0,2,0,0,63,260,3,1,1,1368,1301
10690,0,2,1,0,63,260,3,3,1,1976,1301
10690,0,2,2,0,63,260,3,5,1,2632,1301
10882,0,0,0,0,63,266,3,1,4,5072,773
10882,0,0,1,0,63,266,3,3,4,7320,773
10882,0,0,2,0,63,266,3,5,4,9752,773
12034,0,1,0,0,63,302,3,1,0,992,1375
12034,0,1,1,0,63,302,3,3,0,1432,1375
12034,0,1,2,0,63,302,3,5,0,1912,1375
13794,0,2,0,0,63,357,3,1,3,3944,898
13794,0,2,1,0,63,357,3,3,3,5688,898
13794,0,2,2,0,63,357,3,5,3,7576,898
13954,0,0,0,0,63,362,3,1,1,1568,1264
13954,0,0,1,0,63,362,3,3,1,2264,1264
13954,0,0,2,0,63,362,3,5,1,3008,1264
15618,0,1,0,0,63,414,3,1,3,3520,953
15618,0,1,1,0,63,414,3,3,2,5072,953
15618,0,1,2,0,63,414,3,5,3,6752,953
18818,0,2,0,0,63,514,3,1,2,2864,1050
18818,0,2,1,0,63,514,3,3,2,4128,1050
18818,0,2,2,0,63,514,3,5,2,5504,1050
19362,0,1,0,0,63,531,3,1,2,2680,1077
19362,0,1,1,0,63,531,3,3,2,3872,1077
19362,0,1,2,0,63,531,3,5,2,5152,1077
19394,0,0,0,0,63,532,3,1,0,208,1529
19394,0,0,1,0,63,532,3,3,0,296,1529
19394,0,0,2,0,63,532,3,5,0,400,1529
22306,0,2,0,0,63,623,3,1,3,3504,954
22306,0,2,1,0,63,623,3,3,2,5056,954
22306,0,2,2,0,63,623,3,5,3,6736,954
23298,0,1,0,0,63,654,3,1,5,5616,724
23298,0,1,1,0,63,654,3,3,5,8104,724
23298,0,1,2,0,63,654,3,5,5,10776,724
23586,0,0,0,0,63,663,3,1,5,6088,683
23586,0,0,1,0,63,663,3,3,5,8776,683
23586,0,0,2,0,63,663,3,5,5,11688,683
25698,0,2,0,0,63,729,3,1,2,2672,1076
25698,0,2,1,0,63,729,3,3,2,3864,1076
25698,0,2,2,0,63,729,3,5,2,5144,1076
26658,0,1,0,0,63,759,3,1,1,1536,1272
26658,0,1,1,0,63,759,3,3,1,2224,1272
26658,0,1,2,0,63,759,3,5,1,2952,1272
27682,0,0,0,0,63,791,3,1,0,1200,1332
27682,0,0,1,0,63,791,3,3,0,1736,1332
27682,0,0,2,0,63,791,3,5,0,2312,1332
30050,0,2,0,0,63,865,3,1,1,2024,1182
30050,0,2,1,0,63,865,3,3,1,2920,1182
30050,0,2,2,0,63,865,3,5,1,3888,1182
30850,0,1,0,0,63,890,3,1,1,1656,1250
30850,0,1,1,0,63,890,3,3,1,2392,1250
30850,0,1,2,0,63,890,3,5,1,3184,1250
31970,0,0,0,0,63,925,3,1,0,1216,1330
31970,0,0,1,0,63,925,3,3,0,1752,1330
31970,0,0,2,0,63,925,3,5,1,2336,1330
32866,0,2,0,0,63,953,3,1,3,4160,878
32866,0,2,1,0,63,953,3,3,3,6000,878
32866,0,2,2,0,63,953,3,5,3,7992,878
33666,0,1,0,0,63,978,3,1,2,2376,1127
33666,0,1,1,0,63,978,3,3,1,3432,1127
33666,0,1,2,0,63,978,3,5,2,4568,1127
37218,0,2,0,0,63,1089,3,1,2,3240,991
37218,0,2,1,0,63,1089,3,3,2,4664,991
37218,0,2,2,0,63,1089,3,5,3,6216,991
37474,0,1,0,0,63,1097,3,1,3,4264,860
37474,0,1,1,0,63,1097,3,3,3,6160,860
37474,0,1,2,0,63,1097,3,5,3,8200,860
37954,0,0,0,0,63,1112,3,1,0,264,1518
37954,0,0,1,0,63,1112,3,3,0,376,1518
