# --------------------------
# CSV files TS = not working yet
# PRJ CFG = BA3_hps_csf_bp
# SIM TS  = 2022.09.15_12:05:34
# --------------------------
ToS[100ps],ToA[781.25ps],event,muonFixedId,station,thread,hp#,PC_dv,PC_layer,PC_tube,PC_time_t0[781.25ps],PC_global_z[31.25um],PC_global_x[31.25um],HP2BM_dv,HP2BM_mdt_valid,HP2BM_local_y[31.25um],HP2BM_local_x[31.25um],HP2BM_radius[31.25um],HP2BM_mlayer
25172,3222,116,6307235,0,0,3,1,3,131,784,143558,155167,1,0,2497,11053,47,0
25172,3222,116,6307235,0,1,3,1,3,131,784,143558,155167,0,0,24096,12487,0,0
25172,3222,116,6307235,0,2,3,1,3,131,784,143558,155167,0,0,24096,12487,0,0
25359,3246,116,40386315,1,0,4,1,5,219,794,217131,235665,0,0,6290,20524,0,1
25359,3246,116,40386315,1,1,4,1,5,219,794,217131,235665,1,0,14434,23662,59,1
25359,3246,116,40386315,1,2,4,1,5,219,794,217131,235665,0,0,6290,20524,0,1
25422,3254,116,6831749,0,0,4,1,5,137,812,150405,162400,1,0,9730,17900,83,1
25422,3254,116,6831749,0,1,4,1,5,137,812,150405,162400,0,0,31329,19334,0,1
25422,3254,116,6831749,0,2,4,1,5,137,812,150405,162400,0,0,31329,19334,0,1
25453,3258,116,6306848,0,0,3,1,0,128,821,141155,152670,1,1,0,8650,95,0
25453,3258,116,6306848,0,1,3,1,0,128,821,141155,152670,0,0,21599,10084,0,0
25453,3258,116,6306848,0,2,3,1,0,128,821,141155,152670,0,0,21599,10084,0,0
25484,3262,116,39861286,1,0,3,1,0,206,810,204041,221231,0,0,24624,7434,0,0
25484,3262,116,39861286,1,1,3,1,0,206,810,204041,221231,1,0,0,10572,83,0
25484,3262,116,39861286,1,2,3,1,0,206,810,204041,221231,0,0,24624,7434,0,0
25547,3270,116,73940496,2,0,4,1,3,288,802,283377,309553,0,0,14642,21234,0,1
25547,3270,116,73940496,2,1,4,1,3,288,802,283377,309553,0,0,14642,21234,0,1
25547,3270,116,73940496,2,2,4,1,3,288,802,283377,309553,1,0,12770,16913,71,1
25641,3282,116,6831878,0,0,4,1,6,138,840,150886,163233,1,1,10563,18381,118,1
25641,3282,116,6831878,0,1,4,1,6,138,840,150886,163233,0,0,32162,19815,0,1
25641,3282,116,6831878,0,2,4,1,6,138,840,150886,163233,0,0,32162,19815,0,1
25734,3294,116,40386186,1,0,4,1,4,218,842,216651,234833,0,0,5458,20044,0,1
25734,3294,116,40386186,1,1,4,1,4,218,842,216651,234833,1,1,13602,23182,118,1
25734,3294,116,40386186,1,2,4,1,4,218,842,216651,234833,0,0,5458,20044,0,1
25828,3306,116,73940230,2,0,4,1,2,278,838,273766,298447,0,0,3536,11623,0,0
25828,3306,116,73940230,2,1,4,1,2,278,838,273766,298447,0,0,3536,11623,0,0
