# --------------------------
# CSV files TS = 
# PRJ CFG = BA3_ucm
# SIM TS  = 2022.09.15_12:05:34
# --------------------------
ToS[100ps],ToA[0.78125ns],event,thread,station,slc_id,slid,bcid,mdtseg_Dest,chamber_id,chamber_ieta,vec_pos[1mm],vec_ang[1mrad]
24266,3106,116,2,0,0,63,23,3,1,3,4448,842
24266,3106,116,2,1,0,63,23,3,3,3,6424,842
24266,3106,116,2,2,0,63,23,3,5,4,8552,842
26766,3426,33,1,0,0,63,33,3,1,1,2088,1171
26766,3426,33,1,1,0,63,33,3,3,1,3016,1171
26766,3426,33,1,2,0,63,33,3,5,1,4016,1171
28766,3682,85,0,0,0,63,41,3,1,3,3600,942
28766,3682,85,0,1,0,63,41,3,3,2,5192,942
28766,3682,85,0,2,0,63,41,3,5,3,6912,942
48766,6242,3,2,0,0,63,121,3,1,5,6016,691
48766,6242,3,2,1,0,63,121,3,3,5,8688,691
48766,6242,3,2,2,0,63,121,3,5,5,11552,691
69516,8898,141,1,0,0,63,204,3,1,0,840,1402
69516,8898,141,1,1,0,63,204,3,3,0,1216,1402
69516,8898,141,1,2,0,63,204,3,5,0,1624,1402
83516,10690,51,2,0,0,63,260,3,1,1,1368,1301
83516,10690,51,2,1,0,63,260,3,3,1,1976,1301
83516,10690,51,2,2,0,63,260,3,5,1,2632,1301
85016,10882,0,0,0,0,63,266,3,1,4,5072,773
85016,10882,0,0,1,0,63,266,3,3,4,7320,773
85016,10882,0,0,2,0,63,266,3,5,4,9752,773
94016,12034,50,1,0,0,63,302,3,1,0,992,1375
94016,12034,50,1,1,0,63,302,3,3,0,1432,1375
94016,12034,50,1,2,0,63,302,3,5,0,1912,1375
107766,13794,86,2,0,0,63,357,3,1,3,3944,898
107766,13794,86,2,1,0,63,357,3,3,3,5688,898
107766,13794,86,2,2,0,63,357,3,5,3,7576,898
109016,13954,32,0,0,0,63,362,3,1,1,1568,1264
109016,13954,32,0,1,0,63,362,3,3,1,2264,1264
109016,13954,32,0,2,0,63,362,3,5,1,3008,1264
122016,15618,119,1,0,0,63,414,3,1,3,3520,953
122016,15618,119,1,1,0,63,414,3,3,2,5072,953
122016,15618,119,1,2,0,63,414,3,5,3,6752,953
147016,18818,101,2,0,0,63,514,3,1,2,2864,1050
147016,18818,101,2,1,0,63,514,3,3,2,4128,1050
147016,18818,101,2,2,0,63,514,3,5,2,5504,1050
151266,19362,118,1,0,0,63,531,3,1,2,2680,1077
151266,19362,118,1,1,0,63,531,3,3,2,3872,1077
151266,19362,118,1,2,0,63,531,3,5,2,5152,1077
151516,19394,44,0,0,0,63,532,3,1,0,208,1529
151516,19394,44,0,1,0,63,532,3,3,0,296,1529
151516,19394,44,0,2,0,63,532,3,5,0,400,1529
174266,22306,12,2,0,0,63,623,3,1,3,3504,954
174266,22306,12,2,1,0,63,623,3,3,2,5056,954
174266,22306,12,2,2,0,63,623,3,5,3,6736,954
182016,23298,90,1,0,0,63,654,3,1,5,5616,724
182016,23298,90,1,1,0,63,654,3,3,5,8104,724
182016,23298,90,1,2,0,63,654,3,5,5,10776,724
184266,23586,55,0,0,0,63,663,3,1,5,6088,683
184266,23586,55,0,1,0,63,663,3,3,5,8776,683
184266,23586,55,0,2,0,63,663,3,5,5,11688,683
200766,25698,147,2,0,0,63,729,3,1,2,2672,1076
200766,25698,147,2,1,0,63,729,3,3,2,3864,1076
200766,25698,147,2,2,0,63,729,3,5,2,5144,1076
208266,26658,121,1,0,0,63,759,3,1,1,1536,1272
208266,26658,121,1,1,0,63,759,3,3,1,2224,1272
208266,26658,121,1,2,0,63,759,3,5,1,2952,1272
216266,27682,61,0,0,0,63,791,3,1,0,1200,1332
216266,27682,61,0,1,0,63,791,3,3,0,1736,1332
216266,27682,61,0,2,0,63,791,3,5,0,2312,1332
234766,30050,149,2,0,0,63,865,3,1,1,2024,1182
234766,30050,149,2,1,0,63,865,3,3,1,2920,1182
234766,30050,149,2,2,0,63,865,3,5,1,3888,1182
241016,30850,123,1,0,0,63,890,3,1,1,1656,1250
241016,30850,123,1,1,0,63,890,3,3,1,2392,1250
241016,30850,123,1,2,0,63,890,3,5,1,3184,1250
249766,31970,60,0,0,0,63,925,3,1,0,1216,1330
249766,31970,60,0,1,0,63,925,3,3,0,1752,1330
249766,31970,60,0,2,0,63,925,3,5,1,2336,1330
256766,32866,142,2,0,0,63,953,3,1,3,4160,878
256766,32866,142,2,1,0,63,953,3,3,3,6000,878
256766,32866,142,2,2,0,63,953,3,5,3,7992,878
263016,33666,73,1,0,0,63,978,3,1,2,2376,1127
263016,33666,73,1,1,0,63,978,3,3,1,3432,1127
263016,33666,73,1,2,0,63,978,3,5,2,4568,1127
290766,37218,27,2,0,0,63,1089,3,1,2,3240,991
290766,37218,27,2,1,0,63,1089,3,3,2,4664,991
290766,37218,27,2,2,0,63,1089,3,5,3,6216,991
292766,37474,35,1,0,0,63,1097,3,1,3,4264,860
292766,37474,35,1,1,0,63,1097,3,3,3,6160,860
292766,37474,35,1,2,0,63,1097,3,5,3,8200,860
296516,37954,106,0,0,0,63,1112,3,1,0,264,1518
296516,37954,106,0,1,0,63,1112,3,3,0,376,1518
296516,37954,106,0,2,0,63,1112,3,5,0,504,1518
325016,41602,56,2,0,0,63,1226,3,1,4,4664,820
325016,41602,59,1,0,1,63,1226,3,1,1,1552,1267
325016,41602,56,2,1,0,63,1226,3,3,4,6728,820
325016,41602,59,1,1,1,63,1226,3,3,1,2240,1267
325016,41602,56,2,2,0,63,1226,3,5,4,8952,820
325016,41602,59,1,2,1,63,1226,3,5,1,2984,1267
329766,42210,122,0,0,0,63,1245,3,1,1,1800,1225
329766,42210,122,0,1,0,63,1245,3,3,1,2608,1225
329766,42210,122,0,2,0,63,1245,3,5,1,3464,1225
351516,44994,151,2,0,0,63,1332,3,1,0,880,1394
351516,44994,151,2,1,0,63,1332,3,3,0,1272,1394
351516,44994,151,2,2,0,63,1332,3,5,0,1688,1394
356266,45602,77,1,0,0,63,1351,3,1,5,5720,718
356266,45602,77,1,1,0,63,1351,3,3,5,8256,718
356266,45602,77,1,2,0,63,1351,3,5,5,10976,718
358016,45826,111,0,0,0,63,1358,3,1,4,5320,750
358016,45826,111,0,1,0,63,1358,3,3,4,7680,750
358016,45826,111,0,2,0,63,1358,3,5,4,10224,750
375266,48034,78,2,0,0,63,1427,3,1,4,4888,792
