# --------------------------
# TS:0123456789
# Side:C Sector:3 Area:Barrel
# --------------------------
BCID,ToA,nTC,TC_sent,TC_id,Eta,Phi,pT_thr,Charge,Coincidence,z_RPC0,z_RPC1,z_RPC2,z_RPC3,event
23,2880,1,1,0,-0.43555113673210144,716.210693359375,20,0,5,-2290,-3068,-3386,-4539,116
33,3200,1,1,0,-0.2176312506198883,613.6734008789062,20,1,5,-1113,-1502,-1653,-2163,33
41,3456,1,1,0,-0.5822762250900269,811.4345092773438,20,0,5,-3143,-4223,-4636,-6125,85
121,6016,1,1,0,-0.2049592286348343,592.6600952148438,20,0,5,-1061,-1411,-1562,-2042,3
260,10464,1,1,0,-0.9575351476669312,820.0632934570312,20,1,5,-5666,-7525,-8277,-10828,51
266,10656,1,1,0,-0.36320388317108154,940.132080078125,20,1,5,-1899,-2563,-2790,-3646,0
281,11136,1,1,0,-1.0368200540542603,746.3931884765625,20,1,1,-6291,-8410,-9291,0,9
289,11392,1,1,0,-0.1451561003923416,742.0604858398438,20,1,5,-739,-993,-1084,-1413,115
302,11808,1,1,0,-0.37135595083236694,622.1978759765625,20,1,5,-1943,-2563,-2790,-3646,50
357,13568,1,1,0,-0.19208785891532898,824.3872680664062,20,1,5,-988,-1290,-1411,-1770,86
362,13728,1,1,0,-0.4983847141265869,815.71435546875,20,1,5,-2659,-3505,-3865,-5033,32
365,13824,1,1,0,-0.45175832509994507,785.398193359375,20,1,1,-2393,-3161,-3466,0,15
414,15392,1,1,0,-0.35132262110710144,772.3877563476562,20,1,5,-1833,-2457,-2690,-3510,119
514,18592,1,1,0,-0.9618805050849915,815.7920532226562,20,0,5,-5695,-7716,-8421,-11287,101
531,19136,1,1,0,-0.5849124789237976,931.6240844726562,20,0,5,-3165,-4250,-4649,-6160,118
532,19168,1,1,0,-0.7314119935035706,893.42626953125,20,1,5,-4071,-5438,-5952,-7764,44
590,21024,1,1,0,-0.6851285099983215,576.9031372070312,20,1,5,-3782,-5060,-5556,-7275,54
623,22080,1,1,0,-0.23038224875926971,811.4144897460938,20,0,5,-1186,-1593,-1774,-2358,12
654,23072,1,1,0,-0.06796767562627792,968.7532958984375,20,1,1,-347,-418,-448,0,90
663,23360,1,1,0,-0.25987952947616577,811.41748046875,20,1,5,-1333,-1744,-1927,-2545,55
759,26432,1,1,0,-1.0614362955093384,914.79736328125,20,0,1,-6453,-8679,-9633,0,121
791,27456,1,1,0,-0.24699904024600983,584.5126342773438,20,1,5,-1289,-1714,-1900,-2426,61
808,28000,1,1,0,-0.24161560833454132,985.3167114257812,20,1,5,-1245,-1623,-1774,-2285,113
925,31744,1,1,0,-0.529235303401947,686.0215454101562,20,0,5,-2824,-3839,-4236,-5666,60
978,33440,1,1,0,-0.11580874025821686,772.3930053710938,20,0,5,-589,-812,-903,-1261,73
1089,36992,1,1,0,-0.9147056341171265,781.0656127929688,20,1,2,-5343,-7158,0,-10148,27
1097,37248,1,1,0,-0.2048904448747635,742.071044921875,20,0,5,-1047,-1396,-1532,-2073,35
1112,37728,1,1,0,-0.6880953311920166,991.4539794921875,20,1,5,-3797,-5020,-5526,-7241,106
1136,38496,1,1,0,-0.8228827714920044,690.3841552734375,20,0,5,-4689,-6291,-6878,-9166,17
1175,39744,1,1,0,-0.6660033464431763,561.93017578125,20,1,4,0,-4901,-5409,-7054,71
1226,41376,2,1,0,-0.7237285375595093,871.8182373046875,20,1,5,-4027,-5335,-5805,-7543,56
1226,41376,2,1,1,-0.8332647681236267,994.8065795898438,20,1,5,-4755,-6305,-6878,-8894,59
1245,41984,1,1,0,-0.3513678312301636,685.9618530273438,20,0,5,-1833,-2483,-2737,-3646,122
1281,43136,1,1,0,-0.8142409324645996,789.7361450195312,20,0,5,-4630,-6202,-6790,-9047,46
1296,43616,1,1,0,-0.3551264703273773,893.315673828125,20,1,5,-1841,-2457,-2669,-3412,94
1312,44128,1,1,0,-0.20491942763328552,794.070068359375,20,0,5,-1047,-1411,-1562,-2133,8
1351,45376,1,1,0,-0.37554195523262024,909.2569580078125,20,1,5,-1958,-2616,-2869,-3646,77
1358,45600,1,1,0,-0.6670250296592712,846.97509765625,20,0,5,-3665,-4927,-5438,-7190,111
1362,45728,2,1,0,-0.7235754728317261,694.7025146484375,20,0,5,-4027,-5379,-5908,-7815,63
1362,45728,2,1,1,-1.0043613910675049,555.1774291992188,20,0,2,-6027,-8080,0,-11726,102
1427,47808,1,1,0,-0.6493042707443237,991.4195556640625,20,0,5,-3555,-4742,-5276,-7054,78
1430,47904,1,1,0,-0.3141287863254547,686.0494384765625,20,0,5,-1635,-2218,-2444,-3242,24
1442,48288,1,1,0,-0.8837864995002747,772.375244140625,20,0,5,-5121,-6864,-7511,-9961,79
1461,48896,1,1,0,-0.5258523225784302,575.920166015625,20,1,5,-2813,-3733,-4077,-5245,72
1564,52192,1,1,0,-0.14507155120372772,978.0076904296875,20,1,5,-739,-993,-1084,-1383,64
1597,53248,1,1,0,-0.26840728521347046,824.38134765625,20,1,5,-1379,-1805,-1980,-2545,36
1688,56160,1,1,0,-0.30162695050239563,867.5284423828125,20,1,5,-1569,-2112,-2298,-3004,4
1832,60768,1,1,0,-0.07265636324882507,833.053955078125,20,1,1,-369,-478,-539,0,84
1837,60928,1,1,0,-0.5440534949302673,763.7392578125,20,1,5,-2923,-3892,-4276,-5560,47
1930,63904,1,1,0,-0.5066148042678833,1015.4681396484375,20,1,2,-2681,-3574,0,-5033,34
