MuonID,isOnOfflineSeg,dataValid,IdxRawHit,L_localX,L_localY,C_localX,C_localY,DriftTime,DriftTimeCorr,driftRadius_Rt,offIDriftTime,offIDriftTimeCorr
7355404,1,1,29,165.192505,15.0175,15.0175,165.192505,1155.46875,313.261719,1.0,315.654755,313.261719
7355404,1,1,29,135.157501,15.0175,15.0175,135.157501,1155.46875,313.261719,1.0,315.654755,313.261719
7355405,1,1,25,195.227493,15.0175,15.0175,195.227493,1104.6875,262.402649,1.0,264.796234,262.402649
7355405,1,1,25,165.192505,15.0175,15.0175,165.192505,1104.6875,262.402649,1.0,264.796234,262.402649
7355534,1,1,4,210.244995,41.028599,41.028599,210.244995,874.21875,31.840393,1.0,34.24667,31.840393
7355534,1,1,4,180.209991,41.028599,41.028599,180.209991,874.21875,31.840393,1.0,34.24667,31.840393
7355662,1,1,34,195.227493,67.039604,67.039604,195.227493,1321.875,479.403015,1.0,481.822113,479.403015
7355662,1,1,34,225.262497,67.039604,67.039604,225.262497,1321.875,479.403015,1.0,481.822113,479.403015
7355663,1,1,15,255.297501,67.039604,67.039604,255.297501,1001.5625,159.012756,1.0,161.432327,159.012756
7355663,1,1,15,225.262497,67.039604,67.039604,225.262497,1001.5625,159.012756,1.0,161.432327,159.012756
7355792,1,1,10,240.279999,93.050697,93.050697,240.279999,922.65625,80.012939,1.0,82.445267,80.012939
7355792,1,1,10,270.315002,93.050697,93.050697,270.315002,922.65625,80.012939,1.0,82.445267,80.012939
7355928,1,1,18,480.559998,293.087494,293.087494,480.559998,1024.21875,180.532593,1.0,183.065216,180.532593
7355928,1,1,18,510.595001,293.087494,293.087494,510.595001,1024.21875,180.532593,1.0,183.065216,180.532593
7355929,1,1,31,540.630005,293.087494,293.087494,540.630005,1269.53125,425.767334,1.0,428.300446,425.767334
7355929,1,1,31,510.595001,293.087494,293.087494,510.595001,1269.53125,425.767334,1.0,428.300446,425.767334
7356057,1,1,1,555.647522,319.098602,319.098602,555.647522,856.25,12.392517,1.0,14.938372,12.392517
7356057,1,1,1,525.612488,319.098602,319.098602,525.612488,856.25,12.392517,1.0,14.938372,12.392517
7356186,1,1,28,540.630005,345.109589,345.109589,540.630005,1143.75,299.79895,1.0,302.357574,299.79895
7356186,1,1,28,570.664978,345.109589,345.109589,570.664978,1143.75,299.79895,1.0,302.357574,299.79895
7356187,1,1,26,570.664978,345.109589,345.109589,570.664978,1120.3125,276.28363,1.0,278.842773,276.28363
7356187,1,1,26,600.700012,345.109589,345.109589,600.700012,1120.3125,276.28363,1.0,278.842773,276.28363
7356315,1,1,2,585.682495,371.120697,371.120697,585.682495,867.1875,23.065063,1.0,25.636969,23.065063
7356315,1,1,2,615.717468,371.120697,371.120697,615.717468,867.1875,23.065063,1.0,25.636969,23.065063
40909850,1,1,7,165.192505,15.0175,15.0175,165.192505,895.3125,41.801819,1.0,45.269634,41.801819
40909850,1,1,7,135.157501,15.0175,15.0175,135.157501,895.3125,41.801819,1.0,45.269634,41.801819
40909978,1,1,22,180.209991,41.028599,41.028599,180.209991,1076.5625,222.958191,1.0,226.438446,222.958191
40909978,1,1,22,150.175003,41.028599,41.028599,150.175003,1076.5625,222.958191,1.0,226.438446,222.958191
