BCID,ToA,nTC,TC_sent,TC_id,Eta,Phi,pT_thr,Charge,Coincidence,z_RPC0,z_RPC1,z_RPC2,z_RPC3,event
23,2880,1,1,0,0.829482,948.601013,20,0,5,4747,6320,6908,9030,116
33,3200,1,1,0,0.400434,871.961914,20,1,5,2107,2830,3121,4122,33
41,3456,1,1,0,0.657052,769.032593,20,1,5,3599,4781,5291,7054,85
121,6016,1,1,0,1.037791,923.442749,20,0,3,6288,0,9263,12062,3
204,8672,1,1,0,0.162196,639.10437,20,1,5,827,1116,1222,1636,141
260,10464,1,1,0,0.272522,794.063171,20,0,5,1415,1900,2086,2732,51
266,10656,1,1,0,0.905697,850.456055,20,0,3,5277,0,7777,10148,0
269,10752,1,1,0,0.375956,729.364197,20,1,2,1951,2616,0,3918,138
281,11136,1,1,0,0.025387,563.200073,20,0,4,0,174,200,212,9
289,11392,1,1,0,0.234558,559.5047,20,0,2,1215,1620,0,2282,115
302,11808,1,1,0,0.212238,1011.271729,20,0,2,1091,1448,0,2044,50
357,13568,1,1,0,0.706298,838.421692,20,1,5,3913,5291,5791,7713,86
362,13728,1,1,0,0.326416,789.730896,20,0,5,1694,2245,2457,3208,32
365,13824,1,1,0,0.671372,945.569824,20,1,5,3687,4901,5409,7207,15
378,14240,1,1,0,0.883907,841.783875,20,0,5,5121,6849,7466,9757,148
414,15392,1,1,0,0.635821,734.677429,20,1,5,3478,4609,5099,6850,119
514,18592,1,1,0,0.506834,953.045776,20,1,5,2703,3667,4064,5454,101
531,19136,1,1,0,0.528976,957.000977,20,0,5,2835,3786,4157,5419,118
532,19168,1,1,0,0.052396,750.912292,20,0,4,0,359,386,484,44
590,21024,1,1,0,0.59582,918.854492,20,0,5,3231,4276,4675,6055,54
623,22080,1,1,0,0.673918,799.377563,20,0,5,3709,4927,5409,7088,12
654,23072,1,1,0,0.91981,668.804504,20,1,5,5387,7275,8065,10775,90
663,23360,1,1,0,1.038838,763.730408,20,0,3,6306,0,9291,12132,55
729,25472,1,1,0,0.518337,694.516968,20,0,5,2769,3733,4104,5349,147
759,26432,1,1,0,0.289245,961.234009,20,1,5,1489,2006,2218,2970,121
791,27456,1,1,0,0.217468,798.394958,20,1,2,1127,1514,0,2282,61
808,28000,1,1,0,0.504587,990.344849,20,1,5,2692,3600,3971,5280,113
865,29824,1,1,0,0.411934,763.734802,20,0,5,2165,2869,3134,4122,149
890,30624,1,1,0,0.347111,961.3125,20,0,5,1804,2404,2616,3410,123
925,31744,1,1,0,0.230216,681.75824,20,1,5,1193,1593,1779,2358,60
953,32640,1,1,0,0.796655,1007.596252,20,0,5,4511,5982,6526,8520,142
978,33440,1,1,0,0.467575,978.156433,20,0,5,2481,3293,3653,4768,73
1089,36992,1,1,0,0.611491,782.13324,20,1,4,0,4463,4927,6476,27
1097,37248,1,1,0,0.768298,867.638,20,1,5,4320,5791,6349,8435,35
1112,37728,1,1,0,0.036966,570.646423,20,1,4,0,253,280,416,106
1136,38496,1,1,0,0.085622,755.058105,20,0,5,442,598,651,824,17
1141,38656,1,1,0,0.913359,720.462524,20,1,2,5329,7172,0,10437,126
1157,39168,1,1,0,0.466877,703.304871,20,0,5,2466,3280,3627,4715,153
1175,39744,1,1,0,1.015058,990.672485,20,0,5,6108,8171,8876,11620,71
1226,41376,2,1,1,0.297485,871.830994,20,1,5,1547,2073,2298,3038,59
1226,41376,2,1,0,0.798082,965.695801,20,1,5,4489,6114,6673,8979,56
1245,41984,1,1,0,0.335011,994.837708,20,1,5,1745,2351,2589,3476,122
1258,42400,1,1,0,0.025306,924.475342,20,1,4,0,174,200,280,135
1281,43136,1,1,0,0.272735,613.663696,20,0,5,1415,1874,2059,2630,46
1296,43616,1,1,0,0.701826,924.149292,20,0,5,3877,5166,5703,7458,94
1312,44128,1,1,0,0.275273,884.741577,20,0,5,1434,1927,2086,2732,8
1332,44768,1,1,0,0.153727,746.812622,20,1,5,797,1063,1196,1636,151
1351,45376,1,1,0,1.02283,588.58667,20,0,5,6174,8246,8982,11691,77
1358,45600,1,1,0,0.942584,871.836182,20,0,5,5556,7422,8140,10687,111
1362,45728,2,1,1,0.313533,977.632507,20,1,5,1628,2192,2430,3225,102
1362,45728,2,1,0,0.649892,717.085327,20,0,5,3555,4742,5205,6816,63
1427,47808,1,1,0,0.838169,720.37439,20,1,2,4799,6496,0,9502,78
1430,47904,1,1,0,0.993737,703.049866,20,0,5,5939,7913,8618,11287,24
1442,48288,1,1,0,0.162216,889.047363,20,1,5,841,1116,1222,1636,79
1461,48896,1,1,0,0.731376,630.489685,20,0,5,4071,5423,5879,7594,72
1564,52192,1,1,0,0.428045,677.432007,20,1,5,2261,3028,3346,4539,64
1597,53248,1,1,0,0.107159,660.36908,20,1,5,552,783,863,1181,36
1602,53408,1,1,0,0.824509,724.68103,20,0,5,4703,6320,6908,9081,139
1688,56160,1,1,0,0.209155,927.51709,20,1,5,1083,1461,1620,2180,4
1832,60768,1,1,0,0.817346,759.379822,20,1,5,4659,6246,6820,9081,84
1837,60928,1,1,0,0.603279,768.07196,20,1,5,3253,4369,4781,6408,47
1930,63904,1,1,0,0.510366,973.94281,20,0,5,2725,3653,3998,5209,34
1944,64352,1,1,0,0.800779,685.990967,20,0,5,4522,6041,6584,8622,136
1952,64608,1,1,0,0.770443,1002.760193,20,1,5,4335,5835,6408,8639,49
1961,64896,1,1,0,0.487236,850.400146,20,1,5,2580,3479,3892,5209,29
1967,65088,1,1,0,0.204862,969.680969,20,0,5,1047,1395,1540,2010,39
1977,65408,1,1,0,0.486982,605.213806,20,1,5,2591,3466,3839,5050,97
1987,65728,1,1,0,1.00762,820.127441,20,1,5,6049,8110,8891,11762,89
2010,66464,1,1,0,0.264582,571.72583,20,1,5,1364,1874,2059,2766,69
2019,66752,1,1,0,0.175113,871.905396,20,1,5,907,1209,1342,1789,145
2047,67648,1,1,0,0.737877,660.3125,20,1,5,4115,5497,6055,8087,13
2122,70048,1,1,0,0.810919,703.174133,20,0,5,4601,6173,6761,8877,131
2144,70752,1,1,0,0.404403,990.7146,20,1,5,2121,2843,3134,4122,91
2148,70880,1,1,0,0.91773,841.802368,20,1,3,5365,0,7958,10488,22
