ToA,coarse_time,fine_time,Local_Tube_Number,Tube_Number,Tube_Layer,ChamberId,Chamber_iEta,Station_Type,tube_z,tube_rho,drift_time,event,muonFixedId,csm,mezz,channel,t0,TOF
1471,45,31,30,60,0,1,2,0,-2151,4770,14.761962890625,116,3161117,1,9,23,542.5,17.456811904907227
1511,47,7,31,61,1,1,2,0,-2166,4796,45.9122314453125,116,3161246,1,11,13,542.5,17.556499481201172
1527,47,23,44,92,2,3,2,1,-3156,6965,50.4600830078125,116,36715819,3,11,23,542.5,25.508697509765625
1583,49,15,72,120,5,5,2,2,-4477,9725,84.00494384765625,116,70270791,5,16,16,542.5,35.71379470825195
1592,49,24,65,113,0,5,2,2,-4267,9274,92.69622802734375,116,70270016,5,17,1,542.5,34.05375671386719
1599,49,31,31,61,2,1,2,0,-2181,4822,114.56256103515625,116,3161374,1,11,7,542.5,17.656192779541016
1603,50,3,43,91,1,3,2,1,-3141,6939,109.93475341796875,116,36715690,3,11,13,542.5,25.408994674682617
1649,51,17,71,119,4,5,2,2,-4462,9699,135.667236328125,116,70270662,5,16,10,542.5,35.614036560058594
1666,52,2,65,113,1,5,2,2,-4282,9300,150.40899658203125,116,70270144,5,17,9,542.5,34.15351486206055
1720,53,24,43,91,0,3,2,1,-3126,6913,201.440673828125,116,36715562,3,11,5,542.5,25.309297561645508
1731,54,3,35,65,4,1,2,0,-2286,5048,216.85601806640625,116,3161634,1,10,21,542.5,18.48771095275879
1739,54,11,32,62,3,1,2,0,-2196,4848,223.83782958984375,116,3161503,1,11,0,542.5,17.755891799926758
1757,54,29,71,119,3,5,2,2,-4447,9673,220.1419677734375,116,70270534,5,16,2,542.5,35.514278411865234
1784,55,24,66,114,2,5,2,2,-4297,9326,242.4967041015625,116,70270273,5,17,19,542.5,34.25328063964844
1815,56,23,50,98,5,3,2,1,-3336,7364,273.99951171875,116,36716337,3,12,19,542.5,26.96925163269043
1826,57,2,48,48,4,3,1,1,-1831,7338,34.33282470703125,33,37240495,2,10,8,542.5,25.22966194152832
1832,57,8,42,42,5,3,1,1,-1636,7364,39.08538818359375,33,37240617,2,10,19,542.5,25.16461181640625
1836,57,12,43,43,5,5,1,2,-2146,9725,34.15338134765625,33,70795050,4,10,21,542.5,33.22161865234375
1844,57,20,4,52,4,3,2,1,-1970,7338,48.279541015625,33,36716163,3,0,15,542.5,25.345468521118164
1867,58,11,39,39,2,3,1,1,-1546,6965,67.79376220703125,33,37240102,2,9,20,542.5,23.79998779296875
1867,58,11,25,25,3,1,1,0,-1065,4848,75.033203125,33,3685784,0,9,1,542.5,16.56052017211914
1888,59,0,27,27,6,1,1,0,-1125,5101,90.57525634765625,33,3686170,0,8,6,542.5,17.42471694946289
1890,59,2,26,26,5,1,1,0,-1110,5075,92.2332763671875,33,3686041,0,8,14,542.5,17.3292236328125
1892,59,4,47,47,3,3,1,1,-1786,7312,86.015625,33,37240366,2,10,2,542.5,25.109397888183594
1913,59,25,35,65,7,1,2,0,-2301,5127,358.78564453125,116,3162018,1,10,1,542.5,18.745590209960938
1913,59,25,40,40,0,5,1,2,-2056,9274,95.84368896484375,33,70794279,4,9,2,542.5,31.68756866455078
1917,59,29,24,24,2,1,1,0,-1050,4822,114.19122314453125,33,3685655,0,7,11,542.5,16.46505355834961
1935,60,15,1,49,3,3,2,1,-1865,7312,119.5460205078125,33,36716032,3,0,1,542.5,25.172739028930664
1948,60,28,1,49,4,3,2,1,-1880,7338,129.60577392578125,33,36716160,3,0,9,542.5,25.269207000732422
1952,61,0,35,65,5,1,2,0,-2301,5075,389.41259765625,116,3161762,1,10,13,542.5,18.587413787841797
1985,62,1,67,115,2,5,2,2,-4327,9326,399.48590087890625,116,70270274,5,17,21,542.5,34.295326232910156
1995,62,11,40,40,2,5,1,2,-2056,9326,159.73675537109375,33,70794535,4,9,18,542.5,31.857004165649414
1995,62,11,24,24,0,1,1,0,-1050,4770,175.2982177734375,33,3685399,0,7,23,542.5,16.29554557800293
2018,63,2,49,97,4,3,2,1,-3321,7338,432.69293212890625,116,36716208,3,12,9,542.5,26.869550704956055
2084,65,4,39,39,0,3,1,1,-1546,6913,237.494384765625,33,37239846,2,9,4,542.5,23.630615234375
2088,65,8,5,53,5,3,2,1,-1985,7364,238.8077392578125,33,36716292,3,0,22,542.5,25.4422664642334
2105,65,25,19,85,0,1,3,0,-2920,4770,58.8719482421875,85,2636818,0,7,19,542.5,18.659305572509766
2108,65,28,1,49,5,3,2,1,-1865,7364,254.5340576171875,33,36716288,3,0,17,542.5,25.34092140197754
2135,66,23,20,86,1,1,3,0,-2935,4796,82.20928955078125,85,2636947,0,7,12,542.5,18.759458541870117
2153,67,9,53,173,5,5,3,2,-6086,9725,76.7606201171875,85,69746484,4,12,22,542.5,38.27064514160156
2155,67,11,43,163,0,5,3,2,-5786,9274,80.1300048828125,85,69745706,4,11,5,542.5,36.46372604370117
2158,67,14,33,137,3,3,3,1,-4526,7312,90.251220703125,85,36191776,2,8,1,542.5,28.686254501342773
2165,67,21,42,42,3,3,1,1,-1636,7312,299.4110107421875,33,37240361,2,10,3,542.5,24.9952449798584
2167,67,23,50,98,3,3,2,1,-3336,7312,549.157470703125,116,36716081,3,12,3,542.5,26.81128692626953
2169,67,25,43,43,3,5,1,2,-2146,9673,294.47906494140625,33,70794794,4,10,5,542.5,33.052188873291016
2174,67,30,20,86,2,1,3,0,-2950,4822,112.577880859375,85,2637075,0,7,6,542.5,18.85961151123047
2178,68,2,26,130,2,3,3,1,-4315,6965,107.2296142578125,85,36191513,2,7,19,542.5,27.332860946655273
2189,68,13,52,172,4,5,3,2,-6071,9699,104.9857177734375,85,69746355,4,12,15,542.5,38.17052459716797
2203,68,27,43,163,1,5,3,2,-5801,9300,117.5299072265625,85,69745834,4,11,13,542.5,36.5638542175293
2203,68,27,33,137,4,3,3,1,-4541,7338,125.307373046875,85,36191904,2,8,9,542.5,28.786394119262695
2204,68,28,35,65,6,1,2,0,-2286,5101,586.2290649414062,116,3161890,1,10,7,542.5,18.645923614501953
2207,68,31,21,87,3,1,3,0,-2965,4848,138.25897216796875,85,2637204,0,7,2,542.5,18.959766387939453
2216,69,8,25,129,1,3,3,1,-4300,6939,137.01727294921875,85,36191384,2,7,9,542.5,27.232725143432617
2250,70,10,36,66,6,1,2,0,-2316,5101,622.1253662109375,116,3161891,1,10,9,542.5,18.687122344970703
2260,70,20,34,138,5,3,3,1,-4556,7364,169.73846435546875,85,36192033,2,8,19,542.5,28.886533737182617
2265,70,25,44,164,2,5,3,2,-5816,9326,165.86724853515625,85,69745963,4,11,23,542.5,36.66398239135742
2265,70,25,41,41,4,3,1,1,-1621,7338,377.462158203125,33,37240488,2,10,9,542.5,25.06906509399414
2268,70,28,52,172,3,5,3,2,-6056,9673,166.8045654296875,85,69746227,4,12,7,542.5,38.070404052734375
2268,70,28,42,42,4,5,1,2,-2131,9699,371.7489013671875,33,70794921,4,10,11,542.5,33.12611389160156
2287,71,15,48,48,3,3,1,1,-1816,7312,394.58538818359375,33,37240367,2,10,0,542.5,25.133365631103516
2290,71,18,49,97,3,3,2,1,-3306,7312,645.2926635742188,116,36716080,3,12,1,542.5,26.769851684570312
2292,71,20,25,129,0,3,3,1,-4285,6913,196.492431640625,85,36191256,2,7,1,542.5,27.132587432861328
2335,72,31,47,47,5,3,1,1,-1786,7364,431.94073486328125,33,37240622,2,10,18,542.5,25.277999877929688
2352,73,16,3,51,3,3,2,1,-1925,7312,445.2769775390625,33,36716034,3,0,5,542.5,25.223005294799805
2376,74,8,38,38,1,3,1,1,-1531,6939,465.5455322265625,33,37239973,2,9,8,542.5,23.704450607299805
2381,74,13,47,47,4,3,1,1,-1801,7338,467.95068359375,33,37240494,2,10,10,542.5,25.20558738708496
2415,75,15,4,52,3,3,2,1,-1955,7312,494.47003173828125,33,36716035,3,0,7,542.5,25.24869728088379
2428,75,28,48,48,5,3,1,1,-1816,7364,504.57318115234375,33,37240623,2,10,16,542.5,25.301807403564453
2455,76,23,27,27,7,1,1,0,-1140,5127,533.448486328125,33,3686298,0,8,0,542.5,17.520265579223633
2472,77,8,26,26,4,1,1,0,-1095,5048,547.0162353515625,33,3685913,0,8,20,542.5,17.233781814575195
2487,77,23,27,93,6,1,3,0,-3145,5101,355.97796630859375,85,2637594,0,8,6,542.5,19.990802764892578
2502,78,6,25,91,4,1,3,0,-3085,5048,367.94940185546875,85,2637336,0,8,22,542.5,19.73808479309082
2530,79,2,26,92,5,1,3,0,-3130,5075,389.67181396484375,85,2637465,0,8,14,542.5,19.89065933227539
2539,79,11,40,40,1,5,1,2,-2071,9300,584.8106079101562,33,70794407,4,9,10,542.5,31.78313446044922
2544,79,16,24,24,1,1,1,0,-1035,4796,604.13037109375,33,3685527,0,7,17,542.5,16.36964225769043
2561,80,1,27,93,7,1,3,0,-3160,5127,413.6903076171875,85,2637722,0,8,0,542.5,20.090946197509766
2572,80,12,2,50,5,3,2,1,-1895,7364,617.00927734375,33,36716289,3,0,19,542.5,25.36570167541504
2600,81,8,29,95,6,1,3,0,-3205,5101,444.1533203125,85,2637596,0,8,7,542.5,20.09670639038086
2600,81,8,25,91,5,1,3,0,-3100,5075,444.4117431640625,85,2637464,0,8,16,542.5,19.838239669799805
2622,81,30,2,50,3,3,2,1,-1895,7312,656.2398071289062,33,36716033,3,0,3,542.5,25.19768524169922
2720,85,0,26,92,6,1,3,0,-3115,5101,538.0615844726562,85,2637593,0,8,8,542.5,19.93839454650879
2852,89,4,26,92,7,1,3,0,-3130,5127,641.08642578125,85,2637721,0,8,2,542.5,20.038551330566406
4613,144,5,23,23,1,1,1,0,-1005,4796,20.55743408203125,3,3685526,0,7,15,542.5,16.348791122436523
4637,144,29,25,25,6,1,1,0,-1065,5101,38.27362060546875,3,3686168,0,8,10,542.5,17.382631301879883
4639,144,31,39,39,3,5,1,2,-2026,9673,24.25103759765625,3,70794790,4,8,2,542.5,32.96770095825195
4688,146,16,38,38,4,3,1,1,-1531,7338,70.49407958984375,3,37240485,2,8,12,542.5,25.005945205688477
4690,146,18,35,35,1,3,1,1,-1441,6939,73.4210205078125,3,37239970,2,9,13,542.5,23.64150619506836
4711,147,7,36,36,0,5,1,2,-1936,9274,81.865478515625,3,70794275,4,9,7,542.5,31.60324478149414
4763,148,27,36,36,1,5,1,2,-1951,9300,122.39532470703125,3,70794403,4,9,15,542.5,31.698429107666016
4789,149,21,36,36,2,3,1,1,-1456,6965,150.6695556640625,3,37240099,2,9,23,542.5,23.736663818359375
4791,149,23,38,38,3,3,1,1,-1516,7312,151.0579833984375,3,37240357,2,8,4,542.5,24.910797119140625
4849,151,17,25,25,7,1,1,0,-1080,5127,203.80340576171875,3,3686296,0,8,4,542.5,17.477834701538086
4891,152,27,25,25,4,1,1,0,-1065,5048,236.88092041015625,3,3685912,0,8,22,542.5,17.21280860900879
4908,153,12,23,23,2,1,1,0,-1020,4822,250.93096923828125,3,3685654,0,7,9,542.5,16.44401741027832
4978,155,18,39,39,4,5,1,2,-2041,9699,288.99957275390625,3,70794918,4,8,10,542.5,33.06290817260742
5042,157,18,22,22,0,1,1,0,-990,4770,355.80889892578125,3,3685397,0,7,22,542.5,16.253623962402344
5100,159,12,39,39,5,5,1,2,-2026,9725,384.2374267578125,3,70795046,4,8,18,542.5,33.1375617980957
5102,159,14,23,23,3,1,1,0,-1005,4848,402.4188232421875,3,3685782,0,7,3,542.5,16.51866340637207
5133,160,13,24,24,5,1,1,0,-1050,5075,425.8687744140625,3,3686039,0,6,15,542.5,17.287485122680664
5252,164,4,39,39,5,3,1,1,-1546,7364,511.02386474609375,3,37240614,2,8,18,542.5,25.101131439208984
5260,164,12,35,35,0,3,1,1,-1426,6913,518.82861328125,3,37239842,2,9,5,542.5,23.546390533447266
9047,282,23,6,168,5,1,6,0,-5650,5075,0.6353759765625,51,1064581,1,0,15,542.5,25.33339500427246
9067,283,11,27,159,1,1,5,0,-5345,4796,17.63525390625,51,1588378,0,9,14,542.5,23.95848846435547
9073,283,17,34,274,4,3,6,1,-8711,7338,8.287353515625,51,34619041,3,8,11,542.5,37.993892669677734
9074,283,18,40,240,0,3,5,1,-7656,6913,12.6527099609375,51,35142695,2,9,2,542.5,34.409820556640625
9076,283,20,14,254,3,3,6,1,-8095,7312,12.23602294921875,51,34618893,3,2,4,542.5,36.38896942138672
9088,284,0,14,254,4,3,6,1,-8110,7338,21.51568603515625,51,34619021,3,2,12,542.5,36.48431396484375
9092,284,4,19,259,0,3,6,1,-8245,6913,25.232177734375,51,34618386,3,5,5,542.5,35.892845153808594
9101,284,13,8,170,7,1,6,0,-5710,5127,42.557861328125,51,1064839,1,2,2,542.5,25.598419189453125
9103,284,15,48,288,3,3,6,1,-9116,7312,30.735107421875,51,34618927,3,10,0,542.5,38.98365783691406
9117,284,29,29,161,3,1,5,0,-5405,4848,56.4327392578125,51,1588636,0,9,3,542.5,24.2235164642334
9136,285,16,47,287,3,3,6,1,-9086,7312,56.59442138671875,51,34618926,3,10,2,542.5,38.905555725097656
9141,285,21,47,287,5,3,6,1,-9086,7364,60.39166259765625,51,34619182,3,10,18,542.5,39.014583587646484
9144,285,24,32,272,4,3,6,1,-8651,7338,63.90911865234375,51,34619039,3,6,8,542.5,37.84086990356445
9154,286,2,29,269,4,3,6,1,-8560,7338,71.9503173828125,51,34619036,3,6,14,542.5,37.6121711730957
9164,286,12,3,323,4,5,6,2,-10660,9699,69.30029296875,51,68173442,5,0,13,542.5,48.074710845947266
9183,286,31,19,259,2,3,6,1,-8245,6965,96.21417236328125,51,34618642,3,5,21,542.5,36.004581451416016
9183,286,31,61,309,1,5,5,2,-10222,9300,86.12042236328125,51,68697276,4,15,14,542.5,46.09831619262695
9188,287,4,28,268,4,3,6,1,-8530,7338,98.5888671875,51,34619035,3,6,15,542.5,37.536163330078125
9201,287,17,61,309,0,5,5,2,-10207,9274,100.27838134765625,51,68697148,4,15,6,542.5,46.00288391113281
9212,287,28,46,286,5,3,6,1,-9056,7364,115.93817138671875,51,34619181,3,10,20,542.5,38.93680191040039
9214,287,30,36,276,3,3,6,1,-8756,7312,118.38421630859375,51,34618915,3,8,7,542.5,38.05327224731445
9216,288,0,1,241,2,3,6,1,-7705,6965,123.35345458984375,51,34618624,3,1,17,542.5,34.64652633666992
9229,288,13,4,324,5,5,6,2,-10675,9725,119.986083984375,51,68173571,5,0,23,542.5,48.170162200927734
9247,288,31,27,267,3,3,6,1,-8485,7312,144.85308837890625,51,34618906,3,6,5,542.5,37.365665435791016
9251,289,3,26,266,3,3,6,1,-8455,7312,148.05389404296875,51,34618905,3,6,3,542.5,37.28982925415039
9254,289,6,47,287,4,3,6,1,-9101,7338,148.6884765625,51,34619054,3,10,10,542.5,38.99899673461914
9264,289,16,30,78,4,3,2,1,-2751,7338,19.3577880859375,0,36716189,3,6,12,542.5,26.142187118530273
9268,289,20,26,74,2,3,2,1,-2615,6965,23.80621337890625,0,36715801,3,7,19,542.5,24.818761825561523
9276,289,28,16,256,5,3,6,1,-8155,7364,168.22100830078125,51,34619151,3,2,16,542.5,36.65397644042969
9281,290,1,22,52,4,1,2,0,-1895,5048,40.7916259765625,0,3161621,1,6,23,542.5,17.989648818969727
9292,290,12,38,86,0,5,2,2,-3456,9274,34.3603515625,0,70269989,5,9,0,542.5,33.014678955078125
9308,290,28,33,273,4,3,6,1,-8681,7338,191.95770263671875,51,34619040,3,8,9,542.5,37.91732406616211
9312,291,0,18,48,0,1,2,0,-1790,4770,66.001953125,0,3161105,1,5,23,542.5,16.998043060302734
9318,291,6,27,159,2,1,5,0,-5360,4822,213.6337890625,51,1588506,0,9,8,542.5,24.05373764038086
9324,291,12,48,288,4,3,6,1,-9131,7338,203.2979736328125,51,34619055,3,10,8,542.5,39.0770378112793
9326,291,14,25,73,1,3,2,1,-2600,6939,69.21759033203125,0,36715672,3,7,9,542.5,24.71993064880371
9332,291,20,63,311,2,5,5,2,-10267,9326,202.35711669921875,51,68697406,4,15,20,542.5,46.26787567138672
9334,291,22,46,286,4,3,6,1,-9071,7338,211.26641845703125,51,34619053,3,10,12,542.5,38.92105484008789
9334,291,22,38,86,1,5,2,2,-3471,9300,67.07403564453125,0,70270117,5,9,8,542.5,33.11347579956055
9338,291,26,31,79,5,3,2,1,-2766,7364,77.07147216796875,0,36716318,3,6,18,542.5,26.241018295288086
9349,292,5,30,270,4,3,6,1,-8591,7338,224.21795654296875,51,34619037,3,6,12,542.5,37.688289642333984
9355,292,11,46,286,3,3,6,1,-9056,7312,227.76617431640625,51,34618925,3,10,4,542.5,38.82755661010742
9359,292,15,43,91,3,5,2,2,-3606,9673,85.28179931640625,0,70270506,5,10,5,542.5,34.436927795410156
9379,293,3,2,322,3,5,6,2,-10615,9673,237.4385986328125,51,68173313,5,0,3,542.5,47.905181884765625
9382,293,6,7,169,6,1,6,0,-5665,5101,262.25885009765625,51,1064710,1,2,10,542.5,25.42865753173828
9407,293,31,6,168,4,1,6,0,-5635,5048,281.9805908203125,51,1064453,1,0,19,542.5,25.238168716430664
9425,294,17,30,78,3,3,2,1,-2736,7312,145.2379150390625,0,36716061,3,6,4,542.5,26.043365478515625
9428,294,20,40,240,1,3,5,1,-7671,6939,289.119873046875,51,35142823,2,9,10,542.5,34.505157470703125
9434,294,26,36,276,5,3,6,1,-8756,7364,290.14776611328125,51,34619171,3,8,23,542.5,38.16473388671875
9448,295,8,25,157,0,1,5,0,-5300,4770,315.4613037109375,51,1588248,0,9,19,542.5,23.788719177246094
9456,295,16,22,52,5,1,2,0,-1910,5075,177.4114990234375,0,3161749,1,6,17,542.5,18.088491439819336
9471,295,31,26,158,0,1,5,0,-5330,4770,333.35546875,51,1588249,0,9,18,542.5,23.863279342651367
9474,296,2,15,255,5,3,6,1,-8125,7364,322.9827880859375,51,34619150,3,2,18,542.5,36.57968521118164
9497,296,25,48,288,5,3,6,1,-9116,7364,338.43878173828125,51,34619183,3,10,16,542.5,39.09246826171875
9506,297,2,19,49,1,1,2,0,-1805,4796,217.46563720703125,0,3161234,1,7,13,542.5,17.09688377380371
9533,297,29,5,167,4,1,6,0,-5605,5048,380.49261474609375,51,1064452,1,0,21,542.5,25.16364097595215
9534,297,30,31,271,4,3,6,1,-8621,7338,368.6729736328125,51,34619038,3,6,10,542.5,37.764522552490234
