 BCID  ToA     TDC     Tube_Number  Local Tube_Number  Tube_Layer  ChamberId  Station_Type  tube z  tube_rho  drift_radius  
 34    2774    2165    37           7                  0           2          0             95376   76334     17            
 34    2792    2183    41           11                 6           2          0             102104  81616     37            
 34    2836    2227    90           18                 2           2          2             184680  149223    64            
 34    2860    2251    94           22                 5           2          2             192369  155608    90            
 34    2897    2288    66           10                 2           2          1             138582  111447    146           
 34    2899    2290    93           21                 4           2          2             191408  155192    135           
 34    2914    2305    40           10                 5           2          0             101143  81200     171           
 34    2920    2311    89           17                 1           2          2             183719  148807    158           
 34    2941    2332    70           14                 5           2          1             146271  117832    184           
 34    2944    2335    38           8                  1           2          0             96337   76751     196           
 34    3037    2428    41           11                 7           2          0             103065  82032     254           
 34    3128    2519    70           14                 3           2          1             146271  117000    294           
 34    3135    2526    38           8                  3           2          0             96337   77583     303           
 34    3248    2639    66           10                 0           2          1             138582  110615    345           
 34    3279    2670    65           9                  1           2          1             137621  111031    356           
 34    3289    2680    93           21                 3           2          2             190447  154776    355           
 34    3335    2726    40           10                 4           2          0             100182  80783     378           
 34    3351    2742    89           17                 0           2          2             182758  148391    377           
 34    3409    2800    38           8                  2           2          0             97299   77167     402           
 34    3431    2822    69           13                 4           2          1             145310  117416    405           
 199   8050    7441    33           3                  7           2          0             87687   82032     1             
 199   8103    7494    57           1                  0           2          1             121282  110615    59            
 199   8124    7515    30           0                  2           2          0             81921   77167     96            
 199   8145    7536    61           5                  3           2          1             128971  117000    106           
 199   8168    7559    31           1                  3           2          0             82882   77583     145           
 199   8181    7572    81           9                  2           2          2             167380  149223    134           
 199   8231    7622    85           13                 5           2          2             175069  155608    180           
 199   8254    7645    33           3                  4           2          0             86726   80783     215           
 199   8303    7694    33           3                  6           2          0             86726   81616     245           
 199   8384    7775    57           1                  1           2          1             122243  111031    283           
 199   8460    7851    85           13                 3           2          2             175069  154776    311           
 199   8473    7864    30           0                  1           2          0             80960   76751     326           
 199   8477    7868    61           5                  4           2          1             129932  117416    323           
 199   8565    7956    80           8                  1           2          2             166419  148807    352           
 199   8568    7959    81           9                  0           2          2             167380  148391    353           
 199   8583    7974    30           0                  0           2          0             81921   76334     367           
 199   8619    8010    61           5                  5           2          1             128971  117832    375           
 199   8688    8079    84           12                 4           2          2             174108  155192    393           
 199   8751    8142    57           1                  2           2          1             121282  111447    417           
 199   8853    8244    33           3                  5           2          0             87687   81200     449           
 199   8887    8278    32           2                  5           2          0             85765   81200     458           
 199   8902    8293    5            5                  1           2          0             31691   76751     463           
 306   11500   10891   159          47                 1           3          1             319466  111031    24            
 306   11507   10898   220          20                 4           4          2             437805  155192    14            
 306   11514   10905   6            6                  2           2          0             34574   77167     61            
 306   11517   10908   104          8                  7           4          0             238099  82032     56            
 306   11519   10910   104          8                  6           4          0             237137  81616     58            
 306   11520   10911   98           2                  3           4          0             225604  77583     61            
 306   11524   10915   26           26                 2           1          2             60538   149223    42            
 306   11525   10916   215          15                 3           4          2             427233  154776    40            
 306   11529   10920   159          47                 0           3          1             318505  110615    58            
 306   11530   10921   19           19                 1           1          1             48043   111031    63            
 306   11536   10927   7            7                  3           2          0             35535   77583     82            
 306   11536   10927   220          20                 3           4          2             436844  154776    49            
 306   11542   10933   7            7                  1           2          0             35535   76751     90            
 306   11546   10937   27           27                 3           1          2             62460   154776    66            
 306   11546   10937   27           27                 5           1          2             62460   155608    65            
 306   11554   10945   221          21                 5           4          2             438767  155608    70            
 306   11557   10948   8            8                  6           2          0             37457   81616     106           
 306   11562   10953   160          48                 2           3          1             320427  111447    97            
 306   11568   10959   26           26                 0           1          2             60538   148391    94            
 306   11574   10965   6            6                  1           2          0             33613   76751     131           
 306   11602   10993   103          7                  5           4          0             236176  81200     152           
 306   11616   11007   97           1                  2           4          0             224643  77167     166           
 306   11632   11023   211          11                 0           4          2             419544  148391    159           
 306   11666   11057   217          17                 3           4          2             431078  154776    189           
 306   11670   11061   20           20                 4           1          1             49965   117416    202           
 306   11686   11077   21           21                 5           1          1             50927   117832    213           
 306   11701   11092   211          11                 1           4          2             420505  148807    214           
 306   11712   11103   216          16                 3           4          2             429155  154776    221           
 306   11723   11114   5            5                  0           2          0             32652   76334     246           
 306   11724   11115   218          18                 3           4          2             433000  154776    229           
 306   11727   11118   103          7                  4           4          0             235215  80783     244           
 306   11744   11135   97           1                  1           4          0             223682  76751     255           
 306   11749   11140   8            8                  4           2          0             37457   80783     258           
 306   11794   11185   212          12                 2           4          2             421466  149223    268           
