 ToA     coarse_time  fine_time  Local_Tube_Number  Tube_Number  Tube_Layer  ChamberId  Chamber_iEta  Station_Type  tube z  tube_rho  drift_time        event  muonFixedId  csm  mezz  channel  t0     TOF            
 989     30           29         15                 87           5           5          1             2             2780    9699      -3.00103759766    9676   72367758     5    3     12       542.5  33.6572723389  
 990     30           30         9                  65           4           3          1             1             2105    7312      6.05480957031     9676   38813192     3    3     17       542.5  25.3826961517  
 996     31           4          7                  37           7           1          1             0             1445    5101      18.4401245117     9676   5259014      1    3     13       542.5  17.684885025   
 1013    31           21         12                 84           3           5          1             2             2675    9326      17.041809082      9676   72367371     5    2     7        542.5  32.3644676208  
 1020    31           28         4                  34           2           1          1             0             1355    4796      38.2479248047     9676   5258371      1    0     11       542.5  16.6270675659  
 1050    32           26         31                 61           2           1          1             0             2166    4796      10.7559814453     12926  5258398      1    10    10       542.5  17.5564994812  
 1055    32           31         5                  61           1           3          1             1             1985    6913      58.2260742188     9676   38812676     3    0     22       542.5  23.9926681519  
 1087    33           31         5                  61           2           3          1             1             2000    6939      83.1288452148     9676   38812804     3    0     14       542.5  24.0898990631  
 1105    34           17         31                 61           3           1          1             0             2181    4822      53.6250610352     12926  5258526      1    10    16       542.5  17.6561927795  
 1107    34           19         64                 136          5           5          1             2             4252    9699      37.5170898438     12926  72367807     5    15    10       542.5  35.3266639709  
 1115    34           27         42                 98           1           3          1             1             3096    6913      53.8255615234     12926  38812713     3    10    19       542.5  25.2681789398  
 1119    34           31         65                 137          6           5          1             2             4267    9725      46.7924804688     12926  72367936     5    17    1        542.5  35.4262428284  
 1123    35           3          3                  33           1           1          1             0             1340    4770      118.813781738     9676   5258242      1    0     0        542.5  16.5299720764  
 1124    35           4          7                  37           8           1          1             0             1460    5127      118.342956543     9676   5259142      1    3     19       542.5  17.7820358276  
 1134    35           14         30                 60           1           1          1             0             2151    4770      76.4807128906     12926  5258269      1    8     3        542.5  17.4568119049  
 1200    37           16         32                 62           4           1          1             0             2196    4848      127.74407959      12926  5258655      1    10    20       542.5  17.7558917999  
 1211    37           27         16                 88           6           5          1             2             2795    9725      170.339233398     9676   72367887     5    3     2        542.5  33.7544898987  
 1225    38           9          35                 65           5           1          1             0             2286    5048      146.543518066     12926  5258786      1    11    3        542.5  18.4877109528  
 1226    38           10         64                 136          4           5          1             2             4237    9673      130.585388184     12926  72367679     5    15    18       542.5  35.2270927429  
 1234    38           18         4                  34           3           1          1             0             1370    4822      205.338317871     9676   5258499      1    0     17       542.5  16.724199295   
