 BCID  TDC     Tube_Number  Local Tube_Number  Tube_Layer  ChamberId  Station_Type  tube z   tube_rho  drift_radius  
 73    3426    166          6                  5           4          1             -348494  117832    0             
 73    3445    107          11                 7           4          0             -243866  82032     49            
 73    3450    98           2                  0           4          0             -226566  76334     53            
 73    3453    196          20                 0           4          2             -436845  148391    25            
 73    3460    157          53                 2           3          1             -330039  111447    49            
 73    3461    99           3                  1           4          0             -227527  76751     65            
 73    3502    165          5                  4           4          1             -347533  117416    96            
 73    3533    196          20                 1           4          2             -437806  148807    118           
 73    3553    156          52                 1           3          1             -329078  111031    154           
 73    3553    207          31                 5           4          2             -457990  155608    137           
 73    3569    99           3                  2           4          0             -228488  77167     180           
 73    3604    165          5                  3           4          1             -346572  117000    196           
 73    3646    197          21                 2           4          2             -438768  149223    217           
 73    3662    105          9                  4           4          0             -239061  80783     243           
 73    3677    206          30                 4           4          2             -457029  155192    235           
 73    3702    156          52                 0           3          1             -328117  110615    259           
 73    3752    100          4                  3           4          0             -229449  77583     290           
 73    3799    107          11                 6           4          0             -242905  81616     310           
 73    3869    206          30                 3           4          2             -456068  154776    328           
 73    3914    105          9                  5           4          0             -240022  81200     355           
 73    4117    106          10                 5           4          0             -241944  81200     420           
 73    4271    106          10                 6           4          0             -240983  81616     463           
 73    4271    205          29                 3           4          2             -454145  154776    456           
 148   5807    19           19                 2           1          1             -62443   111447    0             
 148   5844    8            8                  1           2          0             -37458   76751     59            
 148   5866    24           24                 2           1          2             -102774  149223    64            
 148   5872    22           22                 5           1          1             -68210   117832    80            
 148   5877    28           28                 5           1          2             -110463  155608    76            
 148   5902    9            9                  5           2          0             -40342   81200     125           
 148   5908    9            9                  7           2          0             -40342   82032     132           
 148   5936    28           28                 3           1          2             -110463  154776    137           
 148   6032    9            9                  4           2          0             -39381   80783     232           
 148   6087    28           28                 4           1          2             -111424  155192    250           
 148   6119    8            8                  3           2          0             -37458   77583     280           
 148   6123    18           18                 1           1          1             -61482   111031    278           
 148   6134    23           23                 1           1          2             -101813  148807    279           
 148   6185    8            8                  2           2          0             -38420   77167     310           
 148   6197    22           22                 3           1          1             -68210   117000    311           
 148   6294    21           21                 4           1          1             -67249   117416    349           
 148   6358    19           19                 0           1          1             -62443   110615    372           
 148   6403    27           27                 4           1          2             -109502  155192    384           
 148   6447    7            7                  0           2          0             -36497   76334     403           
 148   6541    24           24                 0           1          2             -102774  148391    426           
 298   10917   46           16                 0           2          0             -112677  76334     277           
 298   11470   46           16                 1           2          0             -111716  76751     465           
 390   13581   96           0                  5           4          0             -222722  81200     37            
 390   13581   96           0                  5           4          0             -222722  81200     37            
 390   13586   144          40                 1           3          1             -306011  111031    29            
 390   13586   144          40                 1           3          1             -306011  111031    29            
 390   13587   96           0                  4           3          0             -221760  80783     44            
 390   13587   96           0                  4           3          0             -221760  80783     44            
 390   13607   183          7                  0           4          2             -411856  148391    38            
 390   13607   183          7                  0           4          2             -411856  148391    38            
 390   13608   145          41                 2           3          1             -306972  111447    55            
 390   13608   145          41                 2           3          1             -306972  111447    55            
 390   13653   97           1                  6           4          0             -223683  81616     120           
 390   13653   97           1                  6           4          0             -223683  81616     120           
 390   13667   144          40                 0           3          1             -305050  110615    124           
 390   13667   144          40                 0           3          1             -305050  110615    124           
 390   13695   183          7                  1           4          2             -412817  148807    139           
 390   13695   183          7                  1           4          2             -412817  148807    139           
 390   13735   97           1                  7           4          0             -224644  82032     196           
 390   13735   97           1                  7           4          0             -224644  82032     196           
 390   13742   194          18                 5           4          2             -433001  155608    180           
 390   13742   194          18                 5           4          2             -433001  155608    180           
 390   13800   184          8                  2           4          2             -413778  149223    224           
 390   13800   184          8                  2           4          2             -413778  149223    224           
 390   13876   193          17                 4           4          2             -432040  155192    266           
 390   13876   193          17                 4           4          2             -432040  155192    266           
 390   14104   193          17                 3           4          2             -431079  154776    362           
 390   14104   193          17                 3           4          2             -431079  154776    362           
 390   14305   192          16                 3           4          2             -429156  154776    426           
 390   14305   192          16                 3           4          2             -429156  154776    426           
 505   17231   19           19                 2           1          1             -62443   111447    0             
 505   17268   8            8                  1           2          0             -37458   76751     59            
 505   17290   24           24                 2           1          2             -102774  149223    64            
 505   17296   22           22                 5           1          1             -68210   117832    80            
 505   17301   28           28                 5           1          2             -110463  155608    76            
 505   17326   9            9                  5           2          0             -40342   81200     125           
 505   17332   9            9                  7           2          0             -40342   82032     132           
 505   17360   28           28                 3           1          2             -110463  154776    137           
 505   17456   9            9                  4           2          0             -39381   80783     232           
 505   17511   28           28                 4           1          2             -111424  155192    250           
 505   17543   8            8                  3           2          0             -37458   77583     280           
 505   17547   18           18                 1           1          1             -61482   111031    278           
 505   17558   23           23                 1           1          2             -101813  148807    279           
 505   17609   8            8                  2           2          0             -38420   77167     310           
 505   17621   22           22                 3           1          1             -68210   117000    311           
 505   17718   21           21                 4           1          1             -67249   117416    349           
 505   17782   19           19                 0           1          1             -62443   110615    372           
 505   17827   27           27                 4           1          2             -109502  155192    384           
 505   17871   7            7                  0           2          0             -36497   76334     403           
