 BCID  ToA     TDC     Tube_Number  Local Tube_Number  Tube_Layer  ChamberId  Station_Type  tube z   tube_rho  drift_radius  
 206   8294    7685    22           22                 1           2          0             -64370   76751     34            
 206   8318    7709    24           24                 6           2          0             -68214   81616     59            
 206   8320    7711    38           38                 3           1          2             -129686  154776    35            
 206   8369    7760    37           37                 4           1          1             -98004   117416    106           
 206   8371    7762    34           34                 1           1          1             -92238   111031    111           
 206   8392    7783    35           35                 0           1          2             -123919  148391    121           
 206   8444    7835    35           35                 1           1          2             -124880  148807    173           
 206   8470    7861    35           35                 2           1          1             -93199   111447    203           
 206   8472    7863    37           37                 3           1          1             -97043   117000    203           
 206   8530    7921    24           24                 7           2          0             -69175   82032     247           
 206   8572    7963    24           24                 4           2          0             -68214   80783     270           
 206   8589    7980    22           22                 2           2          0             -65331   77167     279           
 206   8659    8050    38           38                 4           1          2             -130647  155192    300           
 206   8723    8114    21           21                 0           2          0             -63409   76334     337           
 206   8781    8172    38           38                 5           1          2             -129686  155608    349           
 206   8783    8174    22           22                 3           2          0             -64370   77583     359           
 206   8814    8205    23           23                 5           2          0             -67253   81200     369           
 206   8933    8324    38           38                 5           1          1             -98966   117832    404           
 206   8941    8332    34           34                 0           1          1             -91277   110615    407           
 267   10233   9624    129          33                 3           4          0             -285194  77583     9             
 267   10234   9625    128          32                 3           4          0             -283272  77583     13            
 267   10259   9650    197          37                 1           4          1             -409044  111031    28            
 267   10261   9652    136          4                  6           5          0             -299849  81616     44            
 267   10284   9675    126          30                 0           4          0             -280389  76334     72            
 267   10321   9712    210          10                 5           5          1             -434263  117832    98            
 267   10341   9732    256          8                  2           5          2             -553298  149223    107           
 267   10349   9740    209          9                  4           5          1             -433302  117416    130           
 267   10360   9751    255          7                  1           5          2             -552337  148807    129           
 267   10360   9751    269          21                 5           5          2             -578288  155608    126           
 267   10361   9752    267          19                 3           5          2             -574443  154776    128           
 267   10382   9773    135          3                  5           5          0             -298888  81200     175           
 267   10437   9828    129          33                 1           4          0             -285194  76751     218           
 267   10437   9828    198          38                 2           4          1             -410006  111447    209           
 267   10452   9843    128          32                 2           4          0             -284233  77167     227           
 267   10469   9860    130          34                 3           4          0             -287117  77583     238           
 267   10476   9867    197          37                 0           4          1             -408083  110615    234           
 267   10488   9879    136          4                  7           5          0             -300811  82032     248           
 267   10540   9931    127          31                 1           4          0             -281350  76751     276           
 267   10652   10043   134          2                  4           5          0             -296005  80783     325           
 267   10680   10071   127          31                 2           4          0             -282311  77167     337           
 267   10704   10095   130          34                 1           4          0             -287117  76751     346           
 267   10728   10119   254          6                  0           5          2             -549454  148391    345           
 267   10734   10125   209          9                  3           5          1             -432341  117000    351           
 267   10739   10130   208          8                  3           5          1             -430418  117000    353           
 267   10743   10134   268          20                 4           5          2             -577326  155192    349           
 267   10745   10136   267          19                 4           5          2             -575404  155192    350           
 267   10763   10154   255          7                  0           5          2             -551376  148391    357           
 267   10812   10203   135          3                  4           5          0             -297927  80783     383           
 267   10980   10371   137          5                  7           5          0             -302733  82032     434           
 267   10986   10377   128          32                 1           4          0             -283272  76751     436           
 267   11042   10433   130          34                 2           4          0             -288078  77167     451           
 267   11112   10503   196          36                 0           4          1             -406161  110615    467           
 317   11815   11206   32           2                  1           2          0             -84805   76751     0             
 317   11850   11241   59           11                 0           2          2             -171225  148391    15            
 317   11868   11259   35           5                  6           2          0             -90572   81616     60            
 317   11911   11302   55           7                  3           2          1             -132816  117000    98            
 317   11926   11317   51           3                  0           2          1             -125127  110615    118           
 317   11928   11319   63           15                 4           2          2             -179875  155192    105           
 317   11940   11331   63           15                 3           2          2             -178914  154776    119           
 317   11961   11352   56           8                  5           2          1             -134738  117832    154           
 317   11983   11374   34           4                  5           2          0             -89611   81200     182           
 317   11986   11377   56           8                  4           2          1             -135700  117416    177           
 317   12038   11429   31           1                  0           2          0             -83844   76334     223           
 317   12066   11457   59           11                 1           2          2             -172186  148807    227           
 317   12072   11463   32           2                  2           2          0             -85766   77167     243           
 317   12136   11527   35           5                  7           2          0             -91533   82032     277           
 317   12189   11580   56           8                  3           2          1             -134738  117000    298           
 317   12227   11618   55           7                  4           2          1             -133777  117416    313           
 317   12229   11620   64           16                 5           2          2             -180836  155608    309           
 317   12269   11660   51           3                  1           2          1             -126088  111031    331           
 317   12385   11776   51           3                  2           2          1             -125127  111447    373           
 317   12452   11843   55           7                  5           2          1             -132816  117832    394           
 317   12468   11859   34           4                  4           2          0             -88649   80783     403           
 317   12540   11931   33           3                  3           2          0             -86727   77583     425           
 317   12593   11984   60           12                 2           2          2             -173147  149223    434           
 317   12662   12053   32           2                  3           2          0             -84805   77583     458           
 363   13315   12706   166          6                  5           4          1             -348494  117832    0             
 363   13334   12725   107          11                 7           4          0             -243866  82032     49            
 363   13339   12730   98           2                  0           4          0             -226566  76334     53            
 363   13342   12733   196          20                 0           4          2             -436845  148391    25            
 363   13349   12740   157          53                 2           3          1             -330039  111447    49            
 363   13350   12741   99           3                  1           4          0             -227527  76751     65            
 363   13391   12782   165          5                  4           4          1             -347533  117416    96            
 363   13422   12813   196          20                 1           4          2             -437806  148807    118           
 363   13442   12833   156          52                 1           3          1             -329078  111031    154           
 363   13442   12833   207          31                 5           4          2             -457990  155608    137           
 363   13458   12849   99           3                  2           4          0             -228488  77167     180           
 363   13493   12884   165          5                  3           4          1             -346572  117000    196           
 363   13535   12926   197          21                 2           4          2             -438768  149223    217           
 363   13551   12942   105          9                  4           4          0             -239061  80783     243           
 363   13566   12957   206          30                 4           4          2             -457029  155192    235           
 363   13591   12982   156          52                 0           3          1             -328117  110615    259           
 363   13641   13032   100          4                  3           4          0             -229449  77583     290           
 363   13688   13079   107          11                 6           4          0             -242905  81616     310           
 363   13758   13149   206          30                 3           4          2             -456068  154776    328           
 363   13803   13194   105          9                  5           4          0             -240022  81200     355           
 363   14006   13397   106          10                 5           4          0             -241944  81200     420           
 363   14160   13551   106          10                 6           4          0             -240983  81616     463           
 363   14160   13551   205          29                 3           4          2             -454145  154776    456           
 921   31175   30566   57           27                 0           2          0             -133822  76334     33            
 921   31196   30587   110          62                 5           2          2             -269259  155608    27            
 921   31226   30617   58           28                 0           2          0             -135744  76334     97            
 921   31250   30641   58           28                 1           2          0             -134783  76751     120           
 921   31269   30660   87           39                 0           2          1             -194328  110615    129           
 921   31286   30677   104          56                 0           2          2             -257726  148391    134           
 921   31308   30699   109          61                 4           2          2             -268298  155192    154           
 921   31364   30755   58           28                 2           2          0             -135744  77167     219           
 921   31393   30784   93           45                 5           2          1             -205861  117832    229           
 921   31416   30807   87           39                 1           2          1             -195289  111031    244           
 921   31417   30808   62           32                 7           2          0             -143433  82032     250           
 921   31444   30835   104          56                 1           2          2             -258687  148807    253           
 921   31510   30901   109          61                 3           2          2             -267337  154776    285           
 921   31557   30948   59           29                 3           2          0             -136705  77583     318           
 921   31599   30990   62           32                 4           2          0             -142472  80783     334           
 921   31635   31026   62           32                 6           2          0             -142472  81616     347           
 921   31662   31053   88           40                 2           2          1             -196250  111447    354           
 921   31665   31056   92           44                 4           2          1             -204900  117416    354           
 921   31770   31161   105          57                 2           2          2             -259648  149223    386           
 921   31849   31240   93           45                 3           2          1             -205861  117000    414           
 921   31892   31283   62           32                 5           2          0             -143433  81200     430           
 921   31952   31343   61           31                 5           2          0             -141511  81200     447           
 964   32566   31957   189          27                 4           6          0             -402941  80783     42            
 964   32567   31958   268          28                 0           6          1             -546943  110615    29            
 964   32568   31959   181          19                 3           6          0             -387563  77583     46            
 964   32572   31963   266          26                 1           6          1             -544060  111031    35            
 964   32588   31979   334          14                 1           6          2             -705313  148807    37            
 964   32589   31980   187          25                 5           6          0             -400058  81200     68            
 964   32593   31984   371          51                 5           6          2             -775475  155608    37            
 964   32604   31995   349          29                 5           6          2             -733185  155608    52            
 964   32604   31995   354          34                 2           6          2             -742797  149223    53            
 964   32615   32006   270          30                 2           6          1             -550788  111447    84            
 964   32616   32007   176          14                 1           6          0             -377952  76751     102           
 964   32616   32007   191          29                 6           6          0             -406785  81616     100           
 964   32616   32007   287          47                 5           6          1             -583466  117832    82            
 964   32620   32011   179          17                 1           6          0             -383719  76751     107           
 964   32636   32027   282          42                 5           6          1             -573855  117832    107           
 964   32642   32033   352          32                 0           6          2             -738952  148391    98            
 964   32650   32041   369          49                 3           6          2             -771630  154776    104           
 964   32657   32048   189          27                 7           6          0             -403902  82032     145           
 964   32666   32057   347          27                 3           6          2             -729341  154776    125           
 964   32675   32066   177          15                 2           6          0             -380835  77167     165           
 964   32681   32072   177          15                 0           6          0             -380835  76334     170           
 964   32694   32085   178          16                 3           6          0             -381796  77583     181           
 964   32695   32086   280          40                 3           6          1             -570010  117000    168           
 964   32704   32095   192          30                 7           6          0             -409669  82032     187           
 964   32706   32097   285          45                 4           6          1             -580582  117416    177           
