# NAME = slc_A3_Barrel
# TS = 2023/11/10 09:42:34
# PRJ CFG = angr(0.0_55.0_1.0)
# -------------------------- 
BCID,ToA,nTC,TC_sent,TC_id,Eta,Phi,pT_thr,Charge,Coincidence,z_RPC0,z_RPC1,z_RPC2,z_RPC3,event
2,1800,1,1,0,0.0,785.398163,0,0,4,0.0,218.69444151187957,232.3093921558893,272.80514278935414,2
3,2200,1,1,0,0.0,785.398163,0,0,4,0.0,337.46123254388453,364.6994327474478,445.7156179683025,3
4,2600,1,1,0,0.0,785.398163,0,0,5,370.2669177626435,456.3728991246802,497.2509669654524,618.837014902108,4
5,3000,1,1,0,0.0,785.398163,0,0,5,460.6125691926832,575.5023212158708,630.0452345318089,792.2754382407531,5
6,3400,1,1,0,0.0,785.398163,0,0,5,551.1790378031901,694.9229119762832,763.164069526504,966.1377689066477,6
7,3800,1,1,0,0.0,785.398163,0,0,5,642.0225412650935,814.7087998066,896.6901033138276,1140.531929130197,7
8,4200,1,1,0,0.0,785.398163,0,0,5,733.199980576279,934.9350141397513,1030.706971644017,1315.5671529387555,8
9,4600,1,1,0,0.0,785.398163,0,0,5,824.7690845602327,1055.677675976262,1165.2995270441272,1491.3542635536753,9
10,5000,1,1,0,0.0,785.398163,0,0,5,916.7885587536335,1177.0141942068467,1300.554057659985,1668.0059592129091,10
11,5400,1,1,0,0.0,785.398163,0,0,5,1009.3182395135539,1299.023468817562,1436.5585137701646,1845.6371090138032,11
12,5800,1,1,0,0.0,785.398163,0,0,5,1102.4192542232142,1421.7861021364856,1573.4027432639061,2024.3650604634129,12
13,6200,1,1,0,0.0,785.398163,0,0,5,1196.154188532304,1545.3846193561506,1711.1787374587677,2204.309960533219,13
14,6600,1,1,0,0.0,785.398163,0,0,5,1290.5872616345289,1669.903699653829,1849.9808887317683,2385.595092143075,14
15,7000,1,1,0,0.0,785.398163,0,0,5,1385.7845106622829,1795.4304193336286,1989.9062615513096,2568.3472281474887,15
16,7400,1,1,0,0.0,785.398163,0,0,5,1481.8139853672997,1922.0545085316344,2131.05487862791,2752.697005068115,16
17,7800,1,1,0,0.0,785.398163,0,0,5,1578.7459543581724,2049.868623159894,2273.530024051764,2938.7793190121984,17
18,8200,1,1,0,0.0,785.398163,0,0,5,1676.6531242823116,2178.9686339188906,2417.438565456646,3126.733746440738,18
19,8600,1,1,0,0.0,785.398163,0,0,5,1775.6108734730976,2309.4539343837628,2562.8912974454297,3316.7049927057724,19
20,9000,1,1,0,0.0,785.398163,0,0,5,1875.6975017348038,2441.427770369724,2710.003308735663,3508.843371567686,20
21,9400,1,1,0,0.0,785.398163,0,0,5,1976.9944981108056,2574.997593010176,2858.894375737814,3703.305319235403,21
22,9800,1,1,0,0.0,785.398163,0,0,5,2079.5868286776395,2710.275438240827,3009.6893855684516,3900.253946850616,22
23,10200,1,1,0,0.0,785.398163,0,0,5,2183.5632466319034,2847.3783356790664,3162.5187918304887,4099.859635768053,23
24,10600,1,1,0,0.0,785.398163,0,0,5,2289.0166271929315,2986.4287502253123,3317.519106868804,4302.300680475087,24
25,11000,1,1,0,0.0,785.398163,0,0,5,2396.044330136121,3127.5550600980464,3474.8334346387046,4507.763984554508,25
26,11400,1,1,0,0.0,785.398163,0,0,5,2504.7485931053275,3270.8920754539904,3634.6120488148895,4716.445815734486,26
27,11800,1,1,0,0.0,785.398163,0,0,5,2615.2369592341474,3416.581602247858,3797.0130213292296,4928.5526268020285,27
28,12200,1,1,0,0.0,785.398163,0,0,5,2727.6227430427693,3564.773056562116,3962.2029071677703,5144.301949994845,28
29,12600,1,1,0,0.0,785.398163,0,0,5,2842.025539078246,3715.6241352980555,4130.357491994009,5363.92337344864,29
30,13000,1,1,0,0.0,785.398163,0,0,5,2958.5717783419295,3869.301549878829,4301.662610011989,5587.659609382413,30
31,13400,1,1,0,0.0,785.398163,0,0,5,3077.3953382109,4025.9818304894548,4476.3150404573635,5815.767664977295,31
32,13800,1,1,0,0.0,785.398163,0,0,5,3198.6382123251287,4185.852209387411,4654.523492228907,6048.5201283728475,32
33,14200,1,1,0,0.0,785.398163,0,0,5,3322.4512477964017,4349.111592983427,4836.509687472702,6286.206583902342,33
34,14600,1,1,0,0.0,785.398163,0,0,5,3448.9949581195624,4515.971633743072,5022.50955643713,6529.135172655355,34
35,15000,1,1,0,0.0,785.398163,0,0,5,3578.440421356395,4686.657914528502,5212.774557665594,6777.634316740025,35
36,15400,1,1,0,0.0,785.398163,0,0,5,3710.970274547473,4861.411259826026,5407.5731396296,7032.054628276126,36
37,15800,1,1,0,0.0,785.398163,0,0,5,3846.779816923646,5040.489190436454,5607.192362280635,7292.771027253073,37
38,16200,1,1,0,0.0,785.398163,0,0,5,3986.0782363801095,5224.167540699001,5811.93969977918,7560.1850960176625,38
39,16600,1,1,0,0.0,785.398163,0,0,5,4129.089975895142,5412.742260245678,6022.145048920918,7834.727702416502,39
40,17000,1,1,0,0.0,785.398163,0,0,5,4276.056259186651,5606.531425726048,6238.162971618153,8116.861928630569,40
41,17400,1,1,0,0.0,785.398163,0,0,5,4427.2367979812325,5805.877492005504,6460.375204323782,8407.086348655072,41
42,17800,1,1,0,0.0,785.398163,0,0,5,4582.911706918281,6011.149817150342,6689.193472646998,8705.938704380644,42
43,18200,1,1,0,0.0,785.398163,0,0,5,4743.383656443961,6222.747501225312,6925.062655777627,9014.000038548615,43
44,18600,1,1,0,0.0,785.398163,0,0,5,4908.980299211922,6441.1025857361,7168.464352923476,9331.899352762852,44
45,19000,1,1,0,0.0,785.398163,0,0,5,5080.05701168008,6666.683668688102,7419.92091303762,9660.318870590032,45
46,19400,1,1,0,0.0,785.398163,0,0,5,5256.999999999999,6899.999999999999,7679.999999999999,9999.999999999998,46
47,19800,1,1,0,0.0,785.398163,0,0,5,5440.229828217967,7141.606133775873,7949.319778532517,10351.750106526639,47
48,20200,1,1,0,0.0,785.398163,0,0,5,5630.205437597288,7392.107228167842,8228.554821987094,10716.450229244358,48
49,20600,1,1,0,0.0,785.398163,0,0,5,5827.4287389741485,7652.165100838512,8518.442862405283,11095.06389680901,49
50,21000,1,1,0,0.0,785.398163,0,0,5,6032.449876038746,7922.505169102864,8819.792526735251,11488.647231487994,50
51,21400,1,1,0,0.0,785.398163,0,0,5,6245.873277008341,8203.924429640629,9133.492231864111,11898.360566682679,51
