 ToA     coarse_time  fine_time  Tube_Number  Local Tube_Number  Tube_Layer  ChamberId  Station_Type  tube z  tube_rho  drift_radius  event  
 3781    99           4          11           11                 5           1          1             31704   117832    22            8489   
 3790    99           13         10           10                 2           1          1             29782   111447    35            8489   
 3892    102          19         11           11                 3           1          1             31704   117000    149           8489   
 3892    102          19         16           16                 0           1          2             41315   148391    140           8489   
 3906    103          1          10           10                 0           1          1             29782   110615    164           8489   
 3910    103          5          17           17                 4           1          2             44199   155192    156           8489   
 4047    107          14         17           17                 3           1          2             43238   154776    253           8489   
 4075    108          10         16           16                 1           1          2             42276   148807    269           8489   
 4091    108          26         16           16                 2           1          2             41315   149223    277           8489   
 4341    116          20         9            9                  1           1          1             28821   111031    380           8489   
 4386    118          1          10           10                 4           1          1             30743   117416    394           8489   
 4404    118          19         17           17                 5           1          2             43238   155608    396           8489   
 4451    120          2          0            0                  6           2          0             22080   81616     417           8489   
 7194    205          25         80           14                 2           3          0             179232  77167     18            9107   
 7197    205          28         80           14                 1           3          0             178271  76751     22            9107   
 7207    206          6          81           15                 3           3          0             180193  77583     34            9107   
 7209    206          8          147          3                  0           3          2             295366  148391    7             9107   
 7214    206          13         79           13                 0           3          0             177310  76334     43            9107   
 7221    206          20         120          8                  1           3          1             244499  111031    38            9107   
 7238    207          5          126          14                 5           3          1             255071  117832    55            9107   
 7282    208          17         120          8                  0           3          1             243537  110615    110           9107   
 7338    210          9          121          9                  2           3          1             245460  111447    167           9107   
 7382    211          21         125          13                 4           3          1             254110  117416    201           9107   
 7395    212          2          151          7                  5           3          2             303055  155608    204           9107   
 7448    213          23         147          3                  1           3          2             296327  148807    239           9107   
 7454    213          29         151          7                  3           3          2             303055  154776    241           9107   
 7684    221          3          125          13                 3           3          1             253149  117000    350           9107   
 7700    221          19         85           19                 4           3          0             187882  80783     360           9107   
 7788    224          11         85           19                 5           3          0             188843  81200     389           9107   
 7804    224          27         85           19                 7           3          0             188843  82032     394           9107   
 7899    227          26         86           20                 6           3          0             189804  81616     423           9107   
 7917    228          12         85           19                 6           3          0             187882  81616     428           9107   
 7971    230          2          150          6                  4           3          2             302094  155192    438           9107   
 8016    231          15         86           20                 7           3          0             190765  82032     456           9107   
 8020    231          19         147          3                  2           3          2             295366  149223    451           9107   
 8025    231          24         84           18                 5           3          0             186921  81200     458           9107   
 13484   402          11         162          18                 3           3          2             324200  154776    16            6423   
 13498   402          25         162          18                 4           3          2             325161  155192    33            6423   
 13510   403          5          113          1                  0           3          1             230082  110615    62            6423   
 13513   403          8          101          45                 2           2          1             205860  111447    66            6423   
 13518   403          13         163          19                 5           3          2             326122  155608    56            6423   
 13529   403          24         120          8                  3           3          1             243537  117000    82            6423   
 13538   404          1          70           4                  1           3          0             159048  76751     105           6423   
 13545   404          8          113          1                  1           3          1             231043  111031    103           6423   
 13563   404          26         120          8                  4           3          1             244499  117416    122           6423   
 13568   404          31         100          44                 1           2          1             204899  111031    130           6423   
 13576   405          7          75           9                  4           3          0             168660  80783     147           6423   
 13580   405          11         114          2                  2           3          1             232004  111447    142           6423   
 13595   405          26         121          9                  5           3          1             245460  117832    155           6423   
 13603   406          2          155          11                 0           3          2             310744  148391    154           6423   
 13623   406          22         75           9                  5           3          0             169621  81200     189           6423   
 13635   407          2          155          11                 1           3          2             311705  148807    182           6423   
 13679   408          14         156          12                 2           3          2             312666  149223    215           6423   
 13712   409          15         76           10                 6           3          0             170582  81616     247           6423   
 13713   409          16         76           10                 7           3          0             171543  82032     247           6423   
 13757   410          28         111          55                 1           2          1             226044  111031    266           6423   
 13840   413          15         71           5                  2           3          0             161932  77167     310           6423   
 13861   414          4          69           3                  1           3          0             157126  76751     319           6423   
 13877   414          20         100          44                 0           2          1             203938  110615    322           6423   
 13890   415          1          70           4                  0           3          0             160010  76334     331           6423   
 13970   417          17         111          55                 2           2          1             225083  111447    357           6423   
 14004   418          19         71           5                  3           3          0             160971  77583     372           6423   
 14041   419          24         71           5                  1           3          0             160971  76751     385           6423   
 14173   423          28         70           4                  2           3          0             160010  77167     425           6423   
 16739   504          2          174          12                 7           6          0             375068  82032     19            8315   
 16742   504          5          175          13                 5           6          0             376990  81200     23            8315   
 16743   504          6          172          10                 7           6          0             371223  82032     25            8315   
 16747   504          10         179          17                 3           6          0             383718  77583     31            8315   
 16759   504          22         261          13                 4           6          1             519070  117416    27            8315   
 16767   504          30         248          0                  1           6          1             494081  111031    40            8315   
 16769   505          0          177          15                 1           6          0             379873  76751     56            8315   
 16778   505          9          190          28                 7           6          0             405823  82032     64            8315   
 16778   505          9          259          11                 0           6          1             514264  110615    51            8315   
 16782   505          13         261          13                 2           6          1             518109  111447    57            8315   
 16784   505          15         176          14                 5           6          0             378912  81200     72            8315   
 16784   505          15         252          4                  1           6          1             501770  111031    59            8315   
 16787   505          18         250          2                  0           6          1             496964  110615    62            8315   
 16787   505          18         278          30                 2           6          1             550787  111447    61            8315   
 16790   505          21         260          12                 0           6          1             516186  110615    65            8315   
 16792   505          23         376          32                 2           6          2             738951  149223    49            8315   
 16804   506          3          374          30                 0           6          2             735107  148391    63            8315   
 16807   506          6          256          8                  4           6          1             509459  117416    84            8315   
 16810   506          9          174          12                 5           6          0             375068  81200     104           8315   
 16815   506          14         177          15                 4           6          0             379873  80783     108           8315   
 16827   506          26         293          45                 4           6          1             580581  117416    105           8315   
 16829   506          28         391          47                 4           6          2             768746  155192    89            8315   
 16834   507          1          187          25                 4           6          0             399096  80783     130           8315   
 16835   507          2          249          1                  1           6          1             496003  111031    120           8315   
 16840   507          7          260          12                 1           6          1             517148  111031    125           8315   
 16843   507          10         188          26                 5           6          0             401979  81200     140           8315   
 16850   507          17         257          9                  4           6          1             511381  117416    133           8315   
 16851   507          18         174          12                 4           6          0             374106  80783     149           8315   
 16853   507          20         177          15                 5           6          0             380834  81200     150           8315   
 16857   507          24         276          28                 0           6          1             546942  110615    142           8315   
 16858   507          25         373          29                 1           6          2             734146  148807    124           8315   
 16869   508          4          269          21                 2           6          1             533487  111447    153           8315   
 16870   508          5          271          23                 5           6          1             537331  117832    152           8315   
 16871   508          6          256          8                  0           6          1             508497  110615    156           8315   
 16878   508          13         254          6                  0           6          1             504653  110615    163           8315   
 16879   508          14         292          44                 3           6          1             577698  117000    161           8315   
 16891   508          26         269          21                 0           6          1             533487  110615    173           8315   
 16898   509          1          172          10                 6           6          0             370262  81616     190           8315   
 16901   509          4          393          49                 5           6          2             771629  155608    166           8315   
 16903   509          6          255          7                  3           6          1             506575  117000    183           8315   
 16908   509          11         258          10                 0           6          1             512342  110615    188           8315   
 16911   509          14         270          22                 4           6          1             536370  117416    188           8315   
 16913   509          16         257          9                  0           6          1             510420  110615    192           8315   
 16915   509          18         189          27                 6           6          0             402940  81616     202           8315   
 16925   509          28         260          12                 4           6          1             517148  117416    200           8315   
 16936   510          7          276          28                 1           6          1             547903  111031    208           8315   
 16941   510          12         173          11                 5           6          0             373145  81200     220           8315   
 16943   510          14         179          17                 4           6          0             383718  80783     221           8315   
 16948   510          19         175          13                 0           6          0             376990  76334     226           8315   
 16954   510          25         262          14                 2           6          1             520031  111447    220           8315   
 16958   510          29         271          23                 4           6          1             538292  117416    223           8315   
 16964   511          3          263          15                 3           6          1             521953  117000    226           8315   
 17005   512          12         171          9                  7           6          0             369301  82032     258           8315   
 17005   512          12         294          46                 5           6          1             581543  117832    250           8315   
 17029   513          4          264          16                 3           6          1             523875  117000    263           8315   
 17030   513          5          248          0                  0           6          1             493120  110615    266           8315   
 17032   513          7          258          10                 4           6          1             513303  117416    265           8315   
 17042   513          17         173          11                 4           6          0             372184  80783     277           8315   
 17053   513          28         255          7                  1           6          1             507536  111031    277           8315   
 17059   514          2          252          4                  2           6          1             500808  111447    280           8315   
 17061   514          4          391          47                 3           6          2             767785  154776    271           8315   
 17085   514          28         123          11                 1           3          1             250265  111031    297           8315   
