 ToA     coarse_time  fine_time  Tube_Number  Local Tube_Number  Tube_Layer  ChamberId  Station_Type  tube z  tube_rho  drift_radius  event  
 1001    12           8          185          41                 0           3          2             368411  148391    2             3501   
 1002    12           9          186          42                 2           3          2             370334  149223    4             3501   
 1020    12           27         185          41                 1           3          2             369372  148807    31            3501   
 1031    13           6          90           24                 3           3          0             197493  77583     70            3501   
 1064    14           7          89           23                 2           3          0             196532  77167     109           3501   
 1066    14           9          94           28                 4           3          0             205182  80783     110           3501   
 1086    14           29         89           23                 1           3          0             195571  76751     134           3501   
 1095    15           6          165          21                 3           3          2             329967  154776    120           3501   
 1102    15           13         94           28                 5           3          0             206143  81200     149           3501   
 1141    16           20         88           22                 0           3          0             194610  76334     185           3501   
 1151    16           30         95           29                 6           3          0             207104  81616     192           3501   
 1154    17           1          171          27                 0           3          2             341500  148391    179           3501   
 1179    17           26         164          20                 4           3          2             329005  155192    198           3501   
 1193    18           8          95           29                 7           3          0             208066  82032     221           3501   
 1263    20           14         24           24                 3           2          0             68213   77583     5             53841  
 1281    21           0          193          49                 4           3          2             384750  155192    259           3501   
 1284    21           3          193          49                 3           3          2             383789  154776    261           3501   
 1284    21           3          194          50                 5           3          2             385712  155608    261           3501   
 1299    21           18         51           51                 5           1          1             108594  117832    33            53841  
 1332    22           19         26           26                 7           2          0             73019   82032     85            53841  
 1341    22           28         23           23                 0           2          0             67252   76334     98            53841  
 1345    23           0          47           47                 0           1          1             100905  110615    90            53841  
 1349    23           4          164          20                 5           3          2             328044  155608    295           3501   
 1354    23           9          68           68                 0           1          2             141272  148391    86            53841  
 1356    23           11         140          28                 2           3          1             281982  111447    302           3501   
 1384    24           7          26           26                 6           2          0             72058   81616     144           53841  
 1393    24           16         139          27                 1           3          1             281021  111031    318           3501   
 1403    24           26         148          36                 5           3          1             297360  117832    321           3501   
 1424    25           15         47           47                 1           1          1             101866  111031    173           53841  
 1432    25           23         24           24                 1           2          0             68213   76751     188           53841  
 1436    25           27         25           25                 7           2          0             71097   82032     193           53841  
 1438    25           29         26           26                 4           2          0             72058   80783     192           53841  
 1440    25           31         139          27                 0           3          1             280060  110615    337           3501   
 1450    26           9          147          35                 4           3          1             296399  117416    340           3501   
 1451    26           10         171          27                 2           3          2             341500  149223    338           3501   
 1489    27           16         147          35                 3           3          1             295438  117000    354           3501   
 1494    27           21         50           50                 4           1          1             107633  117416    223           53841  
 1549    29           12         184          40                 2           3          2             366489  149223    372           3501   
 1553    29           16         71           71                 4           1          2             148000  155192    251           53841  
 1556    29           19         24           24                 4           2          0             68213   80783     268           53841  
 1581    30           12         170          26                 1           3          2             340539  148807    383           3501   
 1718    34           21         68           68                 1           1          2             142233  148807    329           53841  
 1793    37           0          68           68                 2           1          2             141272  149223    357           53841  
 1961    42           8          25           25                 5           2          0             71097   81200     419           53841  
 2021    44           4          48           48                 2           1          1             102827  111447    433           53841  
 2090    46           9          51           51                 3           1          1             108594  117000    451           53841  
 2100    46           19         24           24                 2           2          0             69174   77167     457           53841  
 2121    47           8          23           23                 5           2          0             67252   81200     463           53841  
 2240    50           31         5            5                  6           2          0             31691   81616     62            76609  
 2249    51           8          4            4                  1           2          0             29768   76751     74            76609  
 2254    51           13         26           26                 0           1          2             60538   148391    54            76609  
