 ToA     coarse_time  fine_time  Tube_Number  Local Tube_Number  Tube_Layer  ChamberId  Station_Type  tube z  tube_rho  drift_time  event  muonFixedId  csm  mezz  channel  t0     TOF            
 1974    40           0          3            165                3           1          0             5560    4822      850.0       17614  7355650      1    0     12       817.0  24.5516357422  
 1982    40           8          1            163                1           1          0             5500    4770      856.25      17614  7355392      1    0     4        817.0  24.286567688   
 1991    40           17         9            257                1           3          1             7945    6913      863.28125   17614  40909832     3    2     17       817.0  35.131023407   
 2007    41           1          14           358                6           5          2             10975   9725      875.78125   17614  74465037     5    3     0        817.0  48.9154129028  
 2027    41           21         11           259                3           3          1             8005    6965      891.40625   17614  40910090     3    2     5        817.0  35.3960914612  
 2028    41           22         24           272                5           3          1             8410    7338      892.1875    17614  40910487     3    5     10       817.0  37.2332763672  
 2062    42           24         71           343                2           5          2             10522   9300      918.75      17614  73940166     4    16    10       817.0  46.8442077637  
 2084    43           14         15           177                8           1          0             5920    5127      935.9375    17614  7356302      1    5     20       817.0  26.1244487762  
 2096    43           26         13           175                6           1          0             5860    5075      945.3125    17614  7356044      1    5     7        817.0  25.859380722   
 2098    43           28         12           356                4           5          2             10915   9673      946.875     17614  74464779     5    3     23       817.0  48.6503639221  
 2099    43           29         12           174                5           1          0             5815    5048      947.65625   17614  7355915      1    3     5        817.0  25.6890010834  
 2104    44           2          14           176                7           1          0             5875    5101      951.5625    17614  7356173      1    5     12       817.0  25.9540672302  
 2166    46           0          71           343                1           5          2             10507   9274      1000.0      17614  73940038     4    16    18       817.0  46.7492256165  
 2215    47           17         24           272                4           3          1             8395    7312      1038.28125  17614  40910359     3    5     18       817.0  37.1385002136  
 2263    49           1          13           357                5           5          2             10960   9699      1075.78125  17614  74464908     5    3     14       817.0  48.8203887939  
 2288    49           26         9            257                2           3          1             7960    6939      1095.3125   17614  40909960     3    2     9        817.0  35.2257843018  
 2297    50           3          2            164                2           1          0             5515    4796      1102.34375  17614  7355521      1    0     8        817.0  24.3812828064  
 2312    50           18         26           274                6           3          1             8455    7364      1114.0625   17614  40910617     3    7     3        817.0  37.4035682678  
 2323    50           29         4            166                4           1          0             5575    4848      1122.65625  17614  7355779      1    0     23       817.0  24.6463508606  
 2336    51           10         23           271                4           3          1             8365    7312      1132.8125   17614  40910358     3    5     20       817.0  37.0630111694  
 2378    52           20         5            167                4           1          0             5605    4848      1165.625    17614  7355780      1    0     21       817.0  24.7220306396  
 2410    53           20         3            165                2           1          0             5545    4796      1190.625    17614  7355522      1    0     6        817.0  24.4569644928  
 2458    55           4          25           273                6           3          1             8425    7364      1228.125    17614  40910616     3    7     1        817.0  37.3280754089  
 2501    56           15         72           344                3           5          2             10537   9326      1261.71875  17614  73940295     4    16    0        817.0  46.9392127991  
 2524    57           6          10           258                2           3          1             7990    6939      1279.6875   17614  40909961     3    2     11       817.0  35.3013648987  
 2559    58           9          24           54                 2           1          0             1955    4796      857.03125   12777  5258391      1    6     9        817.0  17.279712677   
 2568    58           18         31           87                 1           3          1             2766    6913      864.0625    12777  38812702     3    6     18       817.0  24.8380813599  
 2580    58           30         27           57                 6           1          0             2060    5075      873.4375    12777  5258906      1    9     8        817.0  18.2710132599  
 2597    59           15         36           92                 4           3          1             2916    7312      886.71875   12777  38813219     3    9     23       817.0  26.2600498199  
 2599    59           17         28           58                 7           1          0             2075    5101      888.28125   12777  5259035      1    9     16       817.0  18.3702526093  
 2618    60           4          44           116                1           5          2             3636    9274      903.125     12777  72367147     5    10    23       817.0  33.2293663025  
 2619    60           5          10           10                 3           3          1             435     6965      878.90625   4195   38288649     2    2     3        817.0  23.279668808   
 2632    60           18         23           53                 1           1          0             1940    4770      914.0625    12777  5258262      1    6     1        817.0  17.1804637909  
 2643    60           29         12           356                5           5          2             10930   9699      1372.65625  17614  74464907     5    3     15       817.0  48.7454071045  
 2646    61           0          14           14                 2           5          2             570     9300      900.0       4195   71842957     4    2     12       817.0  31.0813274384  
 2659    61           13         70           342                1           5          2             10477   9274      1385.15625  17614  73940037     4    16    20       817.0  46.6741600037  
 2679    62           1          24           54                 3           1          0             1970    4822      950.78125   12777  5258519      1    6     15       817.0  17.3789730072  
 2717    63           7          10           10                 1           3          1             435     6913      955.46875   4195   38288393     2    2     19       817.0  23.1064815521  
 2724    63           14         31           87                 2           3          1             2781    6939      985.9375    12777  38812830     3    6     10       817.0  24.93724823    
