 ToA     coarse_time  fine_time  Local_Tube_Number  Tube_Number  Tube_Layer  ChamberId  Chamber_iEta  Station_Type  tube z  tube_rho  drift_time        event  muonFixedId  csm  mezz  channel  t0     TOF            
 969     30           9          24                 90           0           1          2             0             3070    4770      -3.89440917969    16124  5782551      0    6     3        542.5  18.9256687164  
 1015    31           23         25                 91           1           1          2             0             3085    4796      31.9429931641     16124  5782680      0    8     10       542.5  19.0257396698  
 1040    32           16         25                 91           2           1          2             0             3100    4822      51.374206543      16124  5782808      0    8     16       542.5  19.1258106232  
 1062    33           6          45                 189          2           5          2             2             5846    9326      50.9703979492     16124  72891692     4    10    6        542.5  36.7170982361  
 1064    33           8          44                 188          0           5          2             2             5816    9274      52.7331542969     16124  72891435     4    10    23       542.5  36.5168571472  
 1064    33           8          44                 188          1           5          2             2             5831    9300      52.6329956055     16124  72891563     4    10    15       542.5  36.6169776917  
 1080    33           24         26                 92           3           1          2             0             3115    4848      82.5241088867     16124  5782937      0    8     20       542.5  19.2258815765  
 1089    34           1          29                 141          0           3          2             1             4405    6913      81.4353637695     16124  39336988     2    6     22       542.5  27.3458595276  
 1094    34           6          37                 149          4           3          2             1             4661    7338      83.6882324219     16124  39337636     2    9     14       542.5  28.9992694855  
 1115    34           27         29                 141          1           3          2             1             4420    6939      101.647827148     16124  39337116     2    6     14       542.5  27.4459495544  
 1136    35           16         30                 142          2           3          2             1             4436    6965      117.953979492     16124  39337245     2    6     4        542.5  27.5460395813  
 1145    35           25         37                 149          3           3          2             1             4646    7312      123.632080078     16124  39337508     2    9     22       542.5  28.8991737366  
 1188    37           4          38                 150          5           3          2             1             4676    7364      157.025634766     16124  39337765     2    9     0        542.5  29.0993671417  
 1410    44           2          30                 96           4           1          2             0             3236    5048      339.55859375      16124  5783069      0    9     5        542.5  20.0038833618  
 1423    44           15         53                 197          5           5          2             2             6086    9725      331.448120117     16124  72892212     4    13    6        542.5  38.2706451416  
 1426    44           18         52                 196          4           5          2             2             6071    9699      333.891967773     16124  72892083     4    13    15       542.5  38.1705245972  
 1428    44           20         52                 196          3           5          2             2             6056    9673      335.55456543      16124  72891955     4    13    23       542.5  38.0704040527  
 1531    47           27         30                 96           5           1          2             0             3251    5075      433.989807129     16124  5783197      0    9     11       542.5  20.1039619446  
 1577    49           9          24                 54           1           1          1             0             1955    4796      22.7515258789     12777  5258391      1    6     9        542.5  17.279712677   
 1586    49           18         31                 87           0           3          1             1             2766    6913      22.2244262695     12777  38812702     3    6     18       542.5  24.8380813599  
 1598    49           30         27                 57           5           1          1             0             2060    5075      38.1665039062     12777  5258906      1    9     8        542.5  18.2710132599  
 1615    50           15         36                 92           3           3          1             1             2916    7312      43.4586791992     12777  38813219     3    9     23       542.5  26.2600498199  
 1617    50           17         28                 58           6           1          1             0             2075    5101      52.9110107422     12777  5259035      1    9     16       542.5  18.3702526093  
 1636    51           4          44                 116          0           5          1             2             3636    9274      52.8956298828     12777  72367147     5    10    23       542.5  33.2293663025  
 1650    51           18         23                 53           0           1          1             0             1940    4770      79.882019043      12777  5258262      1    6     1        542.5  17.1804637909  
 1697    53           1          24                 54           2           1          1             0             1970    4822      116.402282715     12777  5258519      1    6     15       542.5  17.3789730072  
 1742    54           14         31                 87           1           3          1             1             2781    6939      144.000244141     12777  38812830     3    6     10       542.5  24.93724823    
 1748    54           20         27                 57           4           1          1             0             2045    5048      155.45324707      12777  5258778      1    9     2        542.5  18.1717815399  
 1786    55           26         28                 58           7           1          1             0             2090    5127      184.843017578     12777  5259163      1    9     22       542.5  18.4695034027  
 1791    55           31         36                 92           4           3          1             1             2931    7338      180.859558105     12777  38813347     3    9     15       542.5  26.3592014313  
 1838    57           14         44                 116          1           5          1             2             3651    9300      210.609069824     12777  72367275     5    10    15       542.5  33.3284339905  
 1846    57           22         49                 121          3           5          1             2             3786    9673      215.536010742     12777  72367664     5    13    17       542.5  34.6514930725  
 1946    60           26         25                 55           3           1          1             0             1985    4848      310.834228516     12777  5258648      1    8     22       542.5  17.4782428741  
 1965    61           13         49                 121          5           5          1             2             3786    9725      308.343139648     12777  72367920     5    13    1        542.5  34.8131408691  
 2062    64           14         32                 88           2           3          1             1             2796    6965      393.901062012     12777  38812959     3    6     0        542.5  25.0364227295  
 2171    67           27         37                 93           5           3          1             1             2946    7364      477.635375977     12777  38813476     3    9     6        542.5  26.4583587646  
 2183    68           7          21                 51           1           1          1             0             1865    4796      -3.69976806641    22811  5258388      1    6     6        542.5  17.1684951782  
 2183    68           7          24                 54           5           1          1             0             1970    5075      -4.69128417969    22811  5258903      1    7     11       542.5  18.1600627899  
 2187    68           11         32                 88           4           3          1             1             2811    7338      -9.61944580078    22811  38813343     3    7     10       542.5  26.2131919861  
 2206    68           30         40                 112          0           5          1             2             3516    9274      -1.64770507812    22811  72367143     5    8     16       542.5  33.0851821899  
 2216    69           8          15                 15           0           5          0             2             585     9274      8.25213623047     8010   71842830     4    2     18       542.5  30.9978427887  
 2220    69           12         1                  1            4           1          0             0             345     5048      25.4940795898     8010   4734464      0    1     1        542.5  16.8809146881  
 2237    69           29         28                 84           2           3          1             1             2675    6965      30.7663574219     22811  38812955     3    6     7        542.5  24.889913559   
 2241    70           1          1                  1            6           1          0             0             345     5101      41.7272338867     8010   4734720      0    1     13       542.5  17.0540409088  
 2270    70           30         45                 117          2           5          1             2             3666    9326      548.010009766     12777  72367404     5    10    6        542.5  33.4275054932  
 2276    71           4          11                 11           2           3          0             1             465     6965      62.8388671875     8010   38288650     2    2     5        542.5  23.2861309052  
 2280    71           8          11                 11           4           3          0             1             480     7338      64.7189331055     8010   38289034     2    3     13       542.5  24.5310821533  
 2282    71           10         27                 83           1           3          1             1             2660    6939      66.0215454102     22811  38812826     3    6     13       542.5  24.7909622192  
 2294    71           22         49                 121          4           5          1             2             3801    9699      565.436950684     12777  72367792     5    13    9        542.5  34.7505531311  
 2295    71           23         10                 10           1           3          0             1             450     6939      77.7724609375     8010   38288521     2    2     11       542.5  23.196264267   
 2296    71           24         15                 15           2           5          0             2             585     9326      70.5789794922     8010   71843086     4    2     2        542.5  31.1710281372  
 2302    71           30         21                 51           2           1          1             0             1880    4822      89.1699829102     22811  5258516      1    6     12       542.5  17.2675228119  
 2317    72           13         24                 54           4           1          1             0             1955    5048      100.095214844     22811  5258775      1    7     5        542.5  18.0610561371  
 2318    72           14         25                 55           6           1          1             0             1985    5101      100.678405762     22811  5259032      1    9     13       542.5  18.2590808868  
 2330    72           26         33                 89           5           3          1             1             2826    7364      102.000366211     22811  38813472     3    9     1        542.5  26.3121395111  
 2335    72           31         20                 50           0           1          1             0             1850    4770      115.149291992     22811  5258259      1    6     2        542.5  17.069480896   
 2344    73           8          32                 88           3           3          1             1             2796    7312      113.135742188     22811  38813215     3    7     18       542.5  26.1142559052  
 2368    74           0          40                 112          1           5          1             2             3531    9300      124.815917969     22811  72367271     5    8     8        542.5  33.1840744019  
 2375    74           7          11                 11           0           3          0             1             465     6913      140.355773926     8010   38288394     2    2     21       542.5  23.1129932404  
 2386    74           18         45                 117          3           5          1             2             3666    9673      137.555053711     22811  72367660     5    11    22       542.5  34.507434845   
 2407    75           7          16                 16           5           5          0             2             615     9725      155.96295166      8010   71843599     4    3     2        542.5  32.5058135986  
 2423    75           23         15                 15           4           5          0             2             600     9699      168.55267334      8010   71843470     4    3     12       542.5  32.4160919189  
 2505    78           9          27                 83           0           3          1             1             2645    6913      240.339233398     22811  38812698     3    6     21       542.5  24.6920204163  
 2545    79           17         22                 52           3           1          1             0             1895    4848      278.914672852     22811  5258645      1    6     23       542.5  17.3665618896  
 2562    80           2          16                 16           3           5          0             2             615     9673      277.229858398     8010   71843343     4    3     18       542.5  32.3326339722  
 2589    80           29         25                 55           7           1          1             0             2000    5127      312.298156738     22811  5259160      1    9     19       542.5  18.3581123352  
 2639    82           15         12                 12           5           3          0             1             495     7364      345.09777832      8010   38289163     2    3     7        542.5  24.620973587   
 2694    84           6          1                  1            7           1          0             0             360     5127      395.543457031     8010   4734848      0    1     19       542.5  17.1440448761  
 2698    84           10         41                 113          2           5          1             2             3546    9326      382.529541016     22811  72367400     5    10    1        542.5  33.2829742432  
 2715    84           27         1                  1            5           1          0             0             360     5075      412.122802734     8010   4734592      0    1     7        542.5  16.970949173   
 2735    85           15         45                 117          5           5          1             2             3666    9725      410.04901123      22811  72367916     5    11    6        542.5  34.6697540283  
 2736    85           16         45                 117          4           5          1             2             3681    9699      410.893676758     22811  72367788     5    11    14       542.5  34.6063232422  
 2883    90           3          15                 15           1           5          0             2             600     9300      529.256103516     8010   71842958     4    2     10       542.5  31.0876216888  
 2924    91           12         12                 12           3           3          0             1             495     7312      567.927185059     8010   38288907     2    3     23       542.5  24.4478397369  
 2991    93           15         40                 40           5           5          0             2             1336    9725      11.9730224609     22829  71843623     4    9     2        542.5  32.7457313538  
 2995    93           19         11                 11           1           1          0             0             645     4796      31.6987304688     22829  4734090      0    2     7        542.5  16.1450176239  
 2997    93           21         12                 12           4           1          0             0             675     5048      32.4146118164     22829  4734475      0    3     5        542.5  16.991651535   
 3007    93           31         28                 28           4           3          0             1             990     7338      32.5178833008     22829  38289051     2    7     15       542.5  24.7008666992  
 3016    94           8          38                 38           2           5          0             2             1276    9326      32.8502807617     22829  71843109     4    8     4        542.5  31.3997306824  
 3023    94           15         26                 26           1           3          0             1             930     6939      46.3638305664     22829  38288537     2    6     11       542.5  23.3549137115  
 3041    95           1          1                  1            3           1          0             0             345     4848      667.565979004     8010   4734336      0    0     22       542.5  16.2152786255  
 3044    95           4          12                 12           7           1          0             0             690     5127      68.8687133789     22829  4734859      0    3     23       542.5  17.2562923431  
 3098    96           26         11                 11           3           1          0             0             645     4848      111.995483398     22829  4734346      0    2     21       542.5  16.3170127869  
 3148    98           12         38                 38           0           5          0             2             1276    9274      136.147155762     22829  71842853     4    8     20       542.5  31.2278156281  
 3202    100          2          40                 40           3           5          0             2             1336    9673      176.988647461     22829  71843367     4    9     18       542.5  32.5738296509  
 3254    101          22         12                 12           6           1          0             0             675     5101      233.023864746     22829  4734731      0    3     17       542.5  17.1636619568  
 3307    103          11         27                 27           2           3          0             1             945     6965      268.146179199     22829  38288666     2    6     5        542.5  23.4475975037  
 3346    104          18         28                 28           3           3          0             1             975     7312      297.454284668     22829  38288923     2    7     23       542.5  24.60820961    
 3363    105          3          10                 10           0           1          0             0             630     4770      319.291381836     22829  4733961      0    2     5        542.5  16.0523948669  
 3368    105          8          12                 12           5           1          0             0             690     5075      322.165649414     22829  4734603      0    3     11       542.5  17.0843334198  
 3484    108          28         19                 115          2           1          3             0             4020    4822      8.93035888672     3623   6307090      1    6     16       542.5  20.94465065    
 3516    109          28         59                 259          5           5          3             2             7967    9725      12.9387207031     3623   73416506     5    15    5        542.5  41.9362754822  
 3522    110          2          27                 195          4           3          3             1             6060    7338      27.814453125      3623   39861914     3    7     13       542.5  31.7480201721  
