 BCID  ToA     nTC  TC_sent  TC_id  Eta   Phi  pT_thr  Charge  Coincidence  z_RPC0  z_RPC1  z_RPC2  z_RPC3  
 34    2873    2    1        0      259   317  11      0       5            442     598     651     824     
 34    2873    2    1        1      928   315  11      0       5            1591    2112    2324    3038    
 199   8153    1    1        0      802   302  11      0       5            1364    1874    2059    2766     
 300   11385   1    1        0      3015  313  11      0       5            5939    7913    8618    11287     
 306   11577   3    1        0      2044  310  11      0       5            3709    4887    5364    6952       
 306   11577   3    1        1      338   302  11      0       5            581     757     810     994     
 306   11577   3    1        2      338   302  11      0       5            581     757     810     994     
 371   13657   2    1        0      2544  315  7       0       5            4799    6305    6820    8656    
 371   13657   2    1        1      2219  307  11      0       5            4071    5423    5879    7594    
 1030  34745   2    1        0      1630  305  11      0       5            2871    3839    4210    5454    
 1030  34745   2    1        1      1089  305  7       0       5            1877    2536    2816    3884    
 1043  35161   4    1        0      325   309  11      0       5            552     783     863     1181    
 1043  35161   4    1        1      325   309  11      0       5            552     783     863     1181    
 1043  35161   4    1        2      3078  299  9       0       2            6108    8125    0       11410   
 1043  35161   4    1        3      3078  299  9       0       2            6108    8125    0       11410   
 1108  37241   2    1        0      194   311  11      0       4            0       439     492     671     
 1108  37241   2    1        1      194   311  11      0       4            0       439     492     671     
 1253  41881   2    1        0      1796  301  11      0       2            3209    4276    0       6019    
 1253  41881   2    1        1      1796  301  11      0       2            3209    4276    0       6019    
 1262  42169   4    1        0      77    301  11      0       4            0       174     200     212     
 1262  42169   4    1        1      77    301  11      0       4            0       174     200     212     
 1262  42169   4    1        2      2238  309  11      0       5            4115    5497    6055    8087    
 1262  42169   4    1        3      2238  309  11      0       5            4115    5497    6055    8087    
 1264  42233   1    1        0      2461  319  11      0       5            4608    6173    6761    8996    
 1272  42489   4    1        0      698   311  11      0       5            1193    1593    1779    2358    
 1272  42489   4    1        1      698   311  11      0       5            1193    1593    1779    2358    
 1272  42489   4    1        2      1383  305  9       0       5            2415    3187    3505    4462    
 1272  42489   4    1        3      1383  305  9       0       5            2415    3187    3505    4462    
 1611  53337   1    1        0      634   301  11      0       2            1076    1434    0       2112    
 1655  54745   3    1        0      827   306  11      0       5            1415    1874    2059    2630    
 1655  54745   3    1        1      827   306  11      0       5            1415    1874    2059    2630    
 1655  54745   3    1        2      570   316  11      0       5            966     1302    1408    1908    
 1910  62905   3    1        0      1665  306  2       0       5            2945    3786    4024    4786    
 1910  62905   3    1        1      1665  306  2       0       5            2945    3786    4024    4786    
 1910  62905   3    1        2      1630  305  11      0       5            2871    3839    4210    5454    
 1948  64121   3    1        0      2500  305  11      0       5            4703    6320    6923    9251    
 1948  64121   3    1        1      1855  319  11      0       4            0       4463    4927    6476    
 1948  64121   3    1        2      1855  319  11      0       4            0       4463    4927    6476    
 2136  70137   4    1        0      2298  309  11      0       5            4247    5644    6158    8053    
 2136  70137   4    1        1      2298  309  11      0       5            4247    5644    6158    8053    
 2136  70137   4    1        2      3196  299  9       0       0            6423    0       0       11903   
 2136  70137   4    1        3      3196  299  9       0       0            6423    0       0       11903   
 2158  70841   3    1        0      2194  318  11      0       5            4027    5438    5967    7951    
 2158  70841   3    1        1      2953  308  11      0       2            5783    7746    0       11340   
 2158  70841   3    1        2      2953  308  11      0       2            5783    7746    0       11340   
 2217  72729   2    1        0      1370  307  11      0       5            2385    3201    3505    4733    
 2217  72729   2    1        1      259   317  11      0       5            442     598     651     824     
 2307  75609   2    1        0      1512  317  11      0       5            2659    3505    3892    5174    
 2307  75609   2    1        1      1512  317  11      0       5            2659    3505    3892    5174    
 2824  92153   3    1        0      194   310  11      0       4            0       439     465     620     
 2824  92153   3    1        1      2860  313  11      0       2            5556    7452    0       10863   
 2824  92153   3    1        2      2860  313  11      0       2            5556    7452    0       10863   
 2832  92409   4    1        0      1298  311  11      0       5            2261    3028    3346    4539    
 2832  92409   4    1        1      1298  311  11      0       5            2261    3028    3346    4539    
 2832  92409   4    1        2      852   315  11      0       5            1452    1927    2112    2732    
 2832  92409   4    1        3      852   315  11      0       5            1452    1927    2112    2732    
 2948  96121   4    1        0      2511  317  11      0       5            4711    6291    6893    9183    
 2948  96121   4    1        1      2511  317  11      0       5            4711    6291    6893    9183    
 2948  96121   4    1        2      3015  313  11      0       5            5939    7913    8618    11287   
 2948  96121   4    1        3      3015  313  9       0       5            5939    7913    8618    11287   
 3047  99289   3    1        0      1089  305  7       0       5            1877    2536    2816    3884    
 3047  99289   3    1        1      1971  314  11      0       5            3555    4742    5205    6816    
 3047  99289   3    1        2      1971  314  11      0       5            3555    4742    5205    6816    
 3431  111577  3    1        0      1928  312  11      0       5            3478    4569    5007    6544    
 3431  111577  3    1        1      1928  312  11      0       5            3478    4569    5007    6544    
 3431  111577  3    1        2      2544  315  7       0       5            4799    6305    6820    8656    
 3560  115705  3    1        0      1419  318  2       0       4            0       3320    3759    5349    
 3560  115705  3    1        1      1419  318  2       0       4            0       3320    3759    5349    
 3560  115705  3    1        2      3151  318  11      0       3            6306    0       9291    12132   
 3846  124857  1    1        0      2500  305  11      0       5            4703    6320    6923    9251    
 3846  124857  2    1        0      570   316  11      0       5            966     1302    1408    1908    
 3846  124857  2    1        1      194   310  11      0       4            0       439     465     620     
 3920  127225  2    1        0      928   315  11      0       5            1591    2112    2324    3038    
 3920  127225  2    1        1      634   301  11      0       2            1076    1434    0       2112    
 3999  129753  2    1        0      2461  319  11      0       5            4608    6173    6761    8996    
 3999  129753  2    1        1      1370  307  11      0       5            2385    3201    3505    4733    
 4014  130233  1    1        0      2194  318  11      0       5            4027    5438    5967    7951    
 4086  132537  4    1        0      3151  318  11      0       3            6306    0       9291    12132   
 4086  132537  4    1        1      2967  317  11      0       5            5821    7777    8482    11093   
 4086  132537  4    1        2      2967  317  9       0       5            5821    7777    8482    11093   
