 BCID  ToA     nTC  TC_sent  TC_id  Eta              Phi            pT_thr  Charge  Coincidence  z_RPC0  z_RPC1  z_RPC2  z_RPC3  event  
 8     2400    1    1        0      0.60431677103    824.44128418   20      0       5            3253    4356    4742    6125    16124  
 26    2976    1    1        0      0.396118313074   673.146972656  20      0       5            2077    2724    2975    3816    12777  
 46    3616    2    1        0      0.0682367756963  794.057189941  20      0       5            347     465     492     620     8010   
 46    3616    2    1        1      0.379585117102   927.487548828  20      0       5            1981    2616    2843    3714    22811  
 70    4384    1    1        0      0.128675177693   643.344421387  20      1       5            669     916     990     1330    22829  
 86    4896    1    1        0      0.757625997066   660.384277344  20      0       5            4247    5644    6158    8053    3623   
 120   5984    1    1        0      0.365704923868   880.603393555  20      1       5            1907    2563    2816    3748    21841  
 159   7232    1    1        0      0.803393721581   850.291381836  20      1       5            4556    6114    6717    8945    19448  
 173   7680    1    1        0      0.209155350924   927.517089844  20      1       5            1083    1461    1620    2180    577    
 227   9408    1    1        0      0.435601115227   768.073242188  20      0       5            2297    3028    3320    4292    12926  
 230   9504    1    1        0      0.506538927555   931.041442871  20      0       5            2695    3600    3971    5209    19091  
 235   9664    1    1        0      0.899280130863   617.68572998   20      0       5            5219    6967    7555    9825    12388  
 259   10432   1    1        0      0.978209137917   759.430664062  20      0       5            5821    7777    8482    11093   4680   
 262   10528   1    1        0      0.272522032261   794.063171387  20      0       5            1415    1900    2086    2732    4065   
 268   10720   1    1        0      0.652958631516   640.05480957   20      0       2            3577    4768    0       6850    16401  
 281   11136   1    1        0      0.905697286129   850.456054688  20      0       3            5277    0       7777    10148   140    
 300   11744   1    1        0      0.272735238075   613.663696289  20      0       5            1415    1874    2059    2630    3741   
 302   11808   1    1        0      0.551397562027   909.713806152  20      1       5            2967    3958    4356    5737    13619  
 336   12896   1    1        0      0.200606867671   656.084411621  20      0       5            1025    1355    1487    1976    15002  
 346   13216   1    1        0      0.379859745502   720.41619873   20      1       5            1989    2642    2896    3833    10794  
 366   13856   1    1        0      0.860602855682   824.361633301  20      0       5            4953    6584    7217    9455    715    
 373   14080   1    1        0      0.811427891254   559.277770996  20      0       5            4615    6173    6731    8826    3223   
 426   15776   1    1        0      0.60327911377    768.071960449  20      1       5            3253    4369    4781    6408    3811   
 442   16288   1    1        0      0.518415391445   703.117919922  20      0       5            2761    3680    4051    5280    19724  
 445   16384   1    1        0      1.00686144829    824.425720215  20      1       3            6049    0       8861    11762   11251  
 488   17760   1    1        0      0.259642779827   576.165039062  20      0       5            1340    1752    1900    2426    16817  
 491   17856   1    1        0      0.866778314114   664.71105957   20      1       5            4997    6746    7393    9876    17859  
 493   17920   1    1        0      0.536658525467   733.440429688  20      0       5            2871    3839    4223    5560    21298  
 498   18080   1    1        0      0.411934137344   763.734802246  20      0       5            2165    2869    3134    4122    14276  
 502   18208   1    1        0      0.459627062082   724.76763916   20      0       1            2426    3187    3479    0       13170  
 508   18400   1    1        0      0.275273412466   884.741577148  20      0       5            1434    1927    2086    2732    953    
 524   18912   1    1        0      0.483237624168   655.974304199  20      0       5            2558    3373    3720    4856    23378  
 552   19808   1    1        0      0.804194092751   571.830322266  20      0       5            4556    6085    6643    8826    12493  
 568   20320   1    1        0      0.0639600604773  684.824951172  20      1       4            0       439     492     671     4745   
 573   20480   1    1        0      0.811231315136   781.058776855  20      1       5            4608    6173    6761    8996    1300   
 599   21312   1    1        0      0.318499594927   601.295837402  20      0       5            1657    2205    2404    3072    21769  
 620   21984   1    1        0      0.973434329033   643.035095215  20      1       2            5783    7746    0       11340   3280   
 628   22240   1    1        0      0.783964633942   850.300048828  20      0       5            4423    5894    6423    8486    13849  
 631   22336   1    1        0      0.843569934368   690.153991699  20      0       5            4821    6408    6981    9098    19948  
 635   22464   1    1        0      0.326416254044   789.730895996  20      0       5            1694    2245    2457    3208    2515   
 660   23264   1    1        0      0.280862718821   724.816650391  20      0       5            1452    1927    2112    2732    5758   
 665   23424   1    1        0      0.255522936583   639.069580078  20      1       5            1318    1752    1927    2596    15182  
 670   23584   1    1        0      0.192195400596   994.785522461  20      0       2            981     1249    0       1704    7896   
 671   23616   1    1        0      0.451577246189   798.399291992  20      1       5            2385    3214    3574    4786    14928  
 673   23680   1    1        0      0.671371817589   945.569824219  20      1       5            3687    4901    5409    7207    1306   
 727   25408   1    1        0      0.975240945816   998.930053711  20      1       3            5814    0       8558    11426   10803  
 731   25536   1    1        0      0.0855903103948  776.730407715  20      1       5            457     624     704     960     23053  
 781   27136   1    1        0      0.21771299839    969.791137695  20      0       5            1127    1501    1646    2146    9156   
 786   27296   1    1        0      0.502106308937   935.841003418  20      0       5            2681    3574    3892    5103    9462   
 809   28032   1    1        0      0.741404235363   543.047424316  20      0       2            4137    5526    0       7849    19799  
 847   29248   1    1        0      0.673964977264   669.91015625   20      0       5            3709    4887    5364    6952    2228   
 853   29440   1    1        0      0.396043539047   678.028442383  20      1       2            2085    2803    0       4190    11594  
 860   29664   1    1        0      0.149426355958   703.201477051  20      0       5            761     995     1090    1432    19049  
 866   29856   1    1        0      0.829482316971   948.601013184  20      0       5            4747    6320    6908    9030    11701  
 871   30016   1    1        0      0.954605519772   576.106872559  20      1       1            5644    7599    8383    0       17302  
