 BCID  ToA    Eta    Phi  pT_thr  Charge  Coincidence  z_RPC0  z_RPC1  z_RPC2  z_RPC3  
 1253  63414  -313   307  2       0       1            -537    -675    -721    0       
 1253  63414  -313   307  2       0       1            -537    -675    -721    0       
 1438  14582  -2738  301  11      0       2            -5255   -7025   0       -10012  
 1903  96598  -2080  306  11      0       5            -3782   -5020   -5511   -7258   
 1903  96598  -2080  306  11      0       5            -3782   -5020   -5511   -7258   
 2229  374    -622   304  11      0       5            -1061   -1411   -1562   -2042   
 2229  374    -622   304  11      0       5            -1061   -1411   -1562   -2042   
 2716  61654  -1323  301  11      0       2            -2290   -3068   0       -4609   
 2964  77782  -3166  316  7       0       5            -6332   -8368   -9088   -11550  
 2964  77782  -3166  316  7       0       5            -6332   -8368   -9088   -11550  
 3453  14582  -2738  301  11      0       2            -5255   -7025   0       -10012  
 3529  42998  -2512  306  7       0       5            -4725   -6423   -7084   -9655   
 3592  42998  -2512  306  7       0       5            -4725   -6423   -7084   -9655   
 3833  61654  -1323  301  11      0       2            -2290   -3068   0       -4609   
