BCID,ToA,nTC,TC_sent,TC_id,Eta,Phi,pT_thr,Charge,Coincidence,z_RPC0,z_RPC1,z_RPC2,z_RPC3,event
23,2880,1,1,0,0.8294823169708252,948.6010131835938,20,0,5,4747,6320,6908,9030,116
33,3200,1,1,0,0.4004340171813965,871.9619140625,20,1,5,2107,2830,3121,4122,33
41,3456,1,1,0,0.6570523977279663,769.0325927734375,20,1,5,3599,4781,5291,7054,85
121,6016,1,1,0,1.0377907752990723,923.4427490234375,20,0,3,6288,0,9263,12062,3
204,8672,1,1,0,0.1621963381767273,639.1043701171875,20,1,5,827,1116,1222,1636,141
260,10464,1,1,0,0.2725220322608948,794.0631713867188,20,0,5,1415,1900,2086,2732,51
266,10656,1,1,0,0.9056972861289978,850.4560546875,20,0,3,5277,0,7777,10148,0
269,10752,1,1,0,0.375955730676651,729.3641967773438,20,1,2,1951,2616,0,3918,138
281,11136,1,1,0,0.025387462228536606,563.2000732421875,20,0,4,0,174,200,212,9
289,11392,1,1,0,0.23455753922462463,559.5046997070312,20,0,2,1215,1620,0,2282,115
302,11808,1,1,0,0.21223796904087067,1011.271728515625,20,0,2,1091,1448,0,2044,50
357,13568,1,1,0,0.706298291683197,838.4216918945312,20,1,5,3913,5291,5791,7713,86
362,13728,1,1,0,0.3264162540435791,789.7308959960938,20,0,5,1694,2245,2457,3208,32
365,13824,1,1,0,0.6713718175888062,945.56982421875,20,1,5,3687,4901,5409,7207,15
378,14240,1,1,0,0.8839067220687866,841.7838745117188,20,0,5,5121,6849,7466,9757,148
414,15392,1,1,0,0.6358210444450378,734.6774291992188,20,1,5,3478,4609,5099,6850,119
514,18592,1,1,0,0.5068337321281433,953.0457763671875,20,1,5,2703,3667,4064,5454,101
531,19136,1,1,0,0.528975784778595,957.0009765625,20,0,5,2835,3786,4157,5419,118
532,19168,1,1,0,0.05239564925432205,750.9122924804688,20,0,4,0,359,386,484,44
590,21024,1,1,0,0.5958201289176941,918.8544921875,20,0,5,3231,4276,4675,6055,54
623,22080,1,1,0,0.673917829990387,799.3775634765625,20,0,5,3709,4927,5409,7088,12
654,23072,1,1,0,0.9198102355003357,668.8045043945312,20,1,5,5387,7275,8065,10775,90
663,23360,1,1,0,1.0388375520706177,763.7304077148438,20,0,3,6306,0,9291,12132,55
729,25472,1,1,0,0.5183374881744385,694.5169677734375,20,0,5,2769,3733,4104,5349,147
759,26432,1,1,0,0.28924450278282166,961.2340087890625,20,1,5,1489,2006,2218,2970,121
791,27456,1,1,0,0.2174675613641739,798.3949584960938,20,1,2,1127,1514,0,2282,61
808,28000,1,1,0,0.5045872330665588,990.3448486328125,20,1,5,2692,3600,3971,5280,113
865,29824,1,1,0,0.41193413734436035,763.7348022460938,20,0,5,2165,2869,3134,4122,149
890,30624,1,1,0,0.34711140394210815,961.3125,20,0,5,1804,2404,2616,3410,123
925,31744,1,1,0,0.23021647334098816,681.7582397460938,20,1,5,1193,1593,1779,2358,60
953,32640,1,1,0,0.7966547608375549,1007.5962524414062,20,0,5,4511,5982,6526,8520,142
978,33440,1,1,0,0.46757516264915466,978.1564331054688,20,0,5,2481,3293,3653,4768,73
1089,36992,1,1,0,0.6114906072616577,782.1332397460938,20,1,4,0,4463,4927,6476,27
1097,37248,1,1,0,0.7682979702949524,867.6380004882812,20,1,5,4320,5791,6349,8435,35
1112,37728,1,1,0,0.03696581721305847,570.6464233398438,20,1,4,0,253,280,416,106
1136,38496,1,1,0,0.08562245965003967,755.05810546875,20,0,5,442,598,651,824,17
1141,38656,1,1,0,0.9133594036102295,720.4625244140625,20,1,2,5329,7172,0,10437,126
1157,39168,1,1,0,0.4668770730495453,703.3048706054688,20,0,5,2466,3280,3627,4715,153
1175,39744,1,1,0,1.0150575637817383,990.6724853515625,20,0,5,6108,8171,8876,11620,71
1226,41376,2,1,1,0.29748478531837463,871.8309936523438,20,1,5,1547,2073,2298,3038,59
1226,41376,2,1,0,0.7980824112892151,965.69580078125,20,1,5,4489,6114,6673,8979,56
1245,41984,1,1,0,0.33501124382019043,994.8377075195312,20,1,5,1745,2351,2589,3476,122
1258,42400,1,1,0,0.025305896997451782,924.475341796875,20,1,4,0,174,200,280,135
1281,43136,1,1,0,0.27273523807525635,613.6636962890625,20,0,5,1415,1874,2059,2630,46
1296,43616,1,1,0,0.7018262147903442,924.1492919921875,20,0,5,3877,5166,5703,7458,94
1312,44128,1,1,0,0.2752734124660492,884.7415771484375,20,0,5,1434,1927,2086,2732,8
1332,44768,1,1,0,0.15372666716575623,746.8126220703125,20,1,5,797,1063,1196,1636,151
1351,45376,1,1,0,1.0228298902511597,588.586669921875,20,0,5,6174,8246,8982,11691,77
1358,45600,1,1,0,0.9425836205482483,871.836181640625,20,0,5,5556,7422,8140,10687,111
1362,45728,2,1,1,0.3135327100753784,977.6325073242188,20,1,5,1628,2192,2430,3225,102
1362,45728,2,1,0,0.6498916149139404,717.0853271484375,20,0,5,3555,4742,5205,6816,63
1427,47808,1,1,0,0.8381690382957458,720.3743896484375,20,1,2,4799,6496,0,9502,78
1430,47904,1,1,0,0.9937366247177124,703.0498657226562,20,0,5,5939,7913,8618,11287,24
1442,48288,1,1,0,0.16221605241298676,889.04736328125,20,1,5,841,1116,1222,1636,79
1461,48896,1,1,0,0.7313762903213501,630.4896850585938,20,0,5,4071,5423,5879,7594,72
1564,52192,1,1,0,0.42804479598999023,677.4320068359375,20,1,5,2261,3028,3346,4539,64
1597,53248,1,1,0,0.10715865343809128,660.3690795898438,20,1,5,552,783,863,1181,36
1602,53408,1,1,0,0.8245087265968323,724.6810302734375,20,0,5,4703,6320,6908,9081,139
1688,56160,1,1,0,0.2091553509235382,927.51708984375,20,1,5,1083,1461,1620,2180,4
1832,60768,1,1,0,0.8173458576202393,759.3798217773438,20,1,5,4659,6246,6820,9081,84
1837,60928,1,1,0,0.6032791137695312,768.0719604492188,20,1,5,3253,4369,4781,6408,47
1930,63904,1,1,0,0.5103658437728882,973.9428100585938,20,0,5,2725,3653,3998,5209,34
1944,64352,1,1,0,0.8007788062095642,685.990966796875,20,0,5,4522,6041,6584,8622,136
1952,64608,1,1,0,0.7704432010650635,1002.7601928710938,20,1,5,4335,5835,6408,8639,49
