 BCID  ToA     nTC  TC_sent  TC_id  Eta   Phi  pT_thr  Charge  Coincidence  z_RPC0  z_RPC1  z_RPC2  z_RPC3  
 99    4953    1    1        0      194   311  11      0       4            0       439     492     671     
 205   8345    1    1        0      1665  306  2       0       5            2945    3786    4024    4786    
 402   14649   1    1        0      1512  317  11      0       5            2659    3505    3892    5174    
 504   17913   1    1        0      3151  318  11      0       3            6306    0       9291    12132   
 538   19001   1    1        0      259   317  11      0       5            442     598     651     824     
 700   24185   2    1        0      3015  313  11      0       5            5939    7913    8618    11287   
 700   24185   2    1        1      3015  313  9       0       5            5939    7913    8618    11287   
 705   24345   1    1        0      1928  312  11      0       5            3478    4569    5007    6544    
 804   27513   1    1        0      338   302  11      0       5            581     757     810     994     
 832   28409   1    1        0      3078  299  9       0       2            6108    8125    0       11410   
 1129  37913   1    1        0      2544  315  7       0       5            4799    6305    6820    8656    
 1152  38649   1    1        0      1855  319  11      0       4            0       4463    4927    6476    
 1159  38873   1    1        0      325   309  11      0       5            552     783     863     1181    
 1167  39129   1    1        0      852   315  11      0       5            1452    1927    2112    2732    
 1189  39833   1    1        0      1630  305  11      0       5            2871    3839    4210    5454    
 1468  48761   1    1        0      570   316  11      0       5            966     1302    1408    1908    
 1550  51385   1    1        0      3196  299  9       0       0            6423    0       0       11903   
 1554  51513   1    1        0      77    301  11      0       4            0       174     200     212     
 1649  54553   1    1        0      1298  311  11      0       5            2261    3028    3346    4539    
 1891  62297   1    1        0      1370  307  11      0       5            2385    3201    3505    4733    
 2129  69913   1    1        0      194   310  11      0       4            0       439     465     620     
 2131  69977   1    1        0      634   301  11      0       2            1076    1434    0       2112    
 2148  70521   2    1        0      2967  317  11      0       5            5821    7777    8482    11093   
 2148  70521   2    1        1      2967  317  9       0       5            5821    7777    8482    11093   
 2215  72665   1    1        0      2860  313  11      0       2            5556    7452    0       10863   
 2277  74649   1    1        0      2298  309  11      0       5            4247    5644    6158    8053    
 2411  78937   1    1        0      802   302  11      0       5            1364    1874    2059    2766    
 2642  86329   1    1        0      2953  308  11      0       2            5783    7746    0       11340   
 2898  94521   1    1        0      2461  319  11      0       5            4608    6173    6761    8996    
 2925  95385   1    1        0      1971  314  11      0       5            3555    4742    5205    6816    
 3086  100537  1    1        0      1796  301  11      0       2            3209    4276    0       6019    
 3098  100921  1    1        0      2219  307  11      0       5            4071    5423    5879    7594    
 3213  104601  1    1        0      1383  305  9       0       5            2415    3187    3505    4462    
 3293  107161  1    1        0      1419  318  2       0       4            0       3320    3759    5349    
 3358  109241  1    1        0      928   315  11      0       5            1591    2112    2324    3038    
 3455  112345  1    1        0      2511  317  11      0       5            4711    6291    6893    9183    
 3509  114073  1    1        0      2044  310  11      0       5            3709    4887    5364    6952    
 3718  120761  1    1        0      827   306  11      0       5            1415    1874    2059    2630    
 3780  122745  1    1        0      570   316  11      0       5            966     1302    1408    1908    
 3780  122745  1    1        0      1298  311  11      0       5            2261    3028    3346    4539    
 3787  122969  1    1        0      1089  305  7       0       5            1877    2536    2816    3884    
 3851  125017  1    1        0      2238  309  11      0       5            4115    5497    6055    8087    
 3873  125721  1    1        0      698   311  11      0       5            1193    1593    1779    2358    
 3885  126105  1    1        0      2500  305  11      0       5            4703    6320    6923    9251    
 3968  128761  1    1        0      2194  318  11      0       5            4027    5438    5967    7951    
