 BCID  ToA     nTC  TC_sent  TC_id  Eta              Phi            pT_thr  Charge  Coincidence  z_RPC0  z_RPC1  z_RPC2  z_RPC3  
 12    2169    1    1        0      0.600183105469   3.81654420026  11      0       5            3245    4316    4689    6090    
 20    2425    1    1        0      0.21357421875    3.71836942983  11      0       5            1105    1527    1713    2358    
 50    3385    1    1        0      0.0939331054688  3.75518496874  11      0       5            493     677     730     994     
 72    4089    1    1        0      0.31376953125    3.71836942983  2       0       5            1621    2112    2218    2528    
 83    4441    1    1        0      0.0853637695313  3.68155389093  11      0       2            435     598     0       960     
 93    4761    1    1        0      0.33486328125    3.81654420026  7       0       5            1742    2377    2642    3629    
 93    4761    1    1        0      0.9755859375     3.73064127614  9       0       3            5806    0       8383    10793   
 99    4953    1    1        0      0.255432128906   3.84108789287  11      0       5            1325    1752    1927    2494    
 105   5145    1    1        0      0.604797363281   3.76745681505  11      0       4            0       4397    4848    6459    
 106   5177    1    1        0      0.884948730469   3.75518496874  9       0       5            5129    6952    7716    10284   
 109   5273    1    1        0      0.140734863281   3.81654420026  2       0       5            717     889     916     892     
 118   5561    1    1        0      0.162158203125   3.85335973917  2       0       5            834     995     1037    1079    
 124   5753    1    1        0      1.02766113281    3.86563158547  7       0       2            6218    8246    0       11393   
 147   6489    1    1        0      0.330578613281   3.80427235396  11      0       5            1716    2298    2510    3276    
 171   7257    1    1        0      0.975256347656   3.71836942983  7       0       5            5806    7807    8633    11726   
 204   8313    1    1        0      0.584692382813   3.76745681505  11      0       5            3165    4276    4689    6255    
 216   8697    1    1        0      0.86220703125    3.68155389093  11      0       2            4953    6614    0       9370    
 228   9081    1    1        0      0.124255371094   3.82881604656  11      0       5            647     863     942     1228    
 251   9817    1    1        0      0.27685546875    3.68155389093  2       0       2            1437    1805    0       2180    
 275   10585   1    1        0      0.684228515625   3.85335973917  11      0       5            3760    5033    5541    7322    
 275   10585   1    1        0      0.934057617188   3.77972866135  11      0       5            5490    7349    8095    10757   
 301   11417   2    1        0      0.983166503906   3.70609758353  11      0       5            5859    7837    8527    11163   
 301   11417   2    1        1      0.983166503906   3.70609758353  9       0       5            5859    7837    8527    11163   
 310   11705   1    1        0      0.305859375      3.81654420026  11      0       5            1577    2086    2298    2970    
 324   12153   1    1        0      0.809802246094   3.87790343177  11      0       5            4601    6114    6658    8758    
 334   12473   1    1        0      0.727734375      3.89017527808  11      0       1            4049    5379    5864    0       
 344   12793   1    1        0      0.280810546875   3.87790343177  11      0       5            1459    1953    2152    2868    
 364   13433   1    1        0      0.614685058594   3.74291312244  11      0       4            0       4477    4914    6374    
 415   15065   1    1        0      0.9544921875     3.70609758353  9       0       3            5644    0       8352    11110   
 425   15385   1    1        0      0.914611816406   3.69382573723  11      0       3            5343    0       7822    10165   
 425   15385   2    1        0      0.320690917969   3.76745681505  7       0       5            1665    2298    2550    3595    
 425   15385   2    1        1      0.318383789063   3.76745681505  2       0       5            1643    2298    2550    3595    
 428   15481   1    1        0      0.7435546875     3.89017527808  11      0       2            4159    5511    0       7798    
 465   16665   1    1        0      0.415942382813   3.73064127614  11      0       5            2187    2896    3187    4156    
 465   16665   1    1        0      0.907360839844   3.81654420026  11      0       2            5292    7114    0       10335   
 503   17881   1    1        0      0.54052734375    3.73064127614  11      0       5            2901    3892    4263    5525    
 515   18265   1    1        0      0.592272949219   3.89017527808  11      0       5            3209    4236    4622    5984    
 518   18361   1    1        0      0.455163574219   3.76745681505  11      0       5            2404    3187    3505    4609    
 528   18681   1    1        0      0.0810791015625  3.80427235396  11      0       5            427     571     598     722     
 547   19289   1    1        0      0.886596679688   3.73064127614  9       0       3            5143    0       7679    10318   
 551   19417   1    1        0      0.849353027344   3.89017527808  2       0       5            4879    6423    6937    8690    
 571   20057   1    1        0      0.289379882812   3.87790343177  11      0       5            1496    1993    2165    2766    
 578   20281   1    1        0      0.272570800781   3.80427235396  11      0       5            1408    1874    2033    2647    
 578   20281   1    1        0      0.695434570312   3.86563158547  11      0       5            3841    5060    5541    7258    
 586   20537   1    1        0      0.781457519531   3.90244712438  11      0       1            4401    5850    6379    0       
 608   21241   1    1        0      0.221484375      3.86563158547  11      0       5            1146    1567    1726    2358    
 620   21625   1    1        0      0.284765625      3.86563158547  11      0       5            1481    2020    2245    3055    
 621   21657   1    1        0      0.0599853515625  3.80427235396  11      0       4            0       412     465     586     
 621   21657   1    1        0      0.179296875      3.68155389093  9       0       2            915     1196    0       1568    
 627   21849   1    1        0      0.879675292969   3.70609758353  11      0       3            5092    0       7378    9638    
 641   22297   1    1        0      0.976904296875   3.89017527808  11      0       5            5813    7837    8618    11410   
 648   22521   1    1        0      0.14501953125    3.89017527808  11      0       5            739     990     1090    1415    
 648   22521   1    1        0      0.435717773438   3.71836942983  7       0       5            2297    3081    3426    4786    
 666   23097   1    1        0      0.632482910156   3.84108789287  11      0       5            3467    4583    5086    6748    
 673   23321   1    1        0      0.589965820312   3.87790343177  11      0       5            3187    4250    4622    5913    
 676   23417   1    1        0      0.358923339844   3.77972866135  11      0       5            1877    2510    2737    3544    
 686   23737   1    1        0      0.204675292969   3.86563158547  11      0       5            1061    1448    1607    2180    
 693   23961   1    1        0      0.424182128906   3.71836942983  11      0       5            2231    2922    3187    4122    
 700   24185   1    1        0      0.166442871094   3.82881604656  11      0       5            856     1116    1222    1500    
 700   24185   1    1        0      0.733666992188   3.81654420026  11      0       5            4093    5526    6055    8087    
 704   24313   1    1        0      0.115686035156   3.76745681505  11      0       5            589     810     916     1228    
 709   24473   1    1        0      0.400451660156   3.89017527808  11      0       5            2107    2816    3081    4054    
 719   24793   1    1        0      1.03985595703    3.84108789287  2       0       5            6313    8201    8785    10775   
 751   25817   1    1        0      0.857592773438   3.87790343177  11      0       5            4931    6643    7261    9638    
 753   25881   1    1        0      0.187536621094   3.87790343177  11      0       5            959     1262    1355    1738    
 769   26393   1    1        0      0.412316894531   3.77972866135  2       0       2            2173    3002    0       4839    
 773   26521   1    1        0      0.330908203125   3.75518496874  9       0       5            1723    2351    2603    3544    
 782   26809   2    1        0      0.815405273438   3.71836942983  11      0       5            4623    6246    6820    8928    
 782   26809   2    1        1      0.815405273438   3.71836942983  9       0       5            4623    6246    6820    8928    
 808   27641   1    1        0      0.436047363281   3.73064127614  2       0       5            2297    2896    3108    3646    
 808   27641   1    1        0      1.01447753906    3.69382573723  11      0       0            6101    0       0       11585   
 815   27865   1    1        0      0.918566894531   3.74291312244  11      0       3            5373    0       7898    10284   
 855   29145   1    1        0      0.639074707031   3.84108789287  11      0       5            3489    4689    5179    6884    
 886   30137   1    1        0      0.471313476562   3.68155389093  11      0       2            2503    3373    0       4997    
 895   30425   2    1        0      1.01810302734    3.81654420026  11      0       5            6137    8216    9012    11903   
 895   30425   2    1        1      1.01810302734    3.81654420026  9       0       5            6137    8216    9012    11903   
 905   30745   1    1        0      1.04018554688    3.68155389093  2       0       2            6313    8406    0       11514   
 915   31065   1    1        0      0.208959960938   3.87790343177  11      0       5            1069    1408    1540    1976    
 927   31449   1    1        0      0.882641601563   3.77972866135  11      0       2            5114    6864    0       9944    
 958   32441   1    1        0      0.467358398438   3.75518496874  11      0       5            2481    3293    3627    4750    
 969   32793   1    1        0      0.0520751953125  3.90244712438  11      0       4            0       359     412     552     
 986   33337   1    1        0      0.0678955078125  3.80427235396  11      0       5            347     439     492     552     
 990   33465   1    1        0      0.592602539063   3.77972866135  7       0       5            3209    4210    4543    5737    
 1008  34041   1    1        0      0.334533691406   3.80427235396  9       0       5            1731    2351    2629    3578    
 1014  34233   1    1        0      0.8068359375     3.71836942983  11      0       5            4579    6173    6731    9013    
 1039  35033   1    1        0      0.490100097656   3.81654420026  11      0       5            2613    3479    3839    4997    
 1050  35385   1    1        0      0.793981933594   3.69382573723  11      0       2            4489    5982    0       8520    
 1073  36121   1    1        0      0.0369140625     3.76745681505  11      0       4            0       253     280     314     
 1096  36857   1    1        0      0.645666503906   3.86563158547  11      0       5            3525    4689    5139    6748    
 1113  37401   1    1        0      0.926147460938   3.79200050765  11      0       5            5431    7290    8019    10599   
 1123  37721   1    1        0      0.486804199219   3.85335973917  11      0       5            2583    3439    3812    5068    
 1148  38521   1    1        0      0.0810791015625  3.82881604656  11      0       5            413     545     598     790     
 1164  39033   1    1        0      0.932739257812   3.70609758353  11      0       5            5475    7319    7989    10352   
 1169  39193   1    1        0      0.741906738281   3.80427235396  7       0       5            4144    5453    5908    7458    
 1178  39481   1    1        0      0.403747558594   3.79200050765  11      0       5            2114    2816    3108    4088    
 1179  39513   1    1        0      0.411657714844   3.80427235396  11      0       5            2173    2896    3187    4190    
 1207  40409   2    1        0      0.993383789063   3.90244712438  11      0       5            5939    7913    8648    11305   
 1207  40409   2    1        1      0.993383789063   3.90244712438  9       0       5            5939    7913    8648    11305   
 1211  40537   1    1        0      0.525366210938   3.75518496874  9       0       5            2813    3706    4024    5103    
 1243  41561   1    1        0      0.984155273438   3.80427235396  7       0       3            5866    0       8413    10775   
 1244  41593   1    1        0      0.521411132813   3.69382573723  2       0       2            2780    3812    0       5949    
 1252  41849   1    1        0      0.68818359375    3.86563158547  11      0       5            3797    5060    5585    7424    
 1262  42169   1    1        0      0.73037109375    3.68155389093  11      0       2            4071    5438    0       7883    
 1270  42425   1    1        0      0.217199707031   3.70609758353  11      0       5            1127    1461    1593    2010    
 1272  42489   1    1        0      0.411987304688   3.84108789287  11      0       5            2158    2869    3161    4156    
 1276  42617   1    1        0      0.551403808594   3.75518496874  11      0       5            2967    3958    4342    5560    
 1303  43481   1    1        0      0.599853515625   3.79200050765  11      0       4            0       4382    4795    6272    
 1303  43481   1    1        0      0.801232910156   3.91471897068  11      0       5            4545    6070    6643    8894    
 1311  43737   1    1        0      0.78310546875    3.82881604656  11      0       2            4423    5894    0       8554    
 1329  44313   1    1        0      0.717517089844   3.81654420026  11      0       5            3994    5306    5805    7560    
 1336  44537   1    1        0      0.803869628906   3.81654420026  11      0       5            4556    6129    6746    9013    
 1342  44729   1    1        0      0.83583984375    3.82881604656  11      0       5            4777    6408    6996    9251    
 1358  45241   1    1        0      0.175012207031   3.69382573723  11      0       5            893     1169    1275    1636    
 1391  46297   1    1        0      0.449560546875   3.84108789287  11      0       5            2382    3214    3587    4821    
 1405  46745   1    1        0      0.584692382813   3.90244712438  11      0       5            3165    4236    4649    6090    
 1416  47097   1    1        0      0.964379882813   3.76745681505  2       0       3            5717    0       8694    12168   
 1445  48025   1    1        0      0.259387207031   3.74291312244  11      0       5            1341    1792    1993    2664    
 1458  48441   1    1        0      0.431762695312   3.91471897068  11      0       5            2283    3028    3346    4377    
 1470  48825   1    1        0      0.80947265625    3.76745681505  11      0       5            4601    6129    6673    8724    
 1481  49177   1    1        0      0.573815917969   3.69382573723  7       0       5            3084    4091    4463    5631    
 1484  49273   1    1        0      0.536242675781   3.93926266329  7       0       0            2879    0       0       5245    
 1489  49433   1    1        0      0.132824707031   3.82881604656  2       0       2            677     942     0       892     
 1497  49689   1    1        0      0.648962402344   3.86563158547  11      0       5            3555    4728    5205    6867    
 1501  49817   1    1        0      1.04875488281    3.81654420026  11      0       5            6387    8482    9348    12009   
 1525  50585   1    1        0      0.958447265625   3.81654420026  11      0       5            5659    7584    8322    10969   
 1547  51289   1    1        0      0.293334960938   3.71836942983  11      0       5            1533    2033    2192    2834    
 1552  51449   1    1        0      0.208959960938   3.75518496874  11      0       3            1083    0       1620    2180    
 1566  51897   1    1        0      0.281140136719   3.76745681505  11      0       5            1456    1953    2139    2868    
 1572  52089   1    1        0      0.459448242188   3.74291312244  11      0       5            2429    3214    3505    4574    
 1596  52857   1    1        0      0.383972167969   3.69382573723  11      0       2            2004    2690    0       3986    
 1631  53977   1    1        0      0.720483398438   3.71836942983  9       0       5            4005    5438    5997    8053    
 1640  54265   1    1        0      0.293005371094   3.80427235396  11      0       5            1518    2033    2245    2936    
 1642  54329   1    1        0      0.318054199219   3.68155389093  11      0       2            1657    2192    0       3072    
 1656  54777   1    1        0      0.870776367188   3.77972866135  11      0       5            5026    6717    7349    9604    
 1692  55929   1    1        0      0.276525878906   3.73064127614  11      0       5            1430    1900    2086    2749    
 1707  56409   1    1        0      0.600183105469   3.76745681505  11      0       5            3245    4303    4675    5984    
 1733  57241   1    1        0      0.268286132813   3.79200050765  11      0       5            1379    1874    2073    2800    
 1744  57593   1    1        0      0.528991699219   3.85335973917  11      0       5            2835    3786    4157    5490    
