 BCID  ToA     nTC  TC_sent  TC_id  Eta    Phi  pT_thr  Charge  Coincidence  z_RPC0  z_RPC1  z_RPC2  z_RPC3  
 206   8377    3    1        0      -2738  301  11      0       2            -5255   -7025   0       -10012  
 206   8377    3    1        1      -622   304  11      0       5            -1061   -1411   -1562   -2042   
 206   8377    3    1        2      -622   304  11      0       5            -1061   -1411   -1562   -2042   
 267   10329   1    1        0      -2497  312  11      0       5            -4689   -6291   -6878   -9166   
 317   11929   2    1        0      -841   309  11      0       5            -1423   -1927   -2126   -2817   
 317   11929   2    1        1      -841   309  11      0       5            -1423   -1927   -2126   -2817   
 363   13401   2    1        0      -1323  301  11      0       2            -2290   -3068   0       -4609   
 363   13401   2    1        1      -2080  306  11      0       5            -3782   -5020   -5511   -7258   
 921   31257   2    1        0      -2776  319  11      0       2            -5343   -7158   0       -10148  
 921   31257   2    1        1      -1288  304  11      0       5            -2239   -2975   -3267   -4258   
 964   32633   3    1        0      -3166  316  7       0       5            -6332   -8368   -9088   -11550  
 964   32633   3    1        1      -3166  316  7       0       5            -6332   -8368   -9088   -11550  
 964   32633   3    1        2      -3146  316  11      0       1            -6291   -8410   -9291   0       
 1019  34393   2    1        0      -932   311  9       0       4            0       -2139   -2377   -3276   
 1019  34393   2    1        1      -932   311  9       0       4            0       -2139   -2377   -3276   
 1279  42713   1    1        0      -2080  306  11      0       5            -3782   -5020   -5511   -7258   
 1367  45529   4    1        0      -404   302  11      0       5            -677    -903    -993    -1231   
 1367  45529   4    1        1      -404   302  11      0       5            -677    -903    -993    -1231   
 1367  45529   4    1        2      -3063  315  9       0       5            -6064   -8065   -8739   -11340  
 1367  45529   4    1        3      -3063  315  9       0       5            -6064   -8065   -8739   -11340  
 1495  49625   4    1        0      -1937  311  9       0       5            -3489   -4583   -4993   -6374   
 1495  49625   4    1        1      -1962  315  11      0       2            -3533   -4715   0       -7020   
 1495  49625   4    1        2      -1962  315  11      0       2            -3533   -4715   0       -7020   
 1495  49625   4    1        3      -2776  319  11      0       2            -5343   -7158   0       -10148  
 1955  64345   2    1        0      -1651  318  11      0       5            -2923   -3892   -4276   -5560   
 2737  89369   4    1        0      -3146  316  11      0       1            -6291   -8410   -9291   0       
 2737  89369   4    1        1      -3146  316  9       0       1            -6291   -8410   -9291   0       
 2737  89369   4    1        2      -2499  305  9       0       5            -4689   -6335   -6967   -9387   
 2737  89369   4    1        3      -2499  305  9       0       5            -4689   -6335   -6967   -9387   
 2819  91993   4    1        0      -1753  313  2       0       5            -3113   -3998   -4263   -5033   
 2819  91993   4    1        1      -1753  313  2       0       5            -3113   -3998   -4263   -5033   
 2819  91993   4    1        2      -661   306  11      0       5            -1113   -1502   -1653   -2163   
 2819  91993   4    1        3      -661   306  11      0       5            -1113   -1502   -1653   -2163   
 3014  98233   3    1        0      -441   304  11      0       5            -739    -1024   -1138   -1564   
 3014  98233   3    1        1      -441   304  11      0       5            -739    -1024   -1138   -1564   
 3014  98233   3    1        2      -1651  318  11      0       5            -2923   -3892   -4276   -5560   
 3063  99801   2    1        0      -622   316  11      0       5            -1047   -1396   -1532   -2073   
 3063  99801   2    1        1      -622   316  11      0       5            -1047   -1396   -1532   -2073   
 3645  118425  3    1        0      -313   307  2       0       1            -537    -675    -721    0       
 3645  118425  3    1        1      -313   307  2       0       1            -537    -675    -721    0       
 3645  118425  3    1        2      -2512  306  7       0       5            -4725   -6423   -7084   -9655   
 3658  118841  1    1        0      -1288  304  11      0       5            -2239   -2975   -3267   -4258   
 3735  121305  1    1        0      -1937  311  9       0       5            -3489   -4583   -4993   -6374   
 3856  125177  1    1        0      -2738  301  11      0       2            -5255   -7025   0       -10012  
 3861  125337  4    1        0      -2728  317  11      0       5            -5219   -7011   -7746   -10284  
 3861  125337  4    1        1      -2728  317  11      0       5            -5219   -7011   -7746   -10284  
 3861  125337  4    1        2      -3048  313  11      0       2            -6027   -8080   0       -11726  
 3861  125337  4    1        3      -3048  313  11      0       2            -6027   -8080   0       -11726  
 3865  125465  3    1        0      -2291  304  11      0       5            -4225   -5673   -6202   -8257   
 3865  125465  3    1        1      -954   311  11      0       5            -1635   -2218   -2444   -3242   
 3865  125465  3    1        2      -954   311  11      0       5            -1635   -2218   -2444   -3242   
 3954  128313  2    1        0      -2512  306  7       0       5            -4725   -6423   -7084   -9655   
 3954  128313  2    1        1      -1323  301  11      0       2            -2290   -3068   0       -4609   
 4055  131545  4    1        0      -2497  312  11      0       5            -4689   -6291   -6878   -9166   
 4055  131545  4    1        1      -2531  303  11      0       5            -4769   -6408   -7011   -9268   
 4055  131545  4    1        2      -2531  303  11      0       5            -4769   -6408   -7011   -9268   
 4055  131545  4    1        3      -2291  304  11      0       5            -4225   -5673   -6202   -8257   
