 BCID  TDC     Tube Number  Local Tube Number  Tube Layer  Station  Station Type  tube z   tube rho  drift radius  
 477   16347   68           2                  4           3        I             -134725  73092     -23           
 477   16368   161          17                 1           3        O             -314280  165911    5             
 477   16386   162          18                 2           3        O             -315241  166327    -32           
 477   16400   161          17                 0           3        O             -313319  165495    48            
 477   16435   68           2                  5           3        I             -135686  73508     -125          
 477   16438   168          24                 3           3        O             -326774  171880    -91           
 477   16481   104          0                  2           3        M             -236480  127919    154           
 477   16481   168          24                 4           3        O             -327735  172296    -140          
 477   16510   66           0                  0           3        I             -131842  71259     -195          
 477   16536   169          25                 5           3        O             -328696  172712    -189          
 477   16562   69           3                  6           3        I             -136647  73924     -230          
 477   16691   67           1                  1           3        I             -132803  71675     -299          
 477   16720   108          4                  5           3        M             -244169  131952    302           
 477   16765   69           3                  7           3        I             -137608  74340     -329          
 477   16879   107          3                  4           3        M             -243208  131536    364           
 477   16895   67           1                  3           3        I             -132803  72507     376           
 477   16956   67           1                  2           3        I             -133764  72091     -397          
 477   17061   108          4                  3           3        M             -244169  131120    -422          
 477   17068   107          3                  3           3        M             -242247  131120    423           
 1448  47703   2            2                  1           1        O             -6406    165911    258           
 1448  48306   3            3                  1           1        O             -8328    165911    470           
 3795  122522  148          22                 1           5        I             -290930  71675     -11           
 3795  122527  151          25                 4           5        I             -296696  73092     -19           
 3795  122546  345          57                 2           5        O             -669248  166327    0             
 3795  122581  153          27                 7           5        I             -301502  74340     81            
 3795  122601  358          70                 5           5        O             -694237  172712    55            
 3795  122606  244          12                 3           6        M             -529947  131120    81            
 3795  122618  236          4                  1           6        M             -515531  127503    97            
 3795  122630  246          14                 5           6        M             -533792  131952    -110          
 3795  122663  236          4                  0           6        M             -514569  127087    -148          
 3795  122669  150          24                 3           5        I             -294774  72507     -176          
 3795  122674  153          27                 6           5        I             -300541  73924     -179          
 3795  122726  357          69                 4           5        O             -693276  172296    -188          
 3795  122738  343          55                 0           5        O             -665404  165495    198           
 3795  122755  148          22                 2           5        I             -291891  72091     236           
 3795  122763  151          25                 5           5        I             -297658  73508     240           
 3795  122806  344          56                 1           5        O             -668287  165911    -243          
 3795  122833  147          21                 0           5        I             -289969  71259     -279          
 3795  122838  356          68                 3           5        O             -690393  171880    259           
 3795  122965  244          12                 4           6        M             -530908  131536    325           
 3795  122995  238          6                  2           6        M             -518414  127919    -338          
 3795  123008  237          5                  2           6        M             -516492  127919    342           
 3795  123045  245          13                 4           6        M             -532831  131536    -356          
 3795  123158  146          20                 0           5        I             -288046  71259     402           
 3795  123259  152          26                 5           5        I             -299580  73508     -432          
 3795  123267  149          23                 2           5        I             -293813  72091     -435          
 3795  123305  357          69                 3           5        O             -692315  171880    -433          
 3795  123327  343          55                 1           5        O             -666365  165911    439           
